wind.dir.9.am,rainfall,pressure.9.am,wind.dir.3.pm,evaporation,date,humidity.9.am,sunshine,wind.speed.9.am,temp.3.pm.c,pressure.3.pm,temp.9.am.c,location,wind.gust.speed,wind.speed.3.pm,humidity.3.pm,wind.gust.dir,min.temp.c,rain.today,max.temp.c,rain.tomorrow
SE,1.6,1014.9,WSW,1.6,2010-02-12,63.0,11.4,9.0,27.2,1011.8,20.1,Adelaide,37.0,24.0,45.0,SW,17.2,Yes,28.8,No
ENE,0.0,1010.2,SW,,2010-02-13,56.0,11.0,4.0,29.6,1007.4,22.6,Adelaide,33.0,17.0,33.0,WSW,17.3,No,31.0,No
NNE,0.0,1010.2,S,,2010-02-14,48.0,12.9,4.0,28.6,1010.3,23.6,Adelaide,43.0,20.0,19.0,SSE,19.2,No,29.4,No
S,0.0,1016.3,S,22.6,2010-02-15,66.0,9.8,15.0,24.9,1015.4,20.3,Adelaide,39.0,20.0,51.0,SSE,18.2,No,26.1,No
N,0.0,1015.9,SW,5.2,2010-02-16,62.0,13.0,2.0,30.9,1014.2,22.5,Adelaide,31.0,17.0,36.0,SW,17.4,No,32.4,No
WSW,0.0,1017.2,SSW,8.0,2010-02-17,37.0,12.8,7.0,30.3,1017.2,25.4,Adelaide,46.0,19.0,28.0,SE,20.3,No,31.8,No
SE,0.0,1021.2,ESE,9.8,2010-02-18,40.0,12.8,7.0,31.6,1019.0,24.0,Adelaide,37.0,15.0,24.0,ESE,19.5,No,32.8,No
SSE,0.0,1018.8,W,11.4,2010-02-19,38.0,12.5,6.0,35.4,1015.5,25.1,Adelaide,26.0,13.0,18.0,SW,18.5,No,36.6,No
N,0.0,1012.0,NNW,,2010-02-20,26.0,6.9,13.0,35.3,1009.6,29.6,Adelaide,54.0,28.0,23.0,NW,23.1,No,36.5,No
SW,0.0,1013.8,WSW,,2010-02-21,70.0,9.8,9.0,26.0,1012.4,21.4,Adelaide,30.0,13.0,51.0,SW,20.4,No,26.2,No
WSW,0.0,1016.3,SW,20.6,2010-02-22,63.0,11.3,15.0,24.0,1017.1,20.4,Adelaide,41.0,22.0,40.0,SW,18.1,No,25.3,No
SE,0.0,1023.3,SE,6.4,2010-02-23,47.0,12.4,11.0,25.2,1020.4,16.7,Adelaide,41.0,9.0,22.0,ESE,14.8,No,27.2,No
NNW,0.0,1021.4,WSW,6.2,2010-02-24,49.0,12.4,2.0,28.4,1019.6,20.5,Adelaide,44.0,17.0,25.0,SE,14.9,No,30.7,No
ENE,0.0,1021.6,WSW,8.6,2010-02-25,25.0,12.0,11.0,31.0,1019.5,24.2,Adelaide,48.0,17.0,22.0,ESE,19.6,No,32.3,No
WSW,0.0,1017.9,WSW,7.8,2010-02-26,39.0,11.9,2.0,35.7,1015.0,24.7,Adelaide,31.0,15.0,12.0,SW,18.6,No,36.2,No
SE,0.0,1018.4,SSE,,2010-02-27,57.0,12.4,17.0,28.4,1017.0,21.5,Adelaide,41.0,20.0,32.0,SE,18.5,No,29.4,No
SE,0.0,1021.5,SSE,,2010-02-28,51.0,12.1,19.0,22.7,1020.4,17.1,Adelaide,50.0,19.0,35.0,SE,15.1,No,23.5,No
SSE,0.0,1023.6,SE,23.4,2010-03-01,50.0,11.4,19.0,21.8,1019.7,15.4,Adelaide,52.0,26.0,30.0,ESE,13.6,No,22.7,No
SE,0.0,1020.4,SE,7.2,2010-03-02,51.0,12.1,19.0,26.6,1016.9,16.1,Adelaide,48.0,15.0,26.0,SE,13.1,No,27.5,No
SSW,0.0,1016.4,WSW,6.2,2010-03-03,47.0,12.1,4.0,29.7,1012.3,22.2,Adelaide,35.0,20.0,23.0,ENE,16.1,No,30.3,No
NW,0.0,1008.9,WSW,7.0,2010-03-04,39.0,11.5,6.0,31.5,1005.7,23.8,Adelaide,31.0,13.0,23.0,NNE,18.7,No,34.0,No
NNE,0.0,1006.6,W,7.6,2010-03-05,67.0,11.8,11.0,25.0,1006.3,21.2,Adelaide,39.0,13.0,47.0,WNW,18.0,No,26.0,Yes
N,1.6,1010.1,WNW,,2010-03-06,59.0,5.9,9.0,22.8,1007.2,17.5,Adelaide,43.0,17.0,37.0,NW,16.3,Yes,24.5,Yes
ENE,6.6,1009.1,ESE,,2010-03-07,56.0,6.0,13.0,23.1,1006.8,17.0,Adelaide,37.0,17.0,44.0,E,13.8,Yes,23.9,No
WSW,0.4,1008.3,WSW,,2010-03-08,68.0,0.3,20.0,20.1,1010.4,18.3,Adelaide,52.0,30.0,68.0,W,16.4,No,21.1,Yes
S,1.6,1021.2,SW,16.4,2010-03-09,75.0,7.8,11.0,21.6,1022.5,16.8,Adelaide,39.0,20.0,36.0,SW,14.3,Yes,22.0,No
S,0.0,1030.7,SSE,4.8,2010-03-10,54.0,4.6,6.0,18.9,1030.7,15.7,Adelaide,33.0,13.0,41.0,SE,13.8,No,19.8,No
ESE,0.0,1034.8,SE,3.4,2010-03-11,61.0,10.6,13.0,21.9,1031.4,15.1,Adelaide,39.0,17.0,31.0,ESE,11.9,No,23.0,No
NNE,0.0,1032.1,E,6.0,2010-03-12,49.0,10.2,9.0,27.5,1029.3,20.4,Adelaide,43.0,17.0,27.0,SE,14.2,No,28.8,No
ENE,0.0,1029.3,E,,2010-03-13,35.0,9.4,15.0,29.4,1025.7,23.9,Adelaide,39.0,7.0,25.0,E,20.2,No,31.8,No
NE,0.0,1024.1,SW,,2010-03-14,33.0,1.7,17.0,25.8,1021.8,24.3,Adelaide,35.0,7.0,43.0,NE,22.4,No,28.9,No
NNE,0.0,1021.2,,16.0,2010-03-15,40.0,11.2,7.0,30.8,,24.0,Adelaide,,,35.0,,17.1,No,32.1,No
,0.0,1020.6,WNW,5.8,2010-03-16,46.0,8.2,0.0,34.5,1018.3,20.6,Adelaide,35.0,13.0,22.0,NW,16.5,No,34.9,No
NE,0.0,1021.0,W,6.6,2010-03-17,41.0,3.9,7.0,34.7,1019.5,25.0,Adelaide,31.0,17.0,18.0,NW,20.6,No,36.0,No
NE,0.0,1020.4,WSW,5.8,2010-03-18,41.0,6.3,9.0,31.9,1017.1,25.6,Adelaide,44.0,26.0,32.0,WNW,22.6,No,35.6,Yes
SSW,2.2,1020.0,SW,5.4,2010-03-19,88.0,9.3,11.0,25.1,1019.2,20.8,Adelaide,26.0,11.0,58.0,WSW,19.0,Yes,26.9,No
N,0.0,1021.8,SW,,2010-03-20,74.0,9.4,9.0,26.8,1019.9,18.6,Adelaide,26.0,15.0,38.0,WSW,16.0,No,28.5,No
NNW,0.4,1023.5,WSW,,2010-03-21,68.0,10.8,6.0,28.8,1021.5,20.1,Adelaide,46.0,19.0,37.0,WSW,17.6,No,29.5,No
ESE,0.0,1025.0,WSW,14.8,2010-03-22,62.0,10.9,9.0,22.9,1022.6,16.1,Adelaide,30.0,15.0,44.0,WSW,12.8,No,23.9,No
ESE,0.0,1025.7,SW,3.8,2010-03-23,58.0,10.9,7.0,24.0,1023.4,15.5,Adelaide,28.0,9.0,37.0,WSW,10.4,No,24.9,No
,0.0,1025.1,WSW,5.0,2010-03-24,64.0,10.9,0.0,28.5,1021.0,15.9,Adelaide,24.0,9.0,28.0,WSW,11.5,No,29.2,No
NE,0.0,1019.3,NW,4.0,2010-03-25,50.0,10.4,6.0,32.6,1016.7,19.3,Adelaide,28.0,15.0,11.0,N,14.1,No,33.7,No
S,0.0,1018.3,SSW,6.0,2010-03-26,37.0,6.9,2.0,27.7,1016.2,21.9,Adelaide,28.0,13.0,34.0,WSW,14.8,No,33.3,No
ESE,0.0,1017.5,E,,2010-03-27,58.0,1.7,2.0,26.5,1015.1,21.0,Adelaide,33.0,13.0,39.0,ENE,19.8,No,29.1,No
,0.2,1011.5,NNE,,2010-03-28,70.0,0.0,0.0,19.0,1011.2,22.3,Adelaide,28.0,6.0,90.0,SW,21.0,No,22.6,Yes
SSW,6.0,1016.6,SW,9.2,2010-03-29,74.0,9.5,9.0,23.3,1017.3,19.7,Adelaide,41.0,19.0,52.0,WSW,18.1,Yes,24.2,No
SE,0.0,1024.6,SE,4.6,2010-03-30,71.0,10.1,9.0,23.5,1022.3,16.5,Adelaide,30.0,15.0,36.0,ESE,13.5,No,24.2,No
ENE,0.0,1022.0,SW,4.6,2010-03-31,50.0,10.8,9.0,26.5,1018.9,18.1,Adelaide,26.0,9.0,31.0,WSW,13.2,No,27.0,No
,0.0,1020.8,WSW,5.0,2010-04-01,55.0,9.7,0.0,28.5,1018.6,17.6,Adelaide,30.0,11.0,28.0,SE,14.1,No,29.0,No
ESE,0.0,1021.8,SE,,2010-04-02,54.0,10.8,9.0,26.0,1019.2,17.7,Adelaide,52.0,9.0,33.0,ESE,16.1,No,26.7,No
W,0.0,1022.4,S,,2010-04-03,55.0,7.1,4.0,24.2,1019.3,15.3,Adelaide,54.0,9.0,33.0,ESE,14.7,No,25.0,No
NNE,0.0,1017.8,SW,,2010-04-04,35.0,8.7,11.0,27.2,1013.9,22.1,Adelaide,24.0,15.0,28.0,SW,15.2,No,28.4,No
NE,0.0,1013.4,WSW,,2010-04-05,34.0,5.7,7.0,30.5,1008.5,23.4,Adelaide,44.0,13.0,19.0,N,19.4,No,32.2,Yes
N,34.0,1007.8,W,24.4,2010-04-06,95.0,6.7,9.0,22.5,1006.4,18.1,Adelaide,35.0,20.0,58.0,NE,17.7,Yes,24.2,No
N,0.2,1012.2,WNW,2.4,2010-04-07,83.0,1.0,13.0,21.3,1013.1,18.9,Adelaide,39.0,19.0,63.0,WNW,16.9,No,22.2,No
SSE,0.0,1020.3,SW,2.2,2010-04-08,68.0,8.0,9.0,22.8,1017.1,19.7,Adelaide,39.0,9.0,57.0,E,16.9,No,24.5,Yes
NNE,6.0,1011.7,SW,3.8,2010-04-09,94.0,1.9,7.0,20.8,1009.5,17.9,Adelaide,35.0,15.0,73.0,ENE,17.6,Yes,22.9,No
W,0.4,1013.3,WSW,,2010-04-10,77.0,7.9,15.0,21.0,1011.0,18.5,Adelaide,50.0,19.0,66.0,WSW,15.3,No,22.7,No
SW,0.6,1016.2,SSW,,2010-04-11,58.0,7.3,22.0,18.0,1016.6,17.1,Adelaide,48.0,15.0,48.0,WSW,15.1,No,19.4,No
NNE,0.0,1024.0,SW,,2010-04-12,56.0,9.6,2.0,19.2,1022.2,13.3,Adelaide,35.0,20.0,44.0,WSW,7.4,No,19.9,No
ESE,0.0,1028.1,SSW,11.2,2010-04-13,52.0,10.6,6.0,19.2,1024.7,15.6,Adelaide,24.0,9.0,44.0,W,8.4,No,19.9,No
,0.0,1025.5,WSW,2.8,2010-04-14,60.0,9.9,0.0,21.0,1022.4,15.6,Adelaide,22.0,11.0,41.0,SSW,9.6,No,21.8,No
ENE,0.0,1025.0,WSW,2.4,2010-04-15,54.0,10.8,9.0,21.9,1022.3,17.6,Adelaide,26.0,17.0,45.0,E,9.7,No,22.9,No
NNE,0.0,1022.2,SW,3.2,2010-04-16,45.0,9.4,13.0,22.7,1018.8,18.7,Adelaide,28.0,15.0,38.0,NW,10.9,No,25.0,No
NNE,0.0,1020.1,WSW,,2010-04-17,29.0,6.4,9.0,25.9,1017.3,22.7,Adelaide,30.0,9.0,30.0,NNE,14.0,No,28.5,No
NE,0.6,1018.5,NNW,,2010-04-18,46.0,4.4,17.0,26.5,1016.0,22.4,Adelaide,30.0,13.0,28.0,NNW,17.2,No,27.3,No
NE,0.8,1019.1,SW,9.6,2010-04-19,86.0,5.6,9.0,23.3,1016.8,18.1,Adelaide,20.0,9.0,58.0,SW,15.5,No,24.6,No
,0.0,1018.6,SSE,2.4,2010-04-20,72.0,5.6,0.0,27.5,1015.4,20.1,Adelaide,31.0,13.0,46.0,N,15.5,No,27.8,No
N,0.0,1019.5,SW,2.6,2010-04-21,64.0,10.6,2.0,26.7,1017.2,21.5,Adelaide,24.0,15.0,48.0,NW,14.5,No,28.6,No
N,0.0,1019.9,NNW,3.2,2010-04-22,52.0,10.6,9.0,29.4,1016.6,23.8,Adelaide,35.0,17.0,33.0,NW,16.7,No,30.2,No
NNW,0.0,1016.6,NW,4.4,2010-04-23,57.0,1.0,11.0,22.9,1013.2,22.9,Adelaide,30.0,9.0,55.0,NNE,20.4,No,26.0,No
W,0.0,1013.8,WSW,,2010-04-24,75.0,4.2,17.0,18.7,1012.4,17.6,Adelaide,52.0,22.0,59.0,WSW,17.4,No,21.2,Yes
S,4.2,1021.8,WSW,,2010-04-25,76.0,9.9,9.0,19.7,1022.3,16.2,Adelaide,33.0,15.0,52.0,SW,12.5,Yes,20.0,No
NNE,0.0,1023.5,NNW,,2010-04-26,52.0,5.6,11.0,20.4,1019.7,17.5,Adelaide,44.0,19.0,39.0,NNW,9.1,No,22.4,No
S,0.2,1021.4,SW,10.0,2010-04-27,67.0,7.7,13.0,19.0,1020.6,17.0,Adelaide,,19.0,42.0,,15.4,No,20.1,No
NNE,0.0,1023.6,WNW,3.0,2010-04-28,73.0,1.6,7.0,17.5,1021.5,13.5,Adelaide,44.0,24.0,72.0,W,10.3,No,18.3,Yes
,2.6,1025.7,SW,1.2,2010-04-29,78.0,2.6,0.0,17.7,1025.2,16.6,Adelaide,35.0,13.0,57.0,WSW,13.5,Yes,19.2,No
ENE,0.0,1028.4,NW,1.8,2010-04-30,66.0,6.6,9.0,21.0,1024.7,15.7,Adelaide,22.0,7.0,48.0,ENE,10.8,No,21.2,No
N,0.0,1023.8,NW,,2010-05-01,58.0,10.3,11.0,24.8,1020.8,18.1,Adelaide,35.0,17.0,36.0,NNW,11.9,No,25.3,No
SSE,0.0,1026.2,ESE,,2010-05-02,67.0,3.0,13.0,19.5,1024.9,17.1,Adelaide,41.0,13.0,46.0,ESE,13.1,No,20.3,No
NNE,0.0,1021.2,NW,9.2,2010-05-03,48.0,8.0,11.0,24.6,1015.6,19.2,Adelaide,37.0,19.0,30.0,NNW,14.8,No,26.3,Yes
WSW,5.2,1014.4,WSW,3.0,2010-05-04,89.0,4.2,24.0,15.4,1015.0,14.8,Adelaide,54.0,15.0,67.0,W,14.7,Yes,17.7,Yes
,1.4,1021.8,WSW,3.0,2010-05-05,65.0,3.2,0.0,14.8,1020.9,14.8,Adelaide,48.0,11.0,74.0,W,11.1,Yes,17.1,Yes
N,4.2,1024.8,W,0.8,2010-05-06,93.0,4.8,7.0,18.1,1022.9,13.3,Adelaide,24.0,13.0,67.0,W,11.8,Yes,19.7,No
N,0.0,1024.6,WNW,1.8,2010-05-07,68.0,4.0,9.0,19.0,1022.6,15.6,Adelaide,28.0,13.0,68.0,WNW,12.1,No,20.0,No
N,0.6,1024.6,NW,,2010-05-08,90.0,6.5,7.0,21.1,1021.3,15.8,Adelaide,20.0,9.0,53.0,WNW,14.5,No,21.9,No
NE,0.0,1020.6,NW,,2010-05-09,63.0,10.3,9.0,23.3,1016.7,17.5,Adelaide,30.0,15.0,43.0,W,10.5,No,23.6,No
NNE,0.0,1014.7,WNW,5.6,2010-05-10,40.0,9.5,9.0,23.3,1010.8,17.8,Adelaide,46.0,20.0,28.0,NNW,11.8,No,23.4,No
SW,0.0,1019.8,SSW,3.4,2010-05-11,43.0,9.6,22.0,15.6,1021.0,14.4,Adelaide,48.0,20.0,39.0,SW,12.3,No,16.4,No
NNE,0.0,1027.4,SE,3.2,2010-05-12,59.0,4.1,9.0,15.5,1025.6,12.5,Adelaide,19.0,7.0,43.0,SW,8.9,No,16.8,No
NE,0.0,1026.5,N,1.6,2010-05-13,51.0,9.9,9.0,18.0,1021.7,13.3,Adelaide,24.0,9.0,36.0,NNW,6.0,No,18.5,No
NNE,0.0,1021.6,W,2.0,2010-05-14,43.0,9.8,9.0,18.5,1017.4,13.8,Adelaide,24.0,11.0,28.0,NW,5.9,No,19.9,No
,0.0,1018.9,NE,,2010-05-15,57.0,4.0,0.0,18.3,1015.6,9.8,Adelaide,22.0,11.0,24.0,NE,4.3,No,19.3,No
NNE,0.0,1017.7,W,,2010-05-16,43.0,8.4,4.0,19.8,1016.3,14.8,Adelaide,26.0,11.0,34.0,NNW,7.0,No,20.7,No
,0.0,1020.8,WNW,6.4,2010-05-17,62.0,9.5,0.0,19.9,1018.5,13.1,Adelaide,17.0,11.0,36.0,NW,7.0,No,20.4,No
NE,0.0,1022.3,WNW,1.6,2010-05-18,66.0,9.4,6.0,20.0,1019.9,12.7,Adelaide,17.0,6.0,50.0,WSW,6.5,No,20.1,No
NNE,0.0,1023.2,WNW,1.0,2010-05-19,62.0,6.0,6.0,20.3,1020.3,13.8,Adelaide,15.0,9.0,37.0,NNE,7.8,No,20.9,No
NNE,0.0,1022.2,NW,1.4,2010-05-20,54.0,5.0,6.0,20.3,1020.0,14.9,Adelaide,24.0,9.0,44.0,ESE,11.5,No,21.0,No
,0.0,1023.6,SW,1.2,2010-05-21,60.0,9.6,0.0,19.5,1021.2,14.0,Adelaide,22.0,15.0,40.0,W,7.1,No,20.2,No
ENE,0.0,1022.6,WSW,,2010-05-22,64.0,9.2,2.0,20.5,1018.2,13.6,Adelaide,28.0,9.0,33.0,NE,7.0,No,21.3,No
NE,0.0,1014.6,NNE,,2010-05-23,42.0,0.4,17.0,13.9,1010.2,14.9,Adelaide,54.0,24.0,56.0,NE,12.9,No,16.7,Yes
NNE,5.0,1006.2,N,6.2,2010-05-24,76.0,3.3,11.0,19.3,1003.1,15.2,Adelaide,35.0,7.0,69.0,NE,11.2,Yes,20.4,Yes
,20.0,1005.9,S,0.6,2010-05-25,97.0,2.0,0.0,17.5,1006.6,13.8,Adelaide,31.0,15.0,65.0,SE,13.1,Yes,17.8,No
SW,0.6,1014.7,WSW,1.6,2010-05-26,78.0,5.4,7.0,18.2,1013.8,15.8,Adelaide,28.0,17.0,61.0,SW,13.7,No,19.3,No
N,0.0,1018.3,N,1.6,2010-05-27,83.0,5.6,2.0,19.0,1014.2,12.9,Adelaide,26.0,17.0,48.0,N,9.2,No,19.5,No
NNE,0.0,1009.2,NNW,2.4,2010-05-28,50.0,0.0,13.0,14.5,1005.7,16.5,Adelaide,31.0,15.0,80.0,NNE,12.9,No,17.2,
WSW,,1008.2,SSW,,2010-05-29,66.0,2.3,22.0,14.0,1010.3,14.1,Adelaide,50.0,15.0,89.0,SW,12.1,,14.8,Yes
SW,17.8,1018.8,SSW,,2010-05-30,92.0,1.3,9.0,15.6,1018.3,14.2,Adelaide,39.0,17.0,76.0,SSW,11.6,Yes,17.0,Yes
SSW,2.0,1021.1,S,1.8,2010-05-31,77.0,4.6,7.0,16.9,1018.3,13.7,Adelaide,28.0,9.0,56.0,SSE,11.6,Yes,17.2,No
E,0.0,1019.4,W,1.2,2010-06-01,87.0,0.4,6.0,14.7,1017.4,13.4,Adelaide,19.0,7.0,79.0,WNW,10.9,No,16.2,No
NE,0.2,1022.7,WSW,0.4,2010-06-02,77.0,5.7,6.0,16.0,1022.5,11.9,Adelaide,20.0,15.0,65.0,WSW,6.8,No,17.9,No
,0.0,1026.8,WSW,1.4,2010-06-03,82.0,9.2,0.0,16.9,1024.4,10.9,Adelaide,22.0,13.0,49.0,W,5.6,No,17.6,No
,0.0,1025.5,W,1.0,2010-06-04,78.0,8.7,0.0,15.7,1023.1,10.1,Adelaide,24.0,17.0,67.0,W,4.8,No,17.0,
,,1023.7,SSE,,2010-06-05,87.0,7.7,0.0,15.8,1023.1,12.7,Adelaide,35.0,13.0,61.0,S,9.9,,16.9,No
NNE,0.2,1029.0,,,2010-06-06,82.0,1.5,4.0,12.4,1028.1,9.4,Adelaide,20.0,0.0,80.0,WSW,5.7,No,14.3,No
NE,0.6,1028.9,NW,3.0,2010-06-07,86.0,5.3,4.0,14.9,1025.9,8.6,Adelaide,22.0,9.0,41.0,WNW,6.5,No,15.5,No
NNE,0.4,1022.7,NW,1.4,2010-06-08,74.0,4.5,9.0,15.1,1017.3,10.5,Adelaide,61.0,28.0,44.0,W,6.6,No,15.9,Yes
WSW,6.4,1019.5,SSW,1.6,2010-06-09,67.0,5.5,17.0,13.6,1020.4,13.4,Adelaide,61.0,26.0,72.0,SW,8.7,Yes,15.1,Yes
E,1.4,1028.5,W,1.4,2010-06-10,92.0,2.9,2.0,14.9,1026.7,9.6,Adelaide,31.0,17.0,64.0,W,7.3,Yes,16.3,Yes
SSW,1.4,1028.3,SW,0.8,2010-06-11,78.0,3.9,6.0,15.0,1026.4,13.3,Adelaide,35.0,24.0,58.0,SW,9.6,Yes,16.1,No
,0.0,1030.0,WSW,,2010-06-12,90.0,5.3,0.0,15.0,1028.7,9.1,Adelaide,24.0,13.0,61.0,W,6.9,No,16.0,No
,0.0,1034.0,SW,,2010-06-13,74.0,1.1,0.0,12.5,1032.0,8.4,Adelaide,20.0,13.0,49.0,SSW,4.3,No,13.4,No
ENE,0.0,1034.4,NNE,,2010-06-14,79.0,9.2,4.0,13.6,1030.8,6.5,Adelaide,26.0,6.0,38.0,NNE,2.2,No,13.8,No
NE,0.0,1029.2,WNW,5.0,2010-06-15,59.0,8.4,6.0,13.8,1025.1,8.8,Adelaide,24.0,7.0,43.0,NNW,2.3,No,14.0,No
NNE,0.0,1019.3,NNW,2.0,2010-06-16,53.0,1.0,11.0,16.3,1011.5,12.7,Adelaide,54.0,28.0,45.0,NNW,6.1,No,16.9,Yes
WNW,6.4,1014.4,WSW,1.2,2010-06-17,77.0,4.8,19.0,14.5,1015.8,13.1,Adelaide,65.0,24.0,57.0,WSW,12.0,Yes,16.3,No
NNE,1.0,1019.9,NW,1.6,2010-06-18,92.0,1.7,9.0,15.7,1018.3,10.9,Adelaide,31.0,15.0,75.0,NW,9.7,No,16.5,Yes
WNW,2.6,1023.2,WNW,,2010-06-19,96.0,1.8,11.0,15.0,1023.1,14.3,Adelaide,35.0,11.0,88.0,WNW,10.8,Yes,17.0,No
N,0.2,1029.4,SW,,2010-06-20,96.0,4.0,4.0,16.8,1028.5,13.4,Adelaide,22.0,11.0,65.0,WSW,13.1,No,17.3,No
,0.2,1034.9,SSW,1.8,2010-06-21,95.0,4.4,0.0,14.8,1033.1,9.4,Adelaide,19.0,7.0,76.0,SW,6.4,No,16.4,No
ENE,0.0,1034.5,ENE,1.2,2010-06-22,78.0,0.4,2.0,17.2,1031.3,12.5,Adelaide,26.0,6.0,55.0,ESE,9.4,No,17.3,No
NE,0.0,1030.1,N,0.8,2010-06-23,66.0,8.1,4.0,17.5,1025.9,10.8,Adelaide,28.0,11.0,41.0,NE,8.2,No,18.2,No
NE,0.0,1020.8,N,2.0,2010-06-24,63.0,1.4,11.0,18.1,1015.9,13.6,Adelaide,35.0,17.0,48.0,N,10.8,No,18.2,Yes
,10.2,1018.8,SSW,1.0,2010-06-25,95.0,5.4,0.0,14.1,1020.5,11.6,Adelaide,37.0,20.0,53.0,SSW,11.1,Yes,15.2,No
,0.6,1027.7,SSE,,2010-06-26,87.0,6.1,0.0,13.3,1026.1,7.9,Adelaide,31.0,13.0,49.0,WSW,6.4,No,14.2,No
ENE,0.2,1027.5,NW,,2010-06-27,78.0,7.9,2.0,14.0,1024.2,7.4,Adelaide,22.0,13.0,45.0,N,3.1,No,14.5,No
N,0.0,1019.3,NNW,4.2,2010-06-28,66.0,5.0,17.0,14.0,1015.4,8.9,Adelaide,54.0,28.0,44.0,NNW,6.3,No,14.6,Yes
N,17.0,1014.3,WSW,1.6,2010-06-29,93.0,0.5,17.0,9.6,1013.6,8.5,Adelaide,35.0,15.0,91.0,WSW,8.4,Yes,11.9,Yes
,16.8,1020.8,S,2.0,2010-06-30,99.0,5.6,0.0,11.3,1020.7,8.1,Adelaide,24.0,7.0,67.0,SSW,5.2,Yes,14.0,No
WSW,1.0,1025.1,N,0.2,2010-07-01,94.0,2.0,2.0,11.9,1024.0,6.4,Adelaide,13.0,7.0,68.0,N,3.4,No,12.0,No
NE,0.0,1025.6,WSW,0.2,2010-07-02,94.0,7.7,6.0,13.0,1025.1,6.3,Adelaide,22.0,11.0,62.0,W,2.3,No,13.9,No
,0.0,1033.6,WSW,,2010-07-03,91.0,8.2,0.0,15.0,1031.7,8.2,Adelaide,17.0,9.0,49.0,N,4.5,No,15.6,No
NE,0.0,1031.2,NNW,,2010-07-04,74.0,8.9,7.0,14.5,1026.5,9.0,Adelaide,22.0,13.0,43.0,N,3.0,No,15.0,No
ENE,0.0,1025.6,WNW,3.4,2010-07-05,67.0,8.0,9.0,13.8,1022.4,9.5,Adelaide,19.0,11.0,43.0,ENE,2.4,No,14.1,No
NNE,0.0,1026.2,WNW,0.8,2010-07-06,81.0,6.4,7.0,14.2,1024.5,7.9,Adelaide,20.0,13.0,56.0,WNW,3.0,No,15.0,No
NE,0.0,1029.2,SW,,2010-07-07,82.0,4.7,7.0,14.1,1026.5,10.8,Adelaide,17.0,9.0,61.0,WSW,7.9,No,15.9,No
,0.0,1028.4,NE,1.4,2010-07-08,88.0,6.1,0.0,16.0,1024.7,8.2,Adelaide,22.0,6.0,39.0,N,4.4,No,17.0,No
N,0.0,1024.0,NNE,1.0,2010-07-09,57.0,3.7,13.0,15.0,1019.5,11.0,Adelaide,63.0,19.0,43.0,NE,5.2,No,16.4,
NNW,,1010.0,NNW,,2010-07-10,82.0,1.5,39.0,15.1,1010.4,12.4,Adelaide,74.0,26.0,64.0,NE,11.0,,15.6,
N,,1019.4,NW,,2010-07-11,85.0,4.3,13.0,15.7,1018.9,10.6,Adelaide,33.0,19.0,61.0,NW,9.9,,16.4,Yes
NNE,10.0,1019.6,N,5.4,2010-07-12,64.0,6.9,13.0,16.2,1014.1,11.7,Adelaide,41.0,22.0,39.0,NNW,6.9,Yes,16.5,No
N,0.0,1005.4,W,2.0,2010-07-13,64.0,5.1,13.0,11.4,1003.3,14.4,Adelaide,65.0,20.0,79.0,W,11.7,No,18.5,Yes
W,12.4,1011.5,WSW,2.2,2010-07-14,88.0,,20.0,14.3,1014.2,11.9,Adelaide,65.0,20.0,77.0,NW,9.1,Yes,15.3,Yes
NNE,4.4,1024.9,WSW,0.8,2010-07-15,82.0,4.3,6.0,15.2,1024.6,12.1,Adelaide,26.0,13.0,52.0,WSW,9.9,Yes,15.7,No
,0.0,1028.2,WNW,1.4,2010-07-16,80.0,1.8,0.0,14.6,1026.0,11.3,Adelaide,24.0,9.0,63.0,NNW,8.8,No,15.8,No
N,0.0,1025.6,NNW,,2010-07-17,61.0,7.6,13.0,15.5,1021.4,11.4,Adelaide,41.0,24.0,54.0,NNW,8.1,No,16.4,Yes
NE,2.0,1019.1,NNE,,2010-07-18,90.0,0.0,11.0,10.8,1016.9,9.2,Adelaide,26.0,11.0,92.0,NNE,9.1,Yes,11.5,Yes
NNE,12.4,1022.7,NW,2.4,2010-07-19,99.0,7.2,6.0,14.9,1021.2,7.8,Adelaide,31.0,17.0,58.0,W,6.3,Yes,15.2,Yes
N,5.2,1027.3,SSW,1.0,2010-07-20,95.0,6.4,6.0,12.7,1026.6,9.7,Adelaide,28.0,11.0,71.0,SW,7.0,Yes,15.0,No
NNE,0.6,1032.3,SW,1.0,2010-07-21,91.0,7.1,2.0,14.0,1031.1,7.2,Adelaide,20.0,13.0,69.0,SW,3.5,No,15.2,No
,0.0,1035.9,WSW,1.0,2010-07-22,88.0,3.8,0.0,13.2,1033.9,9.6,Adelaide,15.0,9.0,74.0,SW,4.3,No,13.7,No
,0.0,1035.9,WNW,0.4,2010-07-23,73.0,0.0,0.0,12.0,1033.2,11.3,Adelaide,19.0,7.0,73.0,ENE,8.3,No,12.6,No
NE,0.0,1033.7,SW,,2010-07-24,72.0,0.0,6.0,12.9,1031.3,10.8,Adelaide,20.0,9.0,59.0,SE,7.0,No,13.3,No
,0.0,1033.9,SW,,2010-07-25,84.0,9.6,0.0,14.2,1031.6,7.9,Adelaide,22.0,11.0,59.0,WSW,3.5,No,15.3,No
