WindGustDir,Cloud9am,Temp9amC,RainToday,Sunshine,Pressure3pm,WindSpeed3pm,WindDir9am,WindGustSpeed,RainTomorrow,Cloud3pm,WindSpeed9am,Date,MinTempC,Location,Evaporation,MaxTempC,WindDir3pm,Rainfall,Humidity9am,Temp3pmC,Humidity3pm,Pressure9am
W,7.0,21.9,No,4.1,999.4,33.0,NNW,69.0,No,7.0,30.0,2010-12-18,19.5,SydneyAirport,7.8,27.2,NNW,0.0,47.0,26.1,31.0,1003.0
N,6.0,20.7,No,5.0,995.0,39.0,NW,69.0,Yes,4.0,9.0,2010-12-19,17.3,SydneyAirport,5.0,28.3,N,0.0,65.0,26.5,36.0,1003.7
W,1.0,17.1,Yes,11.6,1001.0,46.0,W,76.0,No,2.0,39.0,2010-12-20,13.3,SydneyAirport,9.2,22.1,W,4.8,36.0,21.6,33.0,998.1
W,1.0,21.3,No,13.5,1008.1,28.0,NW,59.0,No,1.0,24.0,2010-12-21,16.1,SydneyAirport,8.4,28.8,W,0.0,31.0,27.9,20.0,1008.9
S,6.0,21.8,No,12.7,1018.0,33.0,SE,44.0,No,7.0,28.0,2010-12-22,17.6,SydneyAirport,9.2,23.8,S,0.0,68.0,21.3,76.0,1018.9
S,7.0,23.7,No,7.5,1016.2,15.0,NW,61.0,No,7.0,13.0,2010-12-23,19.5,SydneyAirport,8.4,31.3,E,0.0,59.0,30.2,39.0,1018.1
SSE,7.0,19.4,No,8.0,1024.1,22.0,SE,50.0,No,1.0,24.0,2010-12-24,18.7,SydneyAirport,8.0,23.4,SE,0.0,61.0,23.2,42.0,1026.4
NE,1.0,23.1,No,12.5,1011.4,31.0,N,54.0,No,1.0,15.0,2010-12-25,16.2,SydneyAirport,7.0,28.1,NNE,0.0,56.0,26.5,52.0,1017.3
S,7.0,21.2,No,3.5,1001.4,19.0,WNW,80.0,Yes,4.0,22.0,2010-12-26,21.2,SydneyAirport,8.0,32.2,NW,0.4,86.0,29.5,48.0,1006.3
SSE,8.0,18.3,Yes,0.3,1006.3,35.0,SSW,61.0,Yes,8.0,17.0,2010-12-27,17.9,SydneyAirport,11.8,20.0,SSE,31.0,93.0,18.4,83.0,1005.9
SSE,3.0,19.1,Yes,2.5,1019.2,22.0,SE,44.0,No,7.0,17.0,2010-12-28,14.8,SydneyAirport,5.4,22.8,SE,2.6,46.0,20.4,48.0,1019.3
NE,1.0,22.3,No,12.7,1014.8,37.0,N,52.0,No,1.0,15.0,2010-12-29,17.5,SydneyAirport,5.2,27.7,NE,0.0,57.0,25.9,48.0,1018.5
ENE,1.0,22.6,No,13.1,1015.6,22.0,SSE,39.0,No,1.0,19.0,2010-12-30,19.4,SydneyAirport,8.6,27.0,E,0.0,75.0,26.5,54.0,1017.0
NNE,2.0,24.2,No,11.7,1013.9,37.0,W,57.0,No,1.0,11.0,2010-12-31,21.9,SydneyAirport,8.8,29.5,NE,0.0,76.0,28.9,53.0,1016.2
NE,0.0,26.8,No,10.8,1009.9,30.0,N,56.0,No,1.0,11.0,2011-01-01,20.6,SydneyAirport,10.0,33.3,NE,0.0,60.0,29.8,45.0,1013.4
S,1.0,23.4,No,8.6,1011.3,39.0,S,61.0,Yes,5.0,13.0,2011-01-02,20.5,SydneyAirport,10.6,25.4,S,0.0,77.0,22.9,83.0,1012.3
S,8.0,19.4,Yes,0.1,1013.6,28.0,SSW,52.0,Yes,8.0,26.0,2011-01-03,18.9,SydneyAirport,7.2,21.2,S,2.4,87.0,18.7,88.0,1014.8
S,7.0,19.8,Yes,1.9,1011.8,24.0,SSW,48.0,No,7.0,28.0,2011-01-04,17.5,SydneyAirport,5.0,21.4,S,3.0,78.0,20.9,65.0,1014.5
SSW,8.0,20.4,No,7.2,1006.0,20.0,S,39.0,No,6.0,9.0,2011-01-05,16.8,SydneyAirport,5.4,23.9,E,0.0,67.0,23.3,53.0,1008.2
S,6.0,21.3,No,12.3,1011.4,28.0,S,44.0,Yes,6.0,35.0,2011-01-06,19.4,SydneyAirport,5.2,23.3,S,0.0,79.0,22.8,75.0,1011.1
ENE,7.0,20.7,Yes,4.8,,24.0,S,44.0,Yes,6.0,22.0,2011-01-07,19.2,SydneyAirport,6.4,26.2,E,2.8,96.0,24.8,76.0,1014.0
NE,4.0,24.4,Yes,10.3,1012.3,20.0,NE,46.0,Yes,3.0,19.0,2011-01-08,20.6,SydneyAirport,5.2,27.8,ENE,5.6,66.0,27.1,53.0,1014.0
NE,8.0,24.5,Yes,7.5,1014.6,30.0,NE,41.0,Yes,6.0,26.0,2011-01-09,21.5,SydneyAirport,4.6,27.7,E,11.4,82.0,27.2,62.0,1014.6
NE,4.0,25.1,Yes,6.6,1015.0,28.0,ENE,48.0,Yes,7.0,28.0,2011-01-10,21.6,SydneyAirport,7.0,26.9,E,5.0,74.0,26.7,60.0,1016.7
E,7.0,24.9,Yes,0.8,1012.1,33.0,ENE,59.0,Yes,7.0,26.0,2011-01-11,21.5,SydneyAirport,6.6,26.8,ENE,3.4,70.0,25.8,70.0,
NE,7.0,25.5,Yes,5.6,1011.6,44.0,NNE,65.0,No,7.0,22.0,2011-01-12,22.3,SydneyAirport,4.4,29.2,NE,1.8,76.0,27.8,65.0,1012.6
NE,7.0,25.1,No,1.9,1013.9,33.0,NE,48.0,No,7.0,28.0,2011-01-13,23.6,SydneyAirport,10.6,27.4,NE,0.0,74.0,24.7,79.0,1015.0
NE,6.0,26.6,No,9.8,1009.2,44.0,N,65.0,No,5.0,26.0,2011-01-14,21.9,SydneyAirport,4.6,29.9,NE,0.0,55.0,28.7,50.0,1012.5
SSW,8.0,23.5,No,1.6,1007.0,11.0,W,41.0,No,7.0,7.0,2011-01-15,22.2,SydneyAirport,11.4,30.5,W,0.2,80.0,29.6,60.0,1009.4
SSW,7.0,23.0,No,7.9,1007.5,20.0,S,35.0,No,1.0,24.0,2011-01-16,21.7,SydneyAirport,4.2,28.8,SE,0.0,88.0,27.8,69.0,1010.4
S,1.0,26.3,No,9.6,1001.8,35.0,N,57.0,No,7.0,13.0,2011-01-17,21.8,SydneyAirport,8.8,29.9,S,0.0,59.0,22.7,85.0,1002.9
SSW,6.0,22.0,No,7.3,1007.6,28.0,S,37.0,No,6.0,20.0,2011-01-18,19.9,SydneyAirport,8.0,25.8,SE,0.0,75.0,24.3,59.0,1007.8
ENE,7.0,20.7,No,3.6,1009.7,22.0,SSW,46.0,No,7.0,24.0,2011-01-19,19.2,SydneyAirport,5.6,25.6,E,0.4,85.0,24.2,70.0,1010.2
NE,5.0,25.4,No,12.3,1013.6,30.0,E,46.0,Yes,2.0,24.0,2011-01-20,20.6,SydneyAirport,5.8,27.9,E,0.0,59.0,26.8,52.0,1013.8
NE,3.0,25.1,Yes,12.4,1013.0,35.0,NNE,48.0,No,3.0,9.0,2011-01-21,20.4,SydneyAirport,8.2,29.1,ENE,2.2,58.0,28.4,46.0,1015.2
E,4.0,25.1,No,11.7,1015.1,22.0,NE,39.0,No,3.0,22.0,2011-01-22,20.6,SydneyAirport,10.2,30.0,ENE,0.0,59.0,28.4,35.0,1016.4
NNE,5.0,25.6,No,10.2,1008.7,39.0,N,61.0,No,2.0,26.0,2011-01-23,22.5,SydneyAirport,11.0,30.1,NE,0.0,51.0,29.5,42.0,1012.3
SSW,4.0,27.0,No,7.5,1001.2,31.0,N,72.0,No,7.0,17.0,2011-01-24,21.5,SydneyAirport,10.8,36.7,NNW,0.0,51.0,33.5,30.0,1004.0
SSW,7.0,23.5,No,10.2,1006.8,20.0,SSW,56.0,No,4.0,13.0,2011-01-25,21.4,SydneyAirport,10.6,29.6,E,0.0,74.0,28.5,58.0,1008.3
S,6.0,27.0,No,9.3,1010.2,20.0,WNW,59.0,No,4.0,7.0,2011-01-26,22.8,SydneyAirport,7.0,31.4,SSE,0.0,76.0,26.0,85.0,1011.6
,7.0,23.6,No,6.3,1011.2,26.0,S,,No,3.0,20.0,2011-01-27,22.2,SydneyAirport,7.2,29.4,SE,0.0,84.0,28.4,66.0,1013.9
,7.0,22.7,No,4.3,1019.5,30.0,S,,No,5.0,30.0,2011-01-28,22.8,SydneyAirport,7.2,24.6,S,0.0,77.0,23.4,68.0,1019.2
ENE,7.0,23.0,No,8.2,1021.4,28.0,NE,44.0,No,2.0,15.0,2011-01-29,19.5,SydneyAirport,7.8,26.0,ENE,0.0,60.0,24.9,45.0,1021.7
NNE,0.0,23.9,No,12.8,1015.9,31.0,N,54.0,No,0.0,20.0,2011-01-30,18.7,SydneyAirport,8.4,30.5,NE,0.0,72.0,29.9,44.0,1020.3
NE,0.0,28.4,No,12.8,1011.4,28.0,WNW,44.0,No,0.0,13.0,2011-01-31,22.3,SydneyAirport,9.2,35.6,NE,0.0,53.0,34.7,32.0,1015.2
NE,0.0,27.6,No,12.3,1006.2,28.0,NW,44.0,No,1.0,9.0,2011-02-01,23.4,SydneyAirport,12.0,40.8,NE,0.0,60.0,38.0,29.0,1011.4
S,1.0,25.6,No,11.0,1012.7,20.0,S,44.0,No,1.0,19.0,2011-02-02,25.1,SydneyAirport,12.8,32.0,E,0.0,71.0,29.8,61.0,1015.6
S,8.0,25.6,No,5.7,1010.1,17.0,SSE,61.0,No,6.0,17.0,2011-02-03,24.2,SydneyAirport,10.2,36.7,S,0.0,87.0,30.8,66.0,1011.6
NNE,5.0,28.4,No,6.8,1010.9,33.0,N,48.0,No,3.0,13.0,2011-02-04,24.2,SydneyAirport,5.2,33.2,NE,0.0,63.0,30.4,61.0,1014.9
N,6.0,33.2,No,12.4,1006.2,39.0,NW,59.0,No,1.0,13.0,2011-02-05,24.4,SydneyAirport,8.4,42.2,NNW,0.0,48.0,41.1,19.0,1009.9
S,7.0,29.5,No,2.6,1016.0,65.0,W,83.0,No,7.0,13.0,2011-02-06,26.4,SydneyAirport,16.6,35.0,S,0.0,49.0,20.5,84.0,1012.7
S,8.0,18.5,No,0.0,1021.1,19.0,SW,46.0,No,8.0,24.0,2011-02-07,17.2,SydneyAirport,6.8,21.8,SE,0.6,65.0,21.1,60.0,1024.2
SE,7.0,20.6,No,3.9,1019.0,20.0,SW,30.0,No,7.0,9.0,2011-02-08,18.5,SydneyAirport,4.8,24.8,ESE,0.0,72.0,23.7,50.0,1019.8
S,5.0,21.2,No,6.0,1023.6,26.0,S,41.0,No,7.0,24.0,2011-02-09,18.0,SydneyAirport,5.2,25.4,ESE,0.8,73.0,24.0,59.0,1024.8
NE,7.0,22.6,No,4.7,1020.3,22.0,W,46.0,No,4.0,6.0,2011-02-10,19.9,SydneyAirport,7.2,27.0,ENE,0.0,68.0,26.6,58.0,1023.6
NE,2.0,26.0,No,8.0,1011.0,30.0,NNE,54.0,No,6.0,13.0,2011-02-11,21.3,SydneyAirport,5.0,33.9,NE,0.0,59.0,33.3,39.0,1016.1
SSW,7.0,21.9,No,0.0,1016.7,35.0,S,61.0,Yes,8.0,46.0,2011-02-12,21.8,SydneyAirport,8.6,22.5,S,1.0,91.0,22.0,77.0,1015.2
S,8.0,21.6,Yes,0.0,1018.8,41.0,SSW,59.0,No,8.0,20.0,2011-02-13,19.5,SydneyAirport,2.4,22.3,S,10.4,84.0,21.0,88.0,1017.7
SSE,8.0,22.1,No,0.1,1023.7,26.0,SE,46.0,No,8.0,28.0,2011-02-14,19.8,SydneyAirport,4.0,23.8,SE,0.0,58.0,23.3,54.0,1023.9
E,7.0,20.9,No,3.0,1022.3,20.0,SW,35.0,No,6.0,9.0,2011-02-15,18.6,SydneyAirport,6.6,25.5,ESE,0.6,86.0,24.2,52.0,1023.9
NNE,8.0,21.5,No,3.9,1016.3,20.0,W,35.0,No,7.0,9.0,2011-02-16,20.1,SydneyAirport,3.6,27.6,E,0.0,77.0,27.5,56.0,1019.8
NNE,7.0,25.5,No,8.3,1011.1,17.0,NNW,41.0,No,5.0,15.0,2011-02-17,21.4,SydneyAirport,6.4,30.2,ENE,0.0,71.0,28.9,59.0,1013.8
S,7.0,23.0,No,3.8,1014.3,22.0,S,52.0,No,4.0,24.0,2011-02-18,22.3,SydneyAirport,5.0,26.1,S,0.0,87.0,24.9,79.0,1015.2
NE,7.0,25.9,No,7.8,1006.1,37.0,N,48.0,No,7.0,19.0,2011-02-19,22.4,SydneyAirport,4.4,32.5,NE,0.0,73.0,30.9,56.0,1011.3
SSE,7.0,26.6,No,9.5,1006.1,15.0,SSW,33.0,No,7.0,9.0,2011-02-20,24.5,SydneyAirport,7.2,32.1,SSE,0.0,83.0,27.9,69.0,1006.8
SSW,7.0,20.8,No,4.3,1012.9,28.0,SE,61.0,No,6.0,19.0,2011-02-21,19.6,SydneyAirport,8.2,25.1,SE,0.2,81.0,24.0,60.0,1013.0
S,7.0,19.8,No,3.2,1022.9,22.0,S,56.0,No,7.0,26.0,2011-02-22,19.4,SydneyAirport,9.0,20.6,S,0.0,58.0,19.3,68.0,1022.1
S,7.0,19.9,No,7.3,1021.8,20.0,SW,41.0,No,5.0,13.0,2011-02-23,16.9,SydneyAirport,4.2,23.5,S,0.4,73.0,22.8,56.0,1023.2
NE,2.0,21.5,No,12.0,1015.8,24.0,WNW,41.0,No,1.0,13.0,2011-02-24,16.9,SydneyAirport,5.0,27.7,ENE,0.0,62.0,26.7,42.0,1020.1
NE,5.0,23.0,No,7.6,1012.2,28.0,NW,35.0,No,6.0,9.0,2011-02-25,18.5,SydneyAirport,7.4,29.5,NNE,0.0,63.0,28.8,39.0,1014.9
,4.0,23.9,No,11.1,1009.3,30.0,SSE,,No,1.0,7.0,2011-02-26,21.1,SydneyAirport,7.6,29.6,ENE,0.0,79.0,28.2,52.0,1012.7
S,7.0,22.8,No,1.4,1007.3,17.0,WNW,50.0,No,7.0,19.0,2011-02-27,21.1,SydneyAirport,8.0,32.2,NW,0.0,69.0,29.3,44.0,1008.6
NNE,5.0,23.8,No,2.4,1007.8,28.0,NNE,44.0,No,6.0,19.0,2011-02-28,22.1,SydneyAirport,5.0,29.0,ENE,0.4,77.0,27.0,58.0,1010.4
S,6.0,28.7,No,1.9,1003.1,13.0,NNW,63.0,No,7.0,17.0,2011-03-01,22.2,SydneyAirport,4.4,34.4,W,0.6,51.0,32.7,37.0,1002.5
SSE,8.0,20.5,No,0.0,1015.2,17.0,ESE,43.0,No,8.0,17.0,2011-03-02,18.6,SydneyAirport,9.2,22.9,ENE,0.0,56.0,21.3,57.0,1017.4
W,2.0,20.9,No,10.5,1007.5,26.0,WNW,46.0,No,6.0,15.0,2011-03-03,17.6,SydneyAirport,2.2,31.7,SE,0.0,70.0,27.8,34.0,1009.4
SSE,5.0,23.5,No,9.4,1009.7,28.0,NW,52.0,No,2.0,11.0,2011-03-04,19.1,SydneyAirport,8.0,28.1,ENE,0.0,62.0,26.8,54.0,1011.9
SSE,7.0,19.4,No,0.6,1023.9,26.0,SSE,50.0,No,7.0,33.0,2011-03-05,17.8,SydneyAirport,8.2,21.9,SE,0.8,57.0,21.0,50.0,1022.8
ESE,2.0,20.6,No,2.9,1026.8,22.0,SE,41.0,No,7.0,20.0,2011-03-06,18.1,SydneyAirport,8.2,22.4,SE,0.2,42.0,21.2,43.0,1027.4
E,4.0,22.1,No,10.1,1022.3,22.0,E,39.0,No,2.0,15.0,2011-03-07,17.2,SydneyAirport,4.8,24.8,E,0.0,51.0,23.5,48.0,1025.1
NNE,1.0,22.0,No,10.4,1015.6,35.0,NW,54.0,No,1.0,11.0,2011-03-08,17.7,SydneyAirport,6.8,28.1,NE,0.0,64.0,27.9,47.0,1020.0
WNW,7.0,23.2,No,2.3,1013.2,20.0,NW,31.0,No,7.0,13.0,2011-03-09,20.8,SydneyAirport,8.0,32.1,WNW,0.0,68.0,30.8,32.0,1015.4
SSW,7.0,25.0,No,0.0,1012.0,17.0,WNW,57.0,No,7.0,9.0,2011-03-10,23.0,SydneyAirport,6.2,29.2,NE,0.0,58.0,27.2,55.0,1013.5
S,7.0,22.3,No,1.8,1015.8,19.0,SSW,33.0,Yes,7.0,17.0,2011-03-11,21.4,SydneyAirport,3.6,25.7,SE,0.0,91.0,23.5,82.0,1016.2
NNE,2.0,22.7,Yes,9.8,1019.1,24.0,NW,37.0,No,3.0,4.0,2011-03-12,20.7,SydneyAirport,3.2,28.2,ENE,1.6,86.0,27.2,59.0,1020.9
NNE,1.0,25.0,No,10.7,1018.1,28.0,WNW,50.0,No,1.0,11.0,2011-03-13,22.4,SydneyAirport,6.4,29.8,ENE,0.0,69.0,29.6,53.0,1021.7
S,2.0,26.6,No,3.2,1021.0,37.0,NW,67.0,No,8.0,13.0,2011-03-14,22.2,SydneyAirport,8.0,27.2,S,0.0,62.0,21.5,86.0,1019.6
S,6.0,21.6,No,3.4,1018.5,22.0,SW,37.0,No,5.0,17.0,2011-03-15,18.1,SydneyAirport,4.0,23.4,S,0.2,80.0,22.8,73.0,1021.6
SSE,2.0,23.0,No,7.7,1017.1,26.0,NNW,44.0,Yes,6.0,13.0,2011-03-16,19.6,SydneyAirport,3.2,26.2,S,0.4,73.0,23.9,78.0,1017.4
SSW,7.0,21.0,Yes,5.9,1017.5,28.0,S,41.0,No,4.0,30.0,2011-03-17,20.5,SydneyAirport,5.8,24.4,S,1.2,86.0,23.1,82.0,1019.7
SSW,8.0,20.9,No,0.9,1014.5,19.0,SSW,48.0,Yes,7.0,30.0,2011-03-18,20.0,SydneyAirport,5.4,23.6,SE,0.6,86.0,22.8,70.0,1015.5
E,7.0,21.8,Yes,0.9,1012.6,28.0,ESE,50.0,Yes,8.0,20.0,2011-03-19,19.0,SydneyAirport,5.2,23.4,ESE,14.4,84.0,21.3,91.0,1014.8
E,8.0,19.5,Yes,3.3,1010.6,35.0,ESE,54.0,Yes,6.0,20.0,2011-03-20,18.3,SydneyAirport,,24.9,E,106.0,95.0,23.2,71.0,1012.9
ENE,8.0,21.1,Yes,2.6,1003.5,28.0,E,52.0,Yes,7.0,22.0,2011-03-21,19.3,SydneyAirport,5.2,26.8,ENE,18.6,97.0,25.4,78.0,1007.0
ENE,8.0,22.7,Yes,10.2,999.3,22.0,NW,30.0,Yes,4.0,13.0,2011-03-22,21.0,SydneyAirport,1.6,29.7,E,17.6,87.0,27.5,63.0,1001.4
,1.0,23.3,Yes,11.0,1000.5,17.0,WNW,,No,5.0,17.0,2011-03-23,20.2,SydneyAirport,5.8,31.5,WSW,6.4,72.0,29.8,38.0,1002.9
WNW,1.0,21.7,No,10.8,1003.2,37.0,NNW,61.0,No,5.0,24.0,2011-03-24,18.5,SydneyAirport,8.6,28.0,WNW,0.0,43.0,26.5,31.0,1005.1
SSW,1.0,20.4,No,8.0,1008.9,15.0,W,50.0,No,6.0,33.0,2011-03-25,17.5,SydneyAirport,8.8,25.5,SSE,0.0,49.0,24.2,52.0,1008.0
S,7.0,18.6,No,0.4,1020.2,35.0,SSW,61.0,Yes,7.0,41.0,2011-03-26,17.9,SydneyAirport,5.2,19.9,S,0.0,72.0,19.6,68.0,1019.1
S,5.0,17.6,Yes,2.5,1024.8,20.0,SW,52.0,Yes,7.0,20.0,2011-03-27,16.3,SydneyAirport,5.4,20.3,S,1.8,81.0,18.4,85.0,1024.8
SE,6.0,18.0,Yes,3.2,1025.9,26.0,NW,30.0,Yes,6.0,9.0,2011-03-28,15.7,SydneyAirport,1.6,23.1,SE,5.2,84.0,21.6,73.0,1027.0
NNE,7.0,20.6,Yes,8.3,1022.3,35.0,N,44.0,No,4.0,6.0,2011-03-29,16.8,SydneyAirport,1.8,26.7,NNE,6.2,89.0,26.3,49.0,1026.2
W,1.0,21.5,No,9.2,1016.2,15.0,NW,43.0,Yes,7.0,17.0,2011-03-30,18.5,SydneyAirport,6.6,28.8,E,0.0,70.0,26.8,45.0,1020.0
SSE,7.0,19.7,Yes,0.5,1023.2,35.0,S,48.0,No,7.0,33.0,2011-03-31,19.0,SydneyAirport,5.2,21.2,SSE,1.6,83.0,19.7,74.0,1023.1
SSW,1.0,18.2,No,8.8,1016.0,22.0,WSW,41.0,No,7.0,19.0,2011-05-01,15.2,SydneyAirport,0.8,20.5,S,1.0,80.0,19.8,68.0,1018.9
WNW,8.0,15.7,No,0.5,1014.9,9.0,NW,35.0,No,8.0,13.0,2011-05-02,12.3,SydneyAirport,3.8,19.8,WNW,0.0,77.0,19.0,70.0,1016.6
SSW,8.0,15.2,No,0.0,1013.9,31.0,W,50.0,No,7.0,9.0,2011-05-03,13.7,SydneyAirport,2.4,18.5,SSW,0.2,88.0,18.3,69.0,1015.2
SSW,4.0,16.5,No,9.1,1015.8,28.0,WSW,48.0,No,4.0,17.0,2011-05-04,13.3,SydneyAirport,0.2,19.3,S,0.4,69.0,19.1,61.0,1016.6
SSW,2.0,17.0,No,7.4,1021.6,39.0,SSW,56.0,No,7.0,37.0,2011-05-05,11.7,SydneyAirport,4.6,17.6,SSW,0.0,63.0,17.1,62.0,1021.1
SSW,6.0,14.5,No,8.7,1020.6,26.0,W,43.0,No,7.0,13.0,2011-05-06,10.3,SydneyAirport,4.4,17.5,S,0.0,62.0,16.8,58.0,1024.1
WNW,1.0,14.6,No,10.0,1015.4,13.0,WNW,31.0,No,5.0,19.0,2011-05-07,9.4,SydneyAirport,4.6,21.3,ESE,0.0,62.0,20.5,36.0,1019.5
WSW,3.0,14.1,No,10.1,1010.5,7.0,NW,37.0,No,3.0,13.0,2011-05-08,8.9,SydneyAirport,1.6,21.8,NNW,0.0,61.0,20.5,30.0,1014.1
SSW,3.0,15.3,No,6.9,1014.0,41.0,SSW,63.0,Yes,6.0,43.0,2011-05-09,10.1,SydneyAirport,3.8,16.4,SSW,0.0,64.0,15.7,70.0,1014.7
SSW,3.0,13.3,Yes,9.1,1013.4,31.0,SW,50.0,No,1.0,35.0,2011-05-10,10.7,SydneyAirport,3.4,16.4,S,3.6,65.0,15.9,54.0,1015.7
W,6.0,11.1,No,3.9,1006.6,39.0,NW,59.0,No,5.0,13.0,2011-05-11,7.6,SydneyAirport,3.8,17.1,W,0.0,59.0,14.6,34.0,1009.5
WSW,1.0,10.7,No,10.2,1009.5,31.0,W,46.0,No,1.0,30.0,2011-05-12,7.1,SydneyAirport,2.2,17.0,W,0.0,50.0,16.1,28.0,1010.9
WSW,2.0,15.4,No,9.3,1008.1,31.0,WNW,56.0,No,3.0,17.0,2011-05-13,9.2,SydneyAirport,4.0,21.4,NW,0.0,54.0,21.0,31.0,1012.3
SW,1.0,12.2,No,10.0,1017.8,28.0,W,61.0,No,6.0,28.0,2011-05-14,10.6,SydneyAirport,3.4,16.1,SW,0.0,48.0,15.9,30.0,1016.2
WSW,1.0,11.5,No,9.8,1027.0,6.0,W,33.0,No,1.0,17.0,2011-05-15,6.6,SydneyAirport,4.8,19.4,WNW,0.0,49.0,19.3,29.0,1028.8
SW,0.0,12.1,No,10.2,1026.2,7.0,NW,30.0,No,0.0,13.0,2011-05-16,6.8,SydneyAirport,5.0,19.3,NNW,0.0,53.0,18.8,34.0,1030.2
S,1.0,12.6,No,9.9,1028.3,24.0,NW,33.0,No,3.0,13.0,2011-05-17,7.4,SydneyAirport,2.2,17.5,S,0.0,59.0,16.9,67.0,1030.6
NNW,1.0,14.4,No,9.3,1029.6,13.0,NW,20.0,Yes,2.0,13.0,2011-05-18,8.6,SydneyAirport,2.8,19.4,ESE,0.0,61.0,18.6,58.0,1032.7
NE,7.0,14.2,Yes,6.8,1028.1,22.0,NW,30.0,No,5.0,15.0,2011-05-19,11.9,SydneyAirport,1.8,21.6,NNE,1.2,76.0,19.9,64.0,1031.6
NW,0.0,15.1,No,9.4,1024.3,13.0,NNW,24.0,No,2.0,13.0,2011-05-20,10.9,SydneyAirport,3.8,22.7,E,0.0,75.0,21.7,57.0,1028.4
NW,2.0,15.8,No,9.9,1021.3,13.0,NW,26.0,No,1.0,15.0,2011-05-21,11.9,SydneyAirport,1.0,24.1,NE,0.0,60.0,22.6,49.0,1025.5
NNE,7.0,15.7,No,7.3,1015.4,19.0,NW,35.0,No,7.0,15.0,2011-05-22,12.5,SydneyAirport,3.4,23.0,NNE,0.0,71.0,21.6,48.0,1021.1
NNW,5.0,17.0,No,7.6,1001.3,39.0,NNW,59.0,No,3.0,22.0,2011-05-23,14.5,SydneyAirport,3.4,24.2,NW,0.8,73.0,22.8,28.0,1005.5
SW,5.0,15.0,No,3.9,1005.4,28.0,NW,44.0,Yes,8.0,17.0,2011-05-24,11.9,SydneyAirport,6.6,18.8,S,0.0,53.0,14.2,92.0,1005.4
SSW,7.0,12.9,Yes,1.8,1011.5,52.0,SW,83.0,Yes,7.0,52.0,2011-05-25,11.5,SydneyAirport,1.4,14.3,SSW,8.8,76.0,13.4,79.0,1011.4
SSW,6.0,12.7,Yes,4.1,1015.4,24.0,WSW,46.0,No,2.0,22.0,2011-05-26,10.8,SydneyAirport,1.6,17.2,SSW,9.2,63.0,16.7,65.0,1016.8
S,1.0,12.4,No,7.2,1018.0,20.0,WNW,41.0,No,6.0,19.0,2011-05-27,7.6,SydneyAirport,2.4,17.6,SSW,0.0,58.0,15.5,64.0,1019.0
S,2.0,13.3,No,3.1,1022.7,30.0,NW,54.0,No,7.0,11.0,2011-05-28,8.5,SydneyAirport,3.2,16.8,S,0.0,62.0,16.3,72.0,1023.8
S,7.0,12.0,No,0.0,1022.2,28.0,WNW,46.0,Yes,7.0,13.0,2011-05-29,9.6,SydneyAirport,0.6,16.4,S,0.0,81.0,16.3,78.0,1025.1
SSW,8.0,16.0,Yes,0.0,1018.7,13.0,S,63.0,Yes,8.0,44.0,2011-05-30,11.8,SydneyAirport,4.4,18.8,E,22.4,83.0,13.2,92.0,1020.9
E,8.0,17.0,Yes,0.7,1019.8,35.0,SE,65.0,Yes,8.0,31.0,2011-05-31,12.9,SydneyAirport,,20.0,ESE,49.6,91.0,19.7,61.0,1020.1
SE,7.0,18.1,Yes,0.7,1025.0,33.0,SE,56.0,No,7.0,30.0,2011-06-01,15.1,SydneyAirport,4.6,19.9,E,7.8,65.0,18.3,68.0,1025.5
S,3.0,16.9,No,7.6,1023.0,28.0,S,43.0,No,5.0,13.0,2011-06-02,15.4,SydneyAirport,3.2,19.0,S,0.6,82.0,17.0,82.0,1025.4
WNW,3.0,14.3,No,8.8,1014.7,13.0,WNW,28.0,No,5.0,15.0,2011-06-03,10.7,SydneyAirport,1.2,20.6,NW,0.0,74.0,20.3,46.0,1019.6
SSW,7.0,14.4,No,2.5,1013.8,11.0,NW,41.0,No,8.0,15.0,2011-06-04,10.9,SydneyAirport,2.8,19.7,SW,0.0,65.0,17.7,61.0,1015.3
SSW,1.0,13.5,No,9.2,1013.0,13.0,W,37.0,No,3.0,17.0,2011-06-05,10.3,SydneyAirport,3.0,18.2,WNW,0.8,57.0,17.6,38.0,1017.9
SSE,1.0,13.4,No,7.4,1016.3,22.0,WNW,54.0,No,6.0,13.0,2011-06-06,7.9,SydneyAirport,2.0,17.5,S,0.0,51.0,14.2,67.0,1016.1
W,7.0,9.7,No,7.3,1013.4,28.0,NW,48.0,No,5.0,20.0,2011-06-07,6.0,SydneyAirport,4.0,15.3,WSW,0.0,60.0,14.5,35.0,1017.8
W,0.0,11.0,No,9.9,1013.2,41.0,NW,69.0,No,1.0,24.0,2011-06-08,8.3,SydneyAirport,1.8,14.3,W,0.0,44.0,12.8,32.0,1015.2
W,1.0,11.1,No,9.9,1011.3,33.0,WNW,52.0,No,3.0,30.0,2011-06-09,7.4,SydneyAirport,3.6,17.2,W,0.0,50.0,16.2,39.0,1013.6
SW,2.0,13.4,No,4.6,1017.1,31.0,W,63.0,Yes,7.0,30.0,2011-06-10,8.9,SydneyAirport,4.8,15.6,SW,0.0,53.0,12.5,79.0,1015.9
S,3.0,13.2,Yes,6.1,1024.6,35.0,SSW,63.0,Yes,7.0,37.0,2011-06-11,11.6,SydneyAirport,0.2,15.7,SSW,5.6,85.0,13.0,91.0,1024.2
