RainTomorrow,WindSpeed3pm,WindDir3pm,Rainfall,Pressure9am,RainToday,WindGustDir,Humidity3pm,WindSpeed9am,Pressure3pm,Humidity9am,Cloud9am,MinTempF,Temp9amF,Cloud3pm,MaxTempF,WindGustSpeed,Date,Location,WindDir9am,Temp3pmF
Yes,11.0,S,0.6,1026.6,No,S,98.0,15.0,1027.1,99.0,8.0,45.86,49.1,3.0,54.14,26.0,2010-06-20,Ballarat,WSW,51.08
No,11.0,WSW,1.2,1034.8,Yes,W,58.0,0.0,1034.5,99.0,4.0,29.84,34.52,8.0,53.96,20.0,2010-06-21,Ballarat,,52.7
No,19.0,ENE,0.0,1037.2,No,ESE,59.0,20.0,1034.9,86.0,5.0,30.02,41.54,,54.32,33.0,2010-06-22,Ballarat,SE,53.24
No,19.0,NNE,0.0,1034.8,No,NNE,74.0,26.0,1031.3,84.0,7.0,36.14,48.2,8.0,53.24,41.0,2010-06-23,Ballarat,NNE,51.8
Yes,35.0,N,0.0,1025.3,No,NNE,82.0,26.0,1020.5,91.0,5.0,43.16,48.2,7.0,54.5,65.0,2010-06-24,Ballarat,N,52.34
Yes,0.0,,7.4,1016.6,Yes,N,98.0,28.0,1016.1,100.0,8.0,48.2,50.72,8.0,51.98,50.0,2010-06-25,Ballarat,N,47.84
Yes,17.0,WSW,5.0,1023.9,Yes,WSW,78.0,13.0,1023.4,99.0,3.0,32.18,37.76,8.0,47.120000000000005,28.0,2010-06-26,Ballarat,WSW,46.58
No,11.0,W,1.8,1025.7,Yes,WSW,65.0,0.0,1023.0,99.0,6.0,30.2,33.26,7.0,48.02,20.0,2010-06-27,Ballarat,,47.120000000000005
No,41.0,N,0.2,1019.0,No,N,68.0,22.0,1014.3,98.0,5.0,28.22,34.34,1.0,46.58,59.0,2010-06-28,Ballarat,N,44.96
Yes,31.0,N,0.8,1015.0,No,N,99.0,30.0,1013.7,99.0,8.0,34.34,37.76,7.0,41.9,46.0,2010-06-29,Ballarat,NNE,40.28
No,17.0,NW,6.2,1017.0,Yes,N,79.0,17.0,1016.7,99.0,8.0,37.76,41.72,7.0,47.84,35.0,2010-06-30,Ballarat,NNW,46.58
No,19.0,N,0.8,1023.3,No,N,99.0,17.0,1022.9,99.0,8.0,39.92,40.64,8.0,45.14,30.0,2010-07-01,Ballarat,N,44.6
Yes,15.0,NW,0.2,1025.1,No,N,82.0,19.0,1023.1,100.0,8.0,40.1,41.9,1.0,46.76,30.0,2010-07-02,Ballarat,N,45.68
No,7.0,SW,2.2,1031.3,Yes,WSW,68.0,11.0,1030.9,98.0,1.0,40.46,42.44,6.0,52.16,28.0,2010-07-03,Ballarat,WSW,51.08
No,9.0,WSW,0.8,1032.4,No,W,75.0,4.0,1028.6,100.0,7.0,40.28,43.7,8.0,48.74,15.0,2010-07-04,Ballarat,NE,47.120000000000005
No,13.0,NE,0.0,1026.4,No,N,69.0,4.0,1023.3,98.0,7.0,42.08,43.34,8.0,46.4,15.0,2010-07-05,Ballarat,ENE,44.78
No,17.0,W,0.0,1023.6,No,W,55.0,7.0,1021.5,99.0,6.0,28.580000000000002,31.1,,49.28,28.0,2010-07-06,Ballarat,ENE,47.84
No,13.0,SSE,0.0,1027.6,No,S,98.0,4.0,1026.8,99.0,8.0,30.56,43.16,8.0,51.8,26.0,2010-07-07,Ballarat,SW,48.02
No,7.0,E,0.2,1029.9,No,SE,54.0,0.0,1027.4,91.0,6.0,38.3,42.620000000000005,1.0,52.34,22.0,2010-07-08,Ballarat,,50.9
No,24.0,NNE,0.0,1029.1,No,NNE,64.0,7.0,1026.3,98.0,0.0,26.96,36.86,,52.7,43.0,2010-07-09,Ballarat,NW,51.620000000000005
Yes,46.0,N,0.0,1017.5,No,N,99.0,44.0,1012.3,81.0,8.0,36.86,47.120000000000005,7.0,49.1,80.0,2010-07-10,Ballarat,NNE,47.120000000000005
No,26.0,NNW,7.2,1017.5,Yes,NNW,79.0,22.0,1017.4,100.0,8.0,42.8,43.879999999999995,8.0,54.14,44.0,2010-07-11,Ballarat,N,51.26
No,28.0,N,0.2,1022.3,No,N,96.0,20.0,1019.5,100.0,8.0,39.92,43.519999999999996,1.0,51.8,50.0,2010-07-12,Ballarat,N,49.28
Yes,31.0,NNE,0.0,1011.1,No,NNE,81.0,28.0,1001.8,79.0,5.0,41.54,45.14,5.0,54.32,65.0,2010-07-13,Ballarat,NNE,51.44
Yes,35.0,W,7.4,1004.2,Yes,W,96.0,30.0,1004.3,99.0,5.0,38.660000000000004,41.72,8.0,46.58,63.0,2010-07-14,Ballarat,NNW,44.42
No,19.0,W,11.0,1021.7,Yes,WSW,82.0,13.0,1023.2,100.0,8.0,38.12,41.36,4.0,50.18,31.0,2010-07-15,Ballarat,WSW,48.02
No,9.0,WNW,0.4,1028.6,No,W,69.0,0.0,1026.8,92.0,7.0,41.0,44.06,7.0,51.44,17.0,2010-07-16,Ballarat,,49.1
No,28.0,N,0.0,1027.3,No,N,78.0,17.0,1023.1,99.0,6.0,40.28,41.36,8.0,46.94,41.0,2010-07-17,Ballarat,N,45.68
Yes,17.0,NNW,0.0,1018.8,No,N,98.0,30.0,1016.2,98.0,5.0,38.660000000000004,42.08,8.0,47.84,43.0,2010-07-18,Ballarat,N,44.96
No,9.0,WSW,4.8,1020.1,Yes,W,60.0,0.0,1019.9,100.0,7.0,35.78,36.68,5.0,49.64,24.0,2010-07-19,Ballarat,,48.56
No,9.0,WSW,0.0,1024.3,No,W,90.0,6.0,1024.2,98.0,7.0,28.4,40.82,8.0,48.74,30.0,2010-07-20,Ballarat,NNE,45.68
No,0.0,,0.4,1030.4,No,SW,78.0,0.0,1029.2,100.0,8.0,33.8,39.92,2.0,50.9,20.0,2010-07-21,Ballarat,,48.56
No,15.0,SSW,0.4,1033.5,No,SSE,99.0,7.0,1033.1,100.0,8.0,33.8,43.34,7.0,50.72,28.0,2010-07-22,Ballarat,W,48.56
No,19.0,S,0.2,1036.1,No,SE,77.0,15.0,1033.3,98.0,7.0,42.980000000000004,43.879999999999995,1.0,52.52,26.0,2010-07-23,Ballarat,SE,49.82
No,13.0,S,0.0,1032.9,No,S,73.0,9.0,1030.6,80.0,7.0,39.92,43.7,8.0,50.18,28.0,2010-07-24,Ballarat,S,47.84
No,11.0,SW,0.0,1032.9,No,SSW,66.0,0.0,1031.2,99.0,6.0,31.82,38.12,3.0,54.68,28.0,2010-07-25,Ballarat,,53.6
No,11.0,SSW,0.2,1036.8,No,S,62.0,2.0,1035.4,100.0,8.0,33.62,42.620000000000005,8.0,53.24,26.0,2010-07-26,Ballarat,S,50.54
No,19.0,ESE,0.2,1035.8,No,E,62.0,4.0,1031.8,99.0,3.0,28.22,41.54,1.0,53.78,31.0,2010-07-27,Ballarat,SSE,53.06
Yes,9.0,E,0.0,1026.6,No,NNE,97.0,15.0,1021.3,77.0,7.0,34.7,45.14,8.0,49.64,33.0,2010-07-28,Ballarat,NNE,48.02
Yes,13.0,NNE,4.4,1016.9,Yes,N,84.0,19.0,1013.3,100.0,8.0,44.78,45.68,8.0,50.9,52.0,2010-07-29,Ballarat,N,50.18
Yes,30.0,N,3.4,1012.5,Yes,N,88.0,20.0,1010.4,100.0,8.0,45.68,48.74,7.0,55.94,57.0,2010-07-30,Ballarat,N,52.879999999999995
Yes,24.0,NW,10.6,1013.3,Yes,N,65.0,22.0,1013.6,98.0,7.0,45.86,46.58,8.0,53.96,50.0,2010-07-31,Ballarat,WSW,52.34
Yes,28.0,W,7.2,1013.0,Yes,WSW,98.0,19.0,1014.7,98.0,5.0,39.74,41.0,8.0,47.3,69.0,2010-08-01,Ballarat,W,40.64
No,26.0,S,21.0,1025.0,Yes,WSW,69.0,28.0,1025.9,99.0,7.0,39.74,44.6,8.0,52.879999999999995,67.0,2010-08-02,Ballarat,SSW,51.98
No,19.0,SW,0.2,1026.3,No,S,89.0,7.0,1022.8,84.0,7.0,40.1,42.980000000000004,8.0,48.02,37.0,2010-08-03,Ballarat,SSW,46.4
Yes,20.0,NNW,0.6,1016.4,No,N,98.0,22.0,1014.6,99.0,8.0,40.64,43.879999999999995,8.0,44.96,35.0,2010-08-04,Ballarat,N,44.06
Yes,22.0,SW,9.0,1020.5,Yes,WSW,89.0,15.0,1020.1,99.0,8.0,31.1,41.0,8.0,48.74,39.0,2010-08-05,Ballarat,WSW,45.68
No,20.0,SW,1.8,1025.6,Yes,S,72.0,11.0,1024.2,99.0,7.0,39.2,41.0,8.0,50.54,26.0,2010-08-06,Ballarat,WSW,48.56
No,20.0,N,0.0,1025.6,No,NNW,68.0,13.0,1021.4,92.0,3.0,32.0,42.980000000000004,8.0,50.36,35.0,2010-08-07,Ballarat,NNE,47.3
No,35.0,N,0.0,1019.1,No,N,65.0,26.0,1015.9,81.0,2.0,36.86,41.54,,50.18,50.0,2010-08-08,Ballarat,N,49.64
Yes,19.0,NNE,0.2,1020.1,No,NNE,58.0,20.0,1018.4,74.0,8.0,41.54,44.96,1.0,53.96,33.0,2010-08-09,Ballarat,NE,52.7
Yes,24.0,SE,4.6,1014.5,Yes,SE,98.0,24.0,1009.2,98.0,8.0,37.76,44.239999999999995,8.0,45.68,46.0,2010-08-10,Ballarat,SE,44.6
Yes,28.0,SSW,6.4,1003.3,Yes,SW,98.0,11.0,998.9,99.0,8.0,41.54,42.08,8.0,47.66,76.0,2010-08-11,Ballarat,N,47.3
Yes,26.0,SSW,49.6,1012.0,Yes,SSW,98.0,31.0,1014.3,98.0,8.0,41.9,44.6,8.0,48.92,72.0,2010-08-12,Ballarat,SSW,47.48
No,11.0,NNW,4.6,1017.1,Yes,N,75.0,9.0,1014.3,99.0,8.0,43.879999999999995,44.78,8.0,52.16,41.0,2010-08-13,Ballarat,SW,49.46
Yes,48.0,NNE,0.0,1006.1,No,NNE,98.0,35.0,999.1,88.0,8.0,43.16,46.76,8.0,51.26,87.0,2010-08-14,Ballarat,N,46.04
Yes,35.0,WSW,9.6,1000.2,Yes,WSW,98.0,28.0,1004.2,99.0,8.0,45.14,45.14,8.0,53.24,54.0,2010-08-15,Ballarat,N,49.1
No,26.0,SW,9.2,1012.8,Yes,SW,63.0,22.0,1015.9,94.0,5.0,37.94,39.56,1.0,45.68,56.0,2010-08-16,Ballarat,WSW,44.96
No,19.0,NNE,1.0,1023.0,No,NNE,64.0,9.0,1019.1,91.0,5.0,30.56,40.1,2.0,49.46,44.0,2010-08-17,Ballarat,N,47.84
Yes,43.0,NNE,0.0,1008.8,No,NNE,98.0,43.0,999.3,85.0,8.0,39.56,41.0,8.0,47.84,63.0,2010-08-18,Ballarat,NNE,43.16
Yes,28.0,NW,6.6,1004.4,Yes,NW,82.0,26.0,1004.4,76.0,6.0,40.82,47.3,8.0,52.16,61.0,2010-08-19,Ballarat,NW,46.76
No,30.0,WNW,5.2,1011.6,Yes,WNW,75.0,26.0,1011.4,84.0,6.0,33.8,39.92,8.0,47.48,52.0,2010-08-20,Ballarat,NNW,45.86
No,24.0,W,0.2,1016.5,No,WNW,63.0,20.0,1016.6,99.0,5.0,36.68,40.64,8.0,52.52,44.0,2010-08-21,Ballarat,N,50.72
No,35.0,NNW,0.4,1020.6,No,N,54.0,24.0,1017.5,99.0,8.0,34.7,40.64,5.0,53.96,52.0,2010-08-22,Ballarat,N,51.98
Yes,26.0,N,0.0,1014.0,No,NNW,69.0,28.0,1011.0,77.0,3.0,35.78,43.879999999999995,8.0,51.8,50.0,2010-08-23,Ballarat,N,48.379999999999995
Yes,37.0,NNW,2.8,1009.4,Yes,WSW,98.0,30.0,1003.5,98.0,8.0,34.88,40.82,8.0,48.74,85.0,2010-08-24,Ballarat,N,44.78
Yes,39.0,NNW,9.8,1005.0,Yes,NNW,88.0,33.0,999.2,99.0,8.0,31.28,36.68,8.0,45.32,54.0,2010-08-25,Ballarat,N,44.239999999999995
Yes,28.0,W,4.0,999.3,Yes,WSW,80.0,24.0,999.9,96.0,6.0,36.32,41.72,4.0,48.92,54.0,2010-08-26,Ballarat,NNW,48.56
Yes,28.0,SW,3.8,1010.7,Yes,SW,84.0,20.0,1014.2,98.0,6.0,37.94,41.0,8.0,47.84,48.0,2010-08-27,Ballarat,WSW,44.42
No,13.0,SW,2.8,1024.8,Yes,SW,73.0,13.0,1025.2,100.0,8.0,38.660000000000004,43.879999999999995,1.0,52.879999999999995,26.0,2010-08-28,Ballarat,WSW,51.8
No,7.0,WNW,0.4,1030.3,No,NNW,60.0,0.0,1027.8,99.0,8.0,37.94,43.7,7.0,52.16,19.0,2010-08-29,Ballarat,,51.98
No,26.0,N,0.0,1028.0,No,N,64.0,15.0,1024.2,81.0,7.0,37.04,45.32,1.0,56.120000000000005,43.0,2010-08-30,Ballarat,N,53.24
Yes,43.0,N,0.0,1021.1,No,N,79.0,35.0,1014.5,83.0,8.0,43.519999999999996,45.32,2.0,50.54,61.0,2010-08-31,Ballarat,N,50.54
Yes,11.0,SW,9.4,1014.4,Yes,WSW,90.0,13.0,1014.2,100.0,8.0,44.78,48.2,8.0,50.54,44.0,2010-09-01,Ballarat,WSW,49.82
No,30.0,S,2.2,1019.9,Yes,SSE,88.0,20.0,1020.5,88.0,7.0,41.54,47.120000000000005,8.0,50.18,50.0,2010-09-02,Ballarat,SSE,47.3
Yes,19.0,NE,0.6,1020.2,No,SE,76.0,20.0,1015.0,74.0,5.0,41.54,46.04,7.0,58.459999999999994,54.0,2010-09-03,Ballarat,E,52.16
Yes,37.0,NNW,46.0,996.7,Yes,W,99.0,37.0,989.9,100.0,8.0,46.04,57.74,8.0,58.459999999999994,80.0,2010-09-04,Ballarat,N,53.24
No,20.0,WNW,18.4,1010.8,Yes,W,69.0,28.0,1012.3,91.0,7.0,43.879999999999995,45.86,8.0,53.6,85.0,2010-09-05,Ballarat,W,51.98
Yes,24.0,WSW,1.0,1019.4,No,W,72.0,22.0,1019.6,83.0,4.0,38.48,43.519999999999996,2.0,50.18,37.0,2010-09-06,Ballarat,W,48.92
No,9.0,ESE,4.8,1027.3,Yes,S,55.0,9.0,1024.7,98.0,7.0,41.0,43.879999999999995,7.0,55.94,22.0,2010-09-07,Ballarat,SSE,53.6
Yes,39.0,N,0.2,1024.0,No,N,62.0,28.0,1018.9,79.0,5.0,36.86,45.86,6.0,54.32,54.0,2010-09-08,Ballarat,N,52.34
Yes,31.0,N,1.4,1011.1,Yes,NNW,76.0,37.0,1005.1,93.0,6.0,45.86,50.0,3.0,57.2,54.0,2010-09-09,Ballarat,NNE,56.120000000000005
No,33.0,WSW,10.6,1002.8,Yes,WSW,64.0,26.0,1006.9,98.0,8.0,40.28,42.8,5.0,53.6,52.0,2010-09-10,Ballarat,WNW,51.08
No,24.0,NW,0.2,1018.1,No,WNW,61.0,22.0,1017.6,71.0,7.0,38.3,48.56,4.0,56.66,33.0,2010-09-11,Ballarat,NW,55.58
No,28.0,N,0.0,1019.3,No,N,70.0,22.0,1014.6,86.0,7.0,45.14,47.66,7.0,56.3,43.0,2010-09-12,Ballarat,N,54.5
No,11.0,SW,0.2,1016.0,No,W,83.0,9.0,1016.1,85.0,8.0,38.12,48.92,8.0,54.14,31.0,2010-09-13,Ballarat,WNW,51.620000000000005
No,20.0,SSE,0.0,1016.0,No,ESE,59.0,24.0,1013.3,68.0,2.0,36.32,45.32,,54.86,35.0,2010-09-14,Ballarat,ESE,53.6
Yes,24.0,WSW,0.0,1015.2,No,W,98.0,31.0,1014.8,81.0,7.0,39.2,45.86,8.0,51.8,50.0,2010-09-15,Ballarat,W,48.379999999999995
No,28.0,SW,1.2,1019.2,Yes,SW,65.0,26.0,1019.2,98.0,7.0,40.1,42.44,8.0,49.82,57.0,2010-09-16,Ballarat,W,47.120000000000005
No,22.0,WSW,1.0,1025.5,No,SW,71.0,20.0,1024.2,84.0,8.0,40.1,44.06,8.0,51.26,37.0,2010-09-17,Ballarat,WSW,49.46
Yes,17.0,SW,0.2,1021.9,No,WSW,92.0,24.0,1020.4,99.0,8.0,41.72,44.6,8.0,54.14,39.0,2010-09-18,Ballarat,WSW,49.28
No,24.0,SSW,2.2,1024.7,Yes,SSW,75.0,20.0,1023.6,86.0,6.0,42.620000000000005,47.48,8.0,54.14,37.0,2010-09-19,Ballarat,SSW,51.8
No,17.0,SSW,0.6,1028.3,No,SSW,89.0,17.0,1027.1,99.0,8.0,43.879999999999995,47.3,7.0,54.32,31.0,2010-09-20,Ballarat,SSW,51.8
No,22.0,S,0.2,1028.7,No,S,75.0,24.0,1027.8,99.0,8.0,44.42,47.84,8.0,53.6,41.0,2010-09-21,Ballarat,S,51.26
No,22.0,S,0.0,1028.3,No,S,70.0,24.0,1026.6,82.0,6.0,43.34,47.120000000000005,8.0,51.8,35.0,2010-09-22,Ballarat,S,50.18
No,17.0,SW,0.0,1027.5,No,S,72.0,22.0,1025.8,81.0,8.0,41.9,44.239999999999995,8.0,50.54,35.0,2010-09-23,Ballarat,SSW,49.46
No,22.0,N,0.0,1024.0,No,N,67.0,15.0,1019.5,84.0,8.0,41.54,43.519999999999996,,55.4,35.0,2010-09-24,Ballarat,W,53.6
No,17.0,NW,0.0,1015.4,No,W,58.0,20.0,1014.6,94.0,7.0,41.54,47.3,6.0,60.62,37.0,2010-09-25,Ballarat,N,58.28
No,24.0,N,0.2,1020.6,No,N,51.0,11.0,1015.9,93.0,7.0,43.7,47.66,,62.42,33.0,2010-09-26,Ballarat,W,61.7
Yes,24.0,W,0.2,1011.1,No,W,89.0,26.0,1011.1,84.0,6.0,45.14,50.54,8.0,56.3,50.0,2010-09-27,Ballarat,NNW,49.46
Yes,31.0,W,2.8,1015.0,Yes,WSW,60.0,20.0,1014.9,85.0,7.0,37.76,43.16,8.0,50.54,57.0,2010-09-28,Ballarat,NW,49.28
No,17.0,SSW,3.8,1023.7,Yes,S,55.0,19.0,1023.5,74.0,7.0,33.98,43.879999999999995,5.0,51.26,46.0,2010-09-29,Ballarat,SSW,49.46
No,13.0,SW,0.4,1026.3,No,WNW,59.0,9.0,1024.4,90.0,5.0,31.46,44.78,8.0,51.44,28.0,2010-09-30,Ballarat,WNW,50.0
No,11.0,NW,0.0,1027.1,No,ESE,47.0,6.0,1025.3,62.0,5.0,33.8,48.74,3.0,58.1,26.0,2010-10-01,Ballarat,NW,57.56
No,17.0,NNE,0.0,1027.6,No,N,45.0,17.0,1024.5,56.0,0.0,40.64,53.6,,65.3,33.0,2010-10-02,Ballarat,E,64.4
No,30.0,NNE,0.0,1027.5,No,NNE,53.0,26.0,1024.0,71.0,0.0,46.4,56.120000000000005,,68.0,43.0,2010-10-03,Ballarat,NE,66.74000000000001
No,43.0,N,0.0,1021.3,No,NNE,67.0,39.0,1017.8,86.0,6.0,53.78,55.76,1.0,68.18,65.0,2010-10-04,Ballarat,N,66.74000000000001
No,2.0,N,0.0,1022.8,No,SE,53.0,19.0,1019.9,91.0,4.0,42.620000000000005,49.64,,68.54,35.0,2010-10-05,Ballarat,SSE,66.38
Yes,30.0,N,0.0,1016.5,No,WSW,98.0,13.0,1012.2,81.0,4.0,42.8,61.34,8.0,66.38,67.0,2010-10-06,Ballarat,N,60.8
No,28.0,W,3.8,1022.8,Yes,W,51.0,15.0,1023.3,86.0,4.0,36.68,41.72,4.0,53.96,41.0,2010-10-07,Ballarat,WSW,51.44
No,17.0,SSW,0.0,1026.0,No,WSW,66.0,19.0,1025.6,98.0,8.0,41.18,47.3,8.0,57.92,35.0,2010-10-08,Ballarat,SW,55.04
No,15.0,SSW,0.2,1026.7,No,S,66.0,9.0,1026.1,98.0,1.0,35.6,46.76,8.0,56.84,30.0,2010-10-09,Ballarat,SSW,54.68
No,31.0,N,0.0,1028.2,No,NNE,48.0,19.0,1026.8,79.0,0.0,45.14,53.24,,69.62,48.0,2010-10-10,Ballarat,ESE,68.54
No,39.0,N,0.0,1028.0,No,NNE,58.0,44.0,1025.3,67.0,0.0,49.64,55.4,,67.64,61.0,2010-10-11,Ballarat,NNE,65.48
Yes,31.0,NNE,0.0,1023.1,No,W,74.0,37.0,1019.3,85.0,6.0,55.4,60.26,3.0,69.62,54.0,2010-10-12,Ballarat,NNE,66.74000000000001
No,13.0,SSW,12.6,1017.3,Yes,ESE,99.0,15.0,1014.2,100.0,8.0,52.52,52.52,8.0,57.74,28.0,2010-10-13,Ballarat,S,55.58
Yes,35.0,N,0.6,1011.3,No,N,57.0,19.0,1006.6,89.0,7.0,42.980000000000004,50.9,1.0,62.6,52.0,2010-10-14,Ballarat,NNW,60.980000000000004
Yes,35.0,SSW,15.0,993.9,Yes,N,98.0,28.0,992.8,99.0,8.0,47.48,47.66,8.0,47.84,59.0,2010-10-15,Ballarat,S,42.08
Yes,24.0,SW,11.8,1006.7,Yes,WSW,82.0,20.0,1009.6,85.0,5.0,33.44,39.56,8.0,50.18,52.0,2010-10-16,Ballarat,SW,46.76
No,20.0,W,2.2,1015.5,Yes,W,79.0,20.0,1016.2,98.0,8.0,39.38,45.14,8.0,55.4,44.0,2010-10-17,Ballarat,W,51.26
No,20.0,WSW,0.0,1020.0,No,W,64.0,26.0,1020.6,88.0,5.0,40.1,46.4,8.0,56.66,46.0,2010-10-18,Ballarat,W,53.6
No,13.0,WSW,0.2,1027.8,No,WSW,58.0,2.0,1026.9,98.0,2.0,32.0,45.14,5.0,58.459999999999994,26.0,2010-10-19,Ballarat,SSW,58.28
No,6.0,SSW,0.2,1028.7,No,SSE,49.0,13.0,1025.7,73.0,2.0,34.88,50.36,,64.94,22.0,2010-10-20,Ballarat,SE,63.32
No,19.0,NNW,0.0,1023.4,No,N,43.0,13.0,1020.2,66.0,2.0,41.54,56.120000000000005,,68.36,31.0,2010-10-21,Ballarat,N,67.28
Yes,31.0,NNW,0.0,1017.1,No,N,47.0,24.0,1014.3,68.0,2.0,48.92,62.78,,76.46,50.0,2010-10-22,Ballarat,N,73.75999999999999
No,20.0,SSW,2.2,1018.1,Yes,S,60.0,19.0,1019.8,99.0,8.0,47.84,48.379999999999995,8.0,56.84,43.0,2010-10-23,Ballarat,SW,54.5
No,13.0,SE,0.2,1023.1,No,S,57.0,22.0,1021.5,77.0,3.0,36.68,47.120000000000005,,59.36,35.0,2010-10-24,Ballarat,S,58.1
No,20.0,NW,0.2,1021.6,No,SE,44.0,9.0,1018.7,63.0,0.0,38.839999999999996,52.52,,64.94,33.0,2010-10-25,Ballarat,ENE,63.68
Yes,22.0,W,0.0,1015.8,No,W,51.0,24.0,1015.2,63.0,4.0,40.28,54.14,,65.12,37.0,2010-10-26,Ballarat,N,63.14
No,17.0,S,1.4,1020.3,Yes,S,53.0,20.0,1019.6,70.0,6.0,46.04,51.08,6.0,60.62,35.0,2010-10-27,Ballarat,SSE,57.92
No,17.0,N,0.0,1019.2,No,NNE,48.0,20.0,1016.1,65.0,0.0,40.28,51.98,,68.18,35.0,2010-10-28,Ballarat,ESE,65.48
No,39.0,N,0.0,1012.5,No,N,51.0,37.0,1008.8,73.0,4.0,51.620000000000005,60.26,,73.75999999999999,61.0,2010-10-29,Ballarat,NNE,71.42
Yes,19.0,SW,0.4,1006.9,No,N,99.0,15.0,1007.0,91.0,8.0,56.48,62.6,8.0,62.78,35.0,2010-10-30,Ballarat,NNE,53.24
Yes,22.0,SW,41.8,1009.4,Yes,WSW,98.0,22.0,1013.3,99.0,8.0,46.04,46.58,8.0,52.879999999999995,48.0,2010-10-31,Ballarat,WSW,48.02
No,15.0,WSW,1.2,1019.0,Yes,W,59.0,13.0,1017.2,88.0,6.0,35.96,43.879999999999995,8.0,53.24,35.0,2010-11-01,Ballarat,SW,50.9
Yes,20.0,W,0.6,1018.3,No,WSW,71.0,15.0,1017.1,99.0,8.0,43.7,48.74,8.0,59.18,41.0,2010-11-02,Ballarat,WSW,58.82
No,20.0,SW,2.2,1021.3,Yes,SSW,88.0,17.0,1020.9,92.0,7.0,42.620000000000005,46.04,8.0,54.5,43.0,2010-11-03,Ballarat,SW,49.46
No,31.0,S,0.6,1024.0,No,SE,61.0,26.0,1022.4,71.0,5.0,37.4,47.120000000000005,8.0,55.94,46.0,2010-11-04,Ballarat,SSE,53.78
No,20.0,SE,0.0,1023.8,No,SE,58.0,17.0,1020.7,72.0,3.0,41.72,52.52,8.0,62.78,44.0,2010-11-05,Ballarat,ESE,59.540000000000006
No,22.0,N,0.0,1021.6,No,N,44.0,31.0,1018.0,61.0,2.0,45.86,55.22,1.0,67.46,41.0,2010-11-06,Ballarat,NNE,66.2
No,39.0,N,0.0,1013.8,No,N,61.0,31.0,1009.1,80.0,7.0,51.620000000000005,55.76,2.0,71.06,61.0,2010-11-07,Ballarat,N,68.36
No,11.0,WNW,0.0,1013.0,No,W,54.0,17.0,1014.7,73.0,4.0,41.72,54.32,7.0,67.1,33.0,2010-11-08,Ballarat,W,64.94
No,31.0,NNW,0.0,1023.4,No,N,42.0,13.0,1020.1,72.0,0.0,42.620000000000005,60.08,1.0,76.28,44.0,2010-11-09,Ballarat,NNW,73.94
No,20.0,W,0.0,1016.5,No,W,61.0,15.0,1017.3,52.0,6.0,56.3,67.1,5.0,73.22,41.0,2010-11-10,Ballarat,NNE,62.6
No,20.0,N,0.0,1012.8,No,N,50.0,20.0,1008.6,67.0,3.0,44.42,62.059999999999995,,80.96,39.0,2010-11-11,Ballarat,N,77.9
Yes,30.0,N,0.0,1006.9,No,N,60.0,26.0,1005.4,60.0,8.0,59.0,68.54,4.0,77.9,52.0,2010-11-12,Ballarat,NNE,73.75999999999999
Yes,30.0,SSE,14.2,1014.0,Yes,SE,99.0,22.0,1014.0,99.0,8.0,53.24,53.96,8.0,54.5,59.0,2010-11-13,Ballarat,SE,52.16
No,20.0,WSW,17.6,1014.1,Yes,WSW,87.0,6.0,1014.5,100.0,7.0,49.28,51.8,8.0,59.36,39.0,2010-11-14,Ballarat,WSW,59.18
No,15.0,SW,0.2,1015.9,No,SSW,63.0,15.0,1014.9,84.0,6.0,43.16,48.92,8.0,57.379999999999995,35.0,2010-11-15,Ballarat,SSW,54.5
No,13.0,SW,0.0,1016.6,No,S,51.0,13.0,1015.4,80.0,5.0,41.0,49.28,7.0,57.92,26.0,2010-11-16,Ballarat,S,56.48
No,19.0,W,0.0,1017.5,No,W,50.0,11.0,1014.9,78.0,1.0,35.6,50.9,,66.56,31.0,2010-11-17,Ballarat,WNW,63.68
No,22.0,SW,0.2,1015.5,No,SW,70.0,17.0,1017.3,89.0,8.0,46.22,53.6,8.0,59.9,43.0,2010-11-18,Ballarat,W,57.02
No,26.0,SE,0.2,1024.2,No,SSE,53.0,31.0,1023.1,64.0,2.0,38.660000000000004,49.82,,62.6,44.0,2010-11-19,Ballarat,SE,60.980000000000004
No,9.0,NW,0.0,1025.1,No,N,40.0,6.0,1022.4,67.0,0.0,41.0,57.56,,74.84,50.0,2010-11-20,Ballarat,N,72.86
No,13.0,SE,0.0,1022.0,No,SE,57.0,24.0,1020.1,60.0,1.0,48.92,60.8,,74.48,37.0,2010-11-21,Ballarat,ESE,73.58
No,13.0,N,0.0,1020.4,No,N,40.0,20.0,1018.3,57.0,0.0,49.82,70.88,,82.22,44.0,2010-11-22,Ballarat,NNE,81.68
No,31.0,N,0.0,1019.9,No,N,38.0,28.0,1017.6,55.0,0.0,56.3,70.16,1.0,81.14,54.0,2010-11-23,Ballarat,N,80.42
Yes,37.0,N,0.0,1018.3,No,N,53.0,24.0,1016.4,77.0,7.0,60.8,67.1,1.0,77.9,56.0,2010-11-24,Ballarat,NNE,75.38
Yes,20.0,W,26.4,1016.9,Yes,NNW,83.0,13.0,1016.5,100.0,8.0,58.459999999999994,59.0,8.0,68.9,33.0,2010-11-25,Ballarat,WSW,67.28
Yes,6.0,NW,2.2,1016.8,Yes,W,56.0,11.0,1013.2,93.0,8.0,56.3,64.22,4.0,77.0,41.0,2010-11-26,Ballarat,NNW,76.28
