Wind Gust Dir,Rain Today,Evaporation,Wind Dir 9 am,Min Temp F,Rain Tomorrow,Cloud 3 pm,Wind Speed 9 am,Temp 3 pm F,Rainfall,Wind Dir 3 pm,Humidity 3 pm,Wind Gust Speed,Location,Max Temp F,Date,Cloud 9 am,Humidity 9 am,Pressure 3 pm,Wind Speed 3 pm,Temp 9 am F,Pressure 9 am
ESE,No,6.9,SSW,70.16,No,,17.0,79.34,0.2,SE,56.0,41.0,Richmond,80.24000000000001,2011-01-28,,75.0,1018.6,20.0,71.24000000000001,1019.4
ENE,No,,,58.82,No,,0.0,79.16,0.2,NE,49.0,30.0,Richmond,81.86,2011-01-29,,79.0,1020.4,9.0,66.2,1022.0
ENE,No,,ENE,54.86,No,,2.0,92.3,0.0,ESE,24.0,31.0,Richmond,96.98,2011-01-30,,72.0,1015.4,6.0,68.18,1020.3
ENE,No,16.4,,63.86,No,,0.0,101.11999999999999,0.0,NNE,21.0,31.0,Richmond,103.82,2011-01-31,,63.0,1010.8,6.0,76.46,1015.5
NNW,No,9.7,,65.48,No,,0.0,102.56,0.0,NNW,20.0,44.0,Richmond,104.0,2011-02-01,,70.0,1006.7,28.0,76.28,1011.9
E,No,9.8,ESE,76.1,No,,13.0,98.41999999999999,0.0,ENE,37.0,41.0,Richmond,101.48,2011-02-02,,44.0,1010.9,17.0,86.36,1014.9
NNW,No,8.0,,76.82,No,,0.0,99.68,0.0,W,34.0,54.0,Richmond,100.58000000000001,2011-02-03,,70.0,1009.7,24.0,82.04,1011.1
E,No,8.0,NNE,72.68,No,,2.0,101.48,0.0,NE,35.0,33.0,Richmond,103.1,2011-02-04,,74.0,1009.1,11.0,78.98,1014.8
NW,No,,NNE,72.86,No,,19.0,102.74,0.0,NW,25.0,54.0,Richmond,104.0,2011-02-05,,47.0,1006.8,30.0,91.76,1010.1
SSE,No,,NE,76.28,No,,2.0,87.8,0.0,E,55.0,63.0,Richmond,93.2,2011-02-06,,60.0,1013.5,17.0,81.86,1012.8
ENE,No,24.0,SSW,59.36,No,,11.0,73.75999999999999,0.0,NW,48.0,28.0,Richmond,74.66,2011-02-07,,58.0,1020.5,4.0,64.94,1024.7
E,No,3.2,S,61.88,No,,4.0,77.0,0.0,ESE,48.0,30.0,Richmond,78.98,2011-02-08,,67.0,1018.0,20.0,68.54,1020.0
SE,No,4.4,SSE,65.3,No,,6.0,77.72,0.0,SE,51.0,30.0,Richmond,78.98,2011-02-09,,57.0,1022.8,22.0,71.06,1024.9
ENE,No,4.5,W,61.519999999999996,No,,2.0,84.02,0.0,ENE,41.0,31.0,Richmond,87.08000000000001,2011-02-10,,86.0,1019.4,9.0,67.46,1023.8
SSE,No,4.6,NNE,63.32,No,,2.0,93.91999999999999,0.0,NE,31.0,39.0,Richmond,99.14,2011-02-11,,74.0,1011.0,11.0,71.78,1016.3
SSE,No,,S,71.78,Yes,,7.0,68.9,0.0,SW,92.0,31.0,Richmond,77.18,2011-02-12,,84.0,1017.1,9.0,76.46,1015.0
SSE,Yes,,,65.84,No,,0.0,69.98,15.8,SSE,85.0,30.0,Richmond,74.48,2011-02-13,,86.0,1018.8,17.0,70.16,1017.8
SE,No,9.4,SSW,64.22,No,,4.0,68.9,0.6,S,75.0,35.0,Richmond,71.78,2011-02-14,,72.0,1024.0,15.0,67.1,1024.2
SSW,No,0.4,SSW,61.519999999999996,No,,13.0,72.5,0.0,SSW,74.0,24.0,Richmond,72.68,2011-02-15,,70.0,1022.0,11.0,68.18,1024.3
NNE,No,0.4,,64.75999999999999,No,,0.0,78.62,1.0,NE,60.0,17.0,Richmond,80.24000000000001,2011-02-16,,78.0,1016.3,4.0,69.98,1019.9
NNW,No,2.6,NNE,67.28,Yes,,2.0,85.46000000000001,0.2,S,54.0,54.0,Richmond,87.61999999999999,2011-02-17,,90.0,1011.5,7.0,71.96,1014.2
ESE,Yes,3.8,,69.62,No,,0.0,80.06,9.8,WNW,69.0,24.0,Richmond,81.68,2011-02-18,,85.0,1014.0,2.0,72.32,1015.4
N,No,,NE,68.9,No,,15.0,96.08000000000001,0.0,NNW,38.0,44.0,Richmond,99.14,2011-02-19,,80.0,1005.7,30.0,76.64,1011.1
W,No,,,75.02,No,,0.0,92.66,0.0,WSW,46.0,43.0,Richmond,95.9,2011-02-20,,61.0,1005.2,22.0,84.02,1007.0
SE,No,15.6,SSW,67.28,Yes,,4.0,81.32,0.0,ENE,45.0,44.0,Richmond,83.12,2011-02-21,,75.0,1011.0,9.0,69.8,1013.3
SE,Yes,4.8,SW,60.26,No,,13.0,72.5,1.6,SE,52.0,41.0,Richmond,74.12,2011-02-22,,64.0,1021.9,24.0,63.86,1022.5
SSW,No,4.0,SSW,61.88,No,,4.0,75.2,0.0,SE,49.0,50.0,Richmond,78.62,2011-02-23,,71.0,1021.1,7.0,67.1,1023.4
ENE,No,3.0,,55.76,No,,0.0,82.04,0.0,E,31.0,30.0,Richmond,86.18,2011-02-24,,79.0,1015.5,9.0,64.75999999999999,1020.4
ENE,No,5.8,,55.22,No,,0.0,84.91999999999999,0.0,NE,32.0,30.0,Richmond,86.72,2011-02-25,,90.0,1011.7,13.0,62.24,1015.3
E,No,,,62.24,No,,0.0,89.41999999999999,0.0,NE,28.0,35.0,Richmond,91.94,2011-02-26,,73.0,1008.4,11.0,71.24000000000001,1013.1
ESE,No,,,62.059999999999995,No,,0.0,79.52,0.0,N,59.0,22.0,Richmond,82.04,2011-02-27,,86.0,1007.7,13.0,68.0,1009.2
SSW,No,11.6,N,68.0,Yes,,9.0,89.24,0.6,E,46.0,41.0,Richmond,89.6,2011-02-28,,82.0,1006.3,7.0,72.86,1010.8
NW,Yes,4.2,NW,68.0,No,,13.0,86.9,6.4,WNW,45.0,56.0,Richmond,88.7,2011-03-01,,56.0,1004.2,39.0,84.56,1003.3
SE,No,4.0,SW,63.5,No,,9.0,68.54,0.0,NW,68.0,26.0,Richmond,69.25999999999999,2011-03-02,,80.0,1015.3,4.0,63.86,1017.5
WSW,No,2.0,,56.48,No,,0.0,86.72,0.0,W,20.0,43.0,Richmond,87.61999999999999,2011-03-03,,91.0,1007.5,26.0,64.04,1009.8
SE,No,5.0,,60.8,No,,0.0,84.38000000000001,0.0,ESE,39.0,43.0,Richmond,88.88000000000001,2011-03-04,,79.0,1009.3,4.0,68.54,1012.1
SE,No,,S,62.6,No,,22.0,68.0,0.0,SE,58.0,41.0,Richmond,72.32,2011-03-05,,70.0,1023.5,20.0,64.4,1023.1
ESE,No,,SSW,53.78,No,,9.0,72.86,0.0,ESE,42.0,28.0,Richmond,74.12,2011-03-06,,67.0,1026.0,19.0,64.04,1027.5
E,No,13.8,,54.68,No,,0.0,77.0,0.0,N,49.0,24.0,Richmond,78.44,2011-03-07,,79.0,1021.7,7.0,62.059999999999995,1025.6
ENE,No,,,53.6,No,,0.0,86.0,0.0,ENE,33.0,31.0,Richmond,87.44,2011-03-08,,80.0,1014.7,9.0,63.86,1020.2
W,No,8.4,,62.6,No,,0.0,84.91999999999999,0.0,WSW,41.0,31.0,Richmond,86.36,2011-03-09,,82.0,1013.6,9.0,67.46,1015.6
N,No,3.4,,64.4,No,,0.0,82.4,0.0,NNW,45.0,24.0,Richmond,82.75999999999999,2011-03-10,,71.0,1012.3,13.0,71.6,1013.6
W,No,3.1,NW,65.3,Yes,,2.0,81.86,0.0,E,53.0,31.0,Richmond,83.84,2011-03-11,,89.0,1014.9,9.0,68.72,1016.7
W,Yes,,NW,64.22,No,,2.0,86.9,4.2,NNW,48.0,33.0,Richmond,87.8,2011-03-12,,98.0,1018.3,2.0,68.18,1021.2
W,No,,NE,63.86,No,,7.0,90.68,0.2,NNW,41.0,44.0,Richmond,91.22,2011-03-13,,89.0,1017.3,7.0,69.25999999999999,1021.9
SSE,No,10.6,SE,62.6,No,,2.0,74.84,0.0,SE,71.0,43.0,Richmond,83.3,2011-03-14,,77.0,1020.6,26.0,72.68,1019.8
E,No,,,62.6,No,,0.0,78.98,0.8,NE,53.0,20.0,Richmond,82.04,2011-03-15,,95.0,1017.9,11.0,66.38,1022.1
SSE,No,5.2,NNE,61.519999999999996,Yes,,2.0,79.88,0.0,SE,60.0,39.0,Richmond,87.08000000000001,2011-03-16,,84.0,1015.7,26.0,69.08,1017.4
ESE,Yes,3.0,S,65.84,Yes,,4.0,78.08,1.8,ESE,63.0,33.0,Richmond,80.78,2011-03-17,,94.0,1016.7,7.0,68.9,1019.7
SSE,Yes,3.0,SSW,66.92,No,,13.0,75.74000000000001,3.2,SSE,61.0,31.0,Richmond,77.18,2011-03-18,,77.0,1013.8,17.0,69.08,1015.9
SE,No,,S,65.66,Yes,,9.0,68.18,0.0,SSW,97.0,26.0,Richmond,72.86,2011-03-19,,90.0,1012.3,13.0,67.1,1015.1
ESE,Yes,,SSW,65.48,Yes,,13.0,74.48,45.2,SE,72.0,44.0,Richmond,76.1,2011-03-20,,99.0,1010.0,22.0,66.56,1012.7
ESE,Yes,8.8,S,66.56,Yes,,7.0,79.7,12.0,NE,66.0,24.0,Richmond,80.42,2011-03-21,,99.0,1002.8,4.0,69.8,1006.9
E,Yes,,,67.64,No,,0.0,87.26,24.4,NE,51.0,24.0,Richmond,89.24,2011-03-22,,100.0,998.9,4.0,69.44,1001.7
WSW,No,5.6,ENE,61.519999999999996,No,,2.0,85.46000000000001,0.0,WSW,38.0,43.0,Richmond,86.18,2011-03-23,,79.0,1000.8,20.0,70.88,1003.2
WNW,No,6.4,N,57.92,No,,17.0,77.9,0.0,WNW,40.0,48.0,Richmond,79.16,2011-03-24,,57.0,1004.3,31.0,66.92,1005.7
WSW,No,4.8,WNW,56.3,No,,11.0,76.82,0.0,SSW,38.0,37.0,Richmond,78.8,2011-03-25,,56.0,1009.0,15.0,68.18,1008.6
SSW,No,,SSW,59.36,No,,22.0,69.98,0.2,SSE,53.0,41.0,Richmond,72.68,2011-03-26,,63.0,1020.0,19.0,65.12,1020.0
SE,No,,,55.94,No,,0.0,66.92,0.2,SW,77.0,31.0,Richmond,68.9,2011-03-27,,76.0,1024.9,6.0,62.42,1025.2
E,No,8.4,,54.32,No,,0.0,74.3,0.2,ESE,58.0,31.0,Richmond,75.38,2011-03-28,,99.0,1025.4,11.0,60.440000000000005,1027.5
ENE,No,,,57.92,No,,0.0,79.88,0.0,NE,53.0,31.0,Richmond,81.14,2011-03-29,,88.0,1021.7,11.0,65.48,1026.4
SW,No,6.0,ENE,56.66,Yes,,2.0,65.48,0.0,SE,91.0,57.0,Richmond,85.46000000000001,2011-03-30,,91.0,1017.4,19.0,64.4,1020.4
SE,Yes,3.4,SSW,61.34,Yes,,13.0,67.82,15.0,SSE,71.0,26.0,Richmond,69.62,2011-03-31,,80.0,1023.1,17.0,66.2,1023.4
SW,Yes,2.6,,53.96,No,,0.0,72.5,2.4,WSW,44.0,24.0,Richmond,73.04,2011-05-01,,86.0,1015.7,9.0,61.519999999999996,1019.5
ENE,No,2.4,,47.120000000000005,No,,0.0,63.32,0.2,ENE,76.0,13.0,Richmond,63.68,2011-05-02,,99.0,1015.3,7.0,51.620000000000005,1017.3
WSW,No,0.2,,51.620000000000005,No,,0.0,64.75999999999999,0.8,,69.0,20.0,Richmond,65.3,2011-05-03,,99.0,1014.3,0.0,57.92,1015.7
SSW,No,1.2,S,47.66,No,,9.0,69.25999999999999,0.0,SSE,44.0,35.0,Richmond,70.88,2011-05-04,,68.0,1015.5,19.0,60.8,1017.4
S,No,,NNE,42.620000000000005,No,,2.0,64.94,0.0,SE,49.0,35.0,Richmond,66.74000000000001,2011-05-05,,88.0,1021.7,19.0,55.4,1021.9
WSW,No,4.4,,39.92,No,,0.0,65.48,0.0,SSE,41.0,22.0,Richmond,67.1,2011-05-06,,75.0,1020.4,6.0,55.04,1024.8
E,No,,,39.02,No,,0.0,68.72,0.0,NNE,43.0,22.0,Richmond,69.25999999999999,2011-05-07,,83.0,1015.1,9.0,51.620000000000005,1020.2
S,No,,E,36.5,No,,6.0,69.25999999999999,0.0,NE,39.0,24.0,Richmond,70.16,2011-05-08,,99.0,1010.4,9.0,44.96,1014.8
S,No,5.4,,40.64,No,,0.0,61.88,0.0,SSE,53.0,37.0,Richmond,64.04,2011-05-09,,95.0,1014.1,22.0,49.28,1015.8
SSW,No,,SSW,48.02,No,,24.0,63.86,0.0,SSW,34.0,43.0,Richmond,64.22,2011-05-10,,53.0,1013.3,13.0,54.14,1016.7
WSW,No,5.4,NNW,32.9,No,,4.0,58.459999999999994,0.0,W,39.0,52.0,Richmond,60.8,2011-05-11,,67.0,1007.9,15.0,52.34,1009.9
W,No,,,35.96,No,,0.0,60.440000000000005,0.0,W,33.0,39.0,Richmond,62.78,2011-05-12,,61.0,1010.5,24.0,52.16,1011.6
WSW,No,4.0,,34.88,No,,0.0,67.64,0.0,W,37.0,52.0,Richmond,70.16,2011-05-13,,70.0,1009.1,24.0,55.04,1012.4
SW,No,,WSW,48.56,No,,19.0,60.26,0.0,SW,32.0,41.0,Richmond,62.6,2011-05-14,,42.0,1018.6,22.0,55.4,1016.7
N,No,,,32.9,No,,0.0,65.3,0.0,N,37.0,15.0,Richmond,65.66,2011-05-15,,71.0,1027.3,6.0,46.58,1029.5
SE,No,7.7,,29.48,No,,0.0,63.32,0.0,SE,40.0,13.0,Richmond,64.58,2011-05-16,,87.0,1026.3,2.0,42.980000000000004,1030.7
SSE,No,,,32.36,No,,0.0,64.94,0.0,E,42.0,19.0,Richmond,65.66,2011-05-17,,81.0,1028.3,6.0,46.4,1031.4
NE,No,3.2,NNW,35.78,No,,2.0,67.28,0.0,ENE,46.0,20.0,Richmond,67.46,2011-05-18,,99.0,1029.7,13.0,43.34,1033.7
NE,No,1.6,,41.9,No,,0.0,69.8,0.0,NE,57.0,24.0,Richmond,70.34,2011-05-19,,99.0,1027.9,13.0,49.28,1032.1
ESE,No,1.0,,41.54,No,,0.0,72.14,0.0,NE,42.0,17.0,Richmond,72.68,2011-05-20,,99.0,1024.2,9.0,48.92,1029.2
NE,No,,,42.8,No,,0.0,74.3,0.2,NE,44.0,17.0,Richmond,74.84,2011-05-21,,99.0,1021.1,13.0,50.54,1026.1
NE,No,,,41.54,Yes,,0.0,69.8,0.0,NE,53.0,20.0,Richmond,72.68,2011-05-22,,99.0,1015.1,13.0,49.28,1021.6
NW,Yes,4.6,NNE,49.28,No,,19.0,71.06,1.6,NW,41.0,48.0,Richmond,73.22,2011-05-23,,79.0,1002.1,20.0,61.519999999999996,1006.0
SE,No,3.8,N,45.86,Yes,,9.0,64.22,0.2,S,47.0,31.0,Richmond,66.92,2011-05-24,,61.0,1004.6,13.0,59.0,1005.8
S,Yes,2.1,SSW,49.64,No,,17.0,61.16,3.6,S,50.0,44.0,Richmond,62.059999999999995,2011-05-25,,60.0,1011.7,19.0,55.94,1012.2
S,No,,SSW,50.9,No,,4.0,66.02,0.0,SW,42.0,31.0,Richmond,66.56,2011-05-26,,59.0,1015.5,11.0,56.84,1017.4
SSW,No,4.0,,36.32,No,,0.0,62.42,0.2,SSW,46.0,22.0,Richmond,64.04,2011-05-27,,92.0,1018.2,11.0,45.5,1019.8
SE,No,,,33.98,No,,0.0,63.68,0.0,ESE,58.0,24.0,Richmond,66.38,2011-05-28,,87.0,1022.5,19.0,47.3,1024.8
WSW,No,,,44.239999999999995,Yes,,0.0,60.8,0.0,NNW,70.0,19.0,Richmond,62.6,2011-05-29,,99.0,1022.6,6.0,50.72,1026.0
S,Yes,3.4,SSW,50.72,Yes,,17.0,55.94,6.6,SSW,99.0,39.0,Richmond,60.8,2011-05-30,,96.0,1019.0,19.0,55.22,1021.9
S,Yes,2.2,SSW,55.04,Yes,,17.0,62.24,34.4,SW,92.0,43.0,Richmond,63.68,2011-05-31,,99.0,1019.6,11.0,60.8,1019.8
SE,Yes,1.6,SSW,55.22,Yes,,17.0,63.86,10.2,S,75.0,37.0,Richmond,65.84,2011-06-01,,83.0,1024.9,13.0,60.26,1025.8
SE,Yes,,SW,53.24,No,,11.0,65.66,5.0,SE,61.0,31.0,Richmond,67.46,2011-06-02,,91.0,1022.6,15.0,59.36,1025.9
W,No,2.0,,42.260000000000005,No,,0.0,67.64,0.0,NNE,53.0,19.0,Richmond,68.18,2011-06-03,,95.0,1014.6,11.0,51.8,1020.1
W,No,,N,43.519999999999996,No,,7.0,66.56,0.0,W,53.0,33.0,Richmond,68.54,2011-06-04,,87.0,1013.8,13.0,52.7,1015.8
WSW,No,,NE,40.28,No,,4.0,64.04,0.0,N,47.0,37.0,Richmond,65.48,2011-06-05,,84.0,1012.8,6.0,49.64,1018.5
NW,No,6.2,NNW,45.86,No,,19.0,61.34,0.0,SE,46.0,35.0,Richmond,64.4,2011-06-06,,53.0,1015.9,13.0,57.379999999999995,1016.2
W,No,1.4,SE,34.34,No,,2.0,,0.0,,,46.0,Richmond,59.18,2011-06-07,,89.0,,,43.519999999999996,1018.0
WSW,No,2.2,NW,38.3,No,,17.0,55.04,0.0,W,34.0,52.0,Richmond,57.56,2011-06-08,,48.0,1014.5,17.0,50.9,1016.1
WNW,No,,NE,36.14,No,,7.0,58.64,0.0,WNW,43.0,41.0,Richmond,62.24,2011-06-09,,64.0,1012.4,22.0,49.46,1014.5
SW,No,4.2,ESE,37.04,No,,4.0,59.9,0.0,S,51.0,43.0,Richmond,62.959999999999994,2011-06-10,,74.0,1017.6,20.0,50.0,1016.7
S,No,,SSW,43.519999999999996,Yes,,22.0,55.22,0.0,W,89.0,43.0,Richmond,61.7,2011-06-11,,62.0,1025.4,9.0,56.84,1025.0
SSE,Yes,,SSW,51.98,Yes,,17.0,59.18,1.2,S,69.0,48.0,Richmond,59.36,2011-06-12,,85.0,1023.4,24.0,53.96,1026.3
S,Yes,,SSW,50.9,Yes,,20.0,57.02,4.0,SSW,90.0,33.0,Richmond,58.28,2011-06-13,,82.0,1021.6,19.0,53.96,1024.6
SE,Yes,,SSW,52.16,Yes,,22.0,55.94,1.8,S,96.0,44.0,Richmond,60.440000000000005,2011-06-14,,86.0,1020.5,20.0,56.84,1021.5
S,Yes,9.1,S,52.34,Yes,,15.0,59.540000000000006,12.4,S,81.0,39.0,Richmond,60.08,2011-06-15,,95.0,1021.6,17.0,53.78,1024.1
S,Yes,0.2,SW,51.8,No,,15.0,61.88,15.2,S,61.0,35.0,Richmond,62.24,2011-06-16,,89.0,1017.0,13.0,55.58,1021.9
W,No,1.4,N,37.4,No,,11.0,58.64,0.0,WNW,53.0,57.0,Richmond,63.14,2011-06-17,,67.0,1007.1,30.0,56.48,1008.5
SW,No,,ENE,36.32,No,,4.0,62.059999999999995,0.0,WSW,42.0,41.0,Richmond,64.22,2011-06-18,,78.0,1011.0,26.0,48.2,1012.3
WSW,No,,,33.08,No,,0.0,63.32,0.0,,46.0,28.0,Richmond,66.02,2011-06-19,,93.0,1014.2,0.0,43.16,1016.9
WNW,No,5.4,,35.78,No,,0.0,64.4,0.0,W,42.0,48.0,Richmond,65.84,2011-06-20,,82.0,1012.8,24.0,48.56,1015.9
NW,No,2.4,NNE,45.68,No,,19.0,59.9,0.0,WSW,53.0,70.0,Richmond,69.8,2011-06-21,,57.0,1002.8,41.0,58.28,1005.5
WSW,No,3.6,NNE,42.8,No,,11.0,58.28,0.0,W,39.0,50.0,Richmond,60.26,2011-06-22,,50.0,1011.6,28.0,52.879999999999995,1011.4
SW,No,2.6,NW,42.44,No,,7.0,67.46,0.0,SW,35.0,30.0,Richmond,68.54,2011-06-23,,58.0,1017.6,19.0,57.2,1017.0
NE,No,2.8,,32.18,No,,0.0,62.6,0.0,E,46.0,17.0,Richmond,63.86,2011-06-24,,93.0,1024.9,4.0,42.8,1027.4
E,No,,,32.72,No,,0.0,63.32,0.0,ESE,54.0,17.0,Richmond,64.58,2011-06-25,,96.0,1028.0,9.0,43.16,1032.1
W,No,,,33.08,No,,0.0,69.25999999999999,0.0,NW,38.0,24.0,Richmond,69.44,2011-06-26,,99.0,1023.3,4.0,38.48,1027.3
NNE,No,3.0,NNE,31.64,No,,2.0,65.48,0.2,NNE,49.0,15.0,Richmond,66.2,2011-06-27,,94.0,1027.5,7.0,42.980000000000004,1028.9
SE,No,0.8,,41.72,No,,0.0,62.059999999999995,0.0,SE,55.0,28.0,Richmond,63.68,2011-06-28,,91.0,1032.9,17.0,49.82,1034.9
S,No,1.2,SSE,49.64,Yes,,2.0,56.120000000000005,0.6,SSW,94.0,35.0,Richmond,61.34,2011-06-29,,87.0,1036.3,17.0,54.68,1037.9
ESE,Yes,1.0,,46.94,No,,0.0,60.62,1.4,ESE,64.0,19.0,Richmond,60.980000000000004,2011-06-30,,99.0,1035.0,11.0,52.879999999999995,1038.3
ESE,No,0.0,SW,47.66,No,,11.0,62.42,0.0,SE,60.0,22.0,Richmond,62.6,2011-07-01,,86.0,1028.3,7.0,55.4,1032.3
NE,No,,,48.379999999999995,No,,0.0,63.5,0.8,NE,62.0,24.0,Richmond,63.86,2011-07-02,,99.0,1022.6,15.0,53.42,1027.3
NNE,No,,,38.660000000000004,No,,0.0,66.2,0.0,NNE,50.0,37.0,Richmond,67.82,2011-07-03,,99.0,1017.5,19.0,41.54,1022.8
NNW,No,5.4,NE,41.54,No,,19.0,66.92,0.2,NW,50.0,50.0,Richmond,68.72,2011-07-04,,59.0,1010.5,24.0,60.440000000000005,1014.8
WNW,No,3.5,W,51.08,No,,28.0,60.62,0.0,W,34.0,70.0,Richmond,61.7,2011-07-05,,41.0,1006.4,22.0,57.379999999999995,1010.9
WNW,No,4.2,WNW,46.94,No,,13.0,59.18,0.0,WNW,39.0,65.0,Richmond,62.059999999999995,2011-07-06,,40.0,1008.9,33.0,57.2,1011.1
WNW,No,4.2,W,51.26,No,,37.0,60.26,0.0,W,33.0,72.0,Richmond,62.24,2011-07-07,,47.0,1014.7,33.0,57.92,1009.5
WSW,No,3.4,ENE,28.4,No,,7.0,64.4,0.0,NNE,34.0,39.0,Richmond,65.12,2011-07-08,,86.0,1018.3,4.0,40.28,1023.0
WNW,No,,SE,26.42,No,,2.0,60.980000000000004,0.0,WNW,35.0,39.0,Richmond,62.42,2011-07-09,,83.0,1016.1,26.0,38.660000000000004,1020.0
W,No,,W,32.54,No,,35.0,58.82,0.0,WNW,33.0,80.0,Richmond,60.26,2011-07-10,,45.0,1011.5,39.0,52.7,1016.0
WNW,No,7.2,NNW,42.8,No,,13.0,62.24,0.0,WNW,33.0,35.0,Richmond,64.22,2011-07-11,,50.0,1018.4,22.0,54.5,1018.1
W,No,2.4,,27.68,No,,0.0,65.66,0.0,NNE,37.0,37.0,Richmond,66.92,2011-07-12,,94.0,1018.0,2.0,37.58,1022.9
S,No,2.2,,37.58,No,,0.0,47.84,0.0,,76.0,17.0,Richmond,49.1,2011-07-13,,86.0,1017.6,0.0,42.620000000000005,1019.7
SW,No,0.0,,31.1,No,,0.0,57.56,0.0,S,34.0,37.0,Richmond,59.36,2011-07-14,,79.0,1027.6,19.0,45.32,1026.4
SE,No,1.6,,31.1,No,,0.0,56.66,0.0,SE,62.0,31.0,Richmond,57.74,2011-07-15,,84.0,1032.9,13.0,42.260000000000005,1035.7
NE,No,,,42.260000000000005,No,,0.0,60.08,1.0,WNW,65.0,13.0,Richmond,60.08,2011-07-16,,99.0,1027.8,2.0,49.82,1032.3
N,No,,,47.48,No,,0.0,59.36,0.2,NNE,65.0,20.0,Richmond,60.440000000000005,2011-07-17,,91.0,1021.7,11.0,52.16,1025.7
WSW,No,2.7,,40.46,No,,0.0,65.84,0.2,W,39.0,35.0,Richmond,66.74000000000001,2011-07-18,,99.0,1015.1,19.0,45.32,1019.1
S,No,2.6,,34.34,Yes,,0.0,50.36,0.0,WNW,77.0,43.0,Richmond,59.72,2011-07-19,,83.0,1012.5,22.0,44.06,1015.1
SSW,Yes,1.0,SSW,44.06,No,,20.0,63.14,5.4,SSW,55.0,56.0,Richmond,64.4,2011-07-20,,77.0,1014.5,33.0,57.2,1014.4
SW,No,1.8,SSW,52.34,Yes,,22.0,54.5,0.2,SW,83.0,37.0,Richmond,56.3,2011-07-21,,69.0,1015.6,24.0,56.120000000000005,1017.3
S,Yes,1.8,SSW,51.08,Yes,,15.0,53.06,16.8,S,85.0,41.0,Richmond,56.66,2011-07-22,,86.0,1019.2,20.0,53.24,1019.1
SSW,Yes,,SW,48.2,No,,22.0,58.459999999999994,3.8,SSW,60.0,35.0,Richmond,60.8,2011-07-23,,66.0,1019.6,20.0,54.32,1020.9
SSE,No,,,32.36,No,,0.0,56.66,0.0,S,54.0,13.0,Richmond,57.74,2011-07-24,,99.0,1018.2,7.0,42.980000000000004,1020.5
WSW,No,3.0,,38.3,No,,0.0,63.5,0.0,WNW,46.0,30.0,Richmond,65.48,2011-07-25,,97.0,1014.8,13.0,46.76,1018.4
WSW,No,1.2,,34.88,No,,0.0,62.24,0.0,NNW,47.0,30.0,Richmond,64.4,2011-07-26,,85.0,1019.1,7.0,46.22,1020.5
S,No,2.2,,34.52,No,,0.0,56.120000000000005,0.0,SSW,75.0,28.0,Richmond,61.88,2011-07-27,,75.0,1027.3,11.0,48.379999999999995,1027.9
NE,No,1.3,NE,35.24,No,,2.0,65.66,0.0,NE,50.0,26.0,Richmond,66.38,2011-07-28,,99.0,1025.5,15.0,39.74,1030.0
E,No,1.6,,32.36,No,,0.0,65.66,0.2,ENE,31.0,13.0,Richmond,66.02,2011-07-29,,99.0,1023.7,4.0,40.64,1027.7
N,No,,,30.92,No,,0.0,68.18,0.0,NNE,30.0,22.0,Richmond,68.72,2011-07-30,,99.0,1020.1,15.0,42.8,1025.1
W,No,2.8,,31.1,No,,0.0,65.84,0.0,,48.0,13.0,Richmond,68.0,2011-07-31,,97.0,1019.4,0.0,43.16,1022.8
E,No,0.4,,37.58,No,,0.0,69.62,0.4,ENE,47.0,17.0,Richmond,71.6,2011-08-01,,99.0,1019.0,7.0,47.3,1023.3
NE,No,1.8,,34.34,No,,0.0,73.58,0.2,NE,29.0,19.0,Richmond,73.94,2011-08-02,,99.0,1020.6,11.0,46.4,1023.9
NE,No,,,43.7,No,,0.0,73.94,0.0,NE,46.0,22.0,Richmond,75.02,2011-08-03,,90.0,1021.3,17.0,50.72,1023.8
NNE,No,2.8,,39.38,No,,0.0,78.25999999999999,0.0,NNE,28.0,31.0,Richmond,78.98,2011-08-04,,85.0,1023.5,20.0,51.620000000000005,1027.1
NNW,No,2.8,NE,38.12,No,,9.0,74.12,0.0,N,33.0,37.0,Richmond,74.12,2011-08-05,,81.0,1021.5,19.0,52.879999999999995,1025.7
N,No,,,39.38,No,,0.0,71.96,0.0,N,38.0,35.0,Richmond,74.84,2011-08-06,,77.0,1016.2,22.0,51.44,1021.6
N,No,,SW,50.54,No,,2.0,63.68,1.0,N,72.0,31.0,Richmond,66.92,2011-08-07,,99.0,1012.3,13.0,54.86,1017.4
WNW,No,6.0,NE,36.32,No,,6.0,61.16,0.4,S,41.0,30.0,Richmond,63.86,2011-08-08,,85.0,1007.9,11.0,49.64,1011.1
W,No,2.2,NNW,38.3,No,,7.0,58.1,0.0,N,49.0,37.0,Richmond,60.440000000000005,2011-08-09,,89.0,1006.1,6.0,46.04,1008.9
W,No,0.0,N,31.64,No,,4.0,61.34,0.0,W,34.0,44.0,Richmond,64.04,2011-08-10,,79.0,1005.2,30.0,46.94,1007.8
NE,No,1.8,,32.18,No,,0.0,61.519999999999996,0.0,S,47.0,20.0,Richmond,63.5,2011-08-11,,79.0,1008.4,13.0,47.48,1009.3
SSE,No,0.8,SSW,41.72,No,,19.0,61.519999999999996,0.4,S,55.0,39.0,Richmond,64.4,2011-08-12,,74.0,1018.7,13.0,56.120000000000005,1018.8
