wind dir 9 am,wind gust dir,date,wind speed 9 am,wind dir 3 pm,max temp c,temp 9 am c,humidity 3 pm,humidity 9 am,rain today,temp 3 pm c,location,wind gust speed,wind speed 3 pm,rain tomorrow,min temp c,rainfall
N,WNW,2011-05-20,20.0,NNW,19.7,15.3,56.0,70.0,No,19.0,SalmonGums,91.0,26.0,Yes,9.6,0.0
WSW,SW,2011-05-21,17.0,SW,15.6,10.6,62.0,85.0,Yes,14.7,SalmonGums,57.0,24.0,No,8.8,15.2
SW,SW,2011-05-22,17.0,SW,17.0,12.9,56.0,83.0,No,16.0,SalmonGums,37.0,22.0,Yes,9.7,0.4
WSW,SSE,2011-05-23,11.0,SSE,17.7,13.2,89.0,94.0,Yes,14.8,SalmonGums,33.0,9.0,Yes,10.7,1.4
SE,ESE,2011-05-24,9.0,SE,16.2,13.0,67.0,92.0,Yes,15.9,SalmonGums,19.0,9.0,No,7.0,1.8
ENE,E,2011-05-25,9.0,ESE,17.5,12.1,74.0,89.0,No,15.2,SalmonGums,31.0,20.0,No,5.5,0.0
NE,E,2011-05-26,11.0,ENE,17.5,13.8,46.0,65.0,No,15.3,SalmonGums,31.0,13.0,No,10.2,0.2
NNE,N,2011-05-27,13.0,NE,16.3,12.5,48.0,76.0,No,16.2,SalmonGums,28.0,11.0,No,6.1,0.0
N,N,2011-05-28,15.0,NNE,21.3,12.6,34.0,62.0,No,20.4,SalmonGums,28.0,11.0,No,1.9,0.0
N,NNE,2011-05-29,24.0,NNE,23.3,15.2,30.0,54.0,No,22.3,SalmonGums,44.0,26.0,No,6.2,0.0
N,NNW,2011-05-30,26.0,NW,21.5,17.4,49.0,34.0,No,19.3,SalmonGums,63.0,31.0,No,15.2,0.0
NW,NNW,2011-05-31,17.0,WNW,21.7,12.6,40.0,94.0,No,20.8,SalmonGums,35.0,17.0,No,10.1,0.0
NNW,NW,2011-06-01,22.0,NW,23.1,16.1,39.0,61.0,No,21.8,SalmonGums,52.0,24.0,No,8.5,0.0
WSW,WNW,2011-06-02,19.0,SSW,16.4,14.4,87.0,87.0,No,14.3,SalmonGums,39.0,19.0,No,14.3,0.6
SW,SSW,2011-06-03,9.0,SW,16.2,11.1,48.0,88.0,No,15.6,SalmonGums,31.0,15.0,No,7.1,0.4
,ESE,2011-06-04,0.0,NE,16.3,10.2,43.0,95.0,No,15.9,SalmonGums,19.0,7.0,No,0.8,0.2
NE,ESE,2011-06-05,7.0,ESE,17.9,12.2,37.0,83.0,No,17.0,SalmonGums,24.0,15.0,No,2.4,0.0
SSW,SE,2011-06-06,15.0,SSE,16.8,11.2,69.0,86.0,No,13.3,SalmonGums,39.0,26.0,No,-1.5,0.0
SE,SE,2011-06-07,22.0,ESE,16.5,11.8,50.0,72.0,No,14.9,SalmonGums,43.0,28.0,No,1.2,0.2
SE,ESE,2011-06-08,22.0,ESE,18.6,12.6,63.0,85.0,No,16.3,SalmonGums,48.0,26.0,No,9.5,0.0
E,E,2011-06-09,15.0,NE,17.6,11.2,59.0,94.0,No,16.7,SalmonGums,43.0,17.0,No,10.1,0.6
NNE,NE,2011-06-10,13.0,NE,18.1,11.5,48.0,84.0,No,16.6,SalmonGums,31.0,15.0,No,2.5,0.2
ENE,NE,2011-06-11,15.0,ENE,18.0,10.8,44.0,91.0,No,17.0,SalmonGums,39.0,22.0,No,-0.2,0.0
NNE,NNE,2011-06-12,24.0,NE,17.9,11.5,39.0,68.0,No,17.4,SalmonGums,39.0,17.0,No,3.2,0.0
NNE,N,2011-06-13,17.0,N,16.9,10.6,46.0,83.0,No,15.6,SalmonGums,43.0,22.0,No,-0.6,0.0
N,N,2011-06-14,31.0,N,14.6,11.0,40.0,62.0,No,14.4,SalmonGums,48.0,22.0,No,8.6,0.0
NW,NW,2011-06-15,19.0,WNW,16.8,11.8,61.0,77.0,No,15.4,SalmonGums,50.0,26.0,No,10.6,0.0
WNW,W,2011-06-16,22.0,SW,19.0,12.4,47.0,75.0,No,16.8,SalmonGums,39.0,22.0,No,9.5,0.2
NW,NW,2011-06-17,15.0,WNW,19.0,12.1,32.0,71.0,No,18.3,SalmonGums,30.0,15.0,No,5.0,0.0
NNW,NW,2011-06-18,17.0,NW,20.4,12.6,38.0,61.0,No,19.6,SalmonGums,57.0,28.0,No,3.5,0.0
WNW,W,2011-06-19,20.0,WNW,19.4,11.5,49.0,77.0,No,18.2,SalmonGums,46.0,22.0,No,7.0,0.4
W,W,2011-06-20,28.0,WSW,19.1,14.8,80.0,70.0,No,15.5,SalmonGums,52.0,19.0,Yes,11.1,0.0
WSW,SW,2011-06-21,15.0,WSW,17.2,13.0,57.0,86.0,Yes,16.6,SalmonGums,35.0,13.0,No,11.8,3.4
NW,N,2011-06-22,9.0,NNW,18.5,11.4,41.0,75.0,No,17.7,SalmonGums,33.0,19.0,No,5.8,0.0
NNW,NNW,2011-06-23,17.0,NW,21.5,12.5,33.0,64.0,No,20.7,SalmonGums,35.0,20.0,No,3.8,0.0
NNW,N,2011-06-24,20.0,N,23.4,13.5,22.0,48.0,No,22.8,SalmonGums,52.0,28.0,Yes,7.9,0.0
W,NNW,2011-06-25,22.0,WSW,18.9,14.0,39.0,78.0,Yes,17.6,SalmonGums,41.0,22.0,No,11.4,2.0
WNW,NW,2011-06-26,13.0,W,18.7,11.2,33.0,74.0,No,18.4,SalmonGums,28.0,11.0,No,3.4,0.2
N,N,2011-06-27,22.0,NNE,20.3,12.7,39.0,62.0,No,18.7,SalmonGums,44.0,24.0,No,-0.2,0.0
N,N,2011-06-28,28.0,N,21.9,16.5,24.0,47.0,No,21.1,SalmonGums,59.0,30.0,Yes,10.8,0.0
NNW,NW,2011-06-29,9.0,S,18.8,13.1,51.0,92.0,Yes,17.0,SalmonGums,30.0,6.0,No,12.2,5.6
NNE,WNW,2011-06-30,15.0,N,19.1,12.5,57.0,90.0,No,18.6,SalmonGums,43.0,19.0,Yes,6.1,0.4
WNW,W,2011-07-01,26.0,WNW,15.5,10.4,42.0,71.0,Yes,14.4,SalmonGums,46.0,30.0,No,6.8,2.2
W,WNW,2011-07-02,24.0,W,14.5,9.4,48.0,76.0,No,12.8,SalmonGums,50.0,28.0,No,7.3,0.0
W,W,2011-07-03,19.0,W,13.2,7.3,59.0,79.0,No,11.1,SalmonGums,41.0,24.0,No,4.2,0.0
WSW,SSW,2011-07-04,15.0,SW,13.8,7.8,64.0,90.0,No,12.5,SalmonGums,43.0,19.0,No,4.0,0.0
WSW,SSW,2011-07-05,13.0,S,14.4,8.4,64.0,94.0,No,12.1,SalmonGums,35.0,26.0,No,2.6,0.4
W,SW,2011-07-06,17.0,S,14.4,9.3,87.0,92.0,No,11.7,SalmonGums,52.0,19.0,Yes,5.5,0.4
W,SE,2011-07-07,9.0,E,13.4,7.7,67.0,95.0,Yes,12.2,SalmonGums,20.0,9.0,No,1.4,2.4
S,ESE,2011-07-08,11.0,SSE,14.1,9.8,63.0,85.0,No,12.9,SalmonGums,24.0,9.0,No,7.4,0.0
NNW,SSE,2011-07-09,4.0,S,13.7,8.4,63.0,95.0,No,12.9,SalmonGums,50.0,9.0,No,2.6,0.6
N,ESE,2011-07-10,4.0,E,14.8,6.6,53.0,97.0,No,14.2,SalmonGums,26.0,11.0,No,-1.7,0.0
NE,NE,2011-07-11,13.0,ENE,12.3,10.1,70.0,83.0,No,12.1,SalmonGums,28.0,15.0,No,6.6,0.0
E,NNE,2011-07-12,13.0,ENE,13.6,9.9,68.0,93.0,No,13.6,SalmonGums,20.0,7.0,No,8.7,0.8
NNE,ESE,2011-07-13,7.0,ESE,17.1,9.9,53.0,94.0,No,15.3,SalmonGums,20.0,6.0,No,3.0,0.2
N,NNE,2011-07-14,13.0,NNE,18.7,13.2,48.0,76.0,No,17.3,SalmonGums,33.0,13.0,No,5.9,0.0
N,N,2011-07-15,31.0,N,22.1,15.4,40.0,64.0,No,20.2,SalmonGums,54.0,30.0,Yes,12.1,0.0
WSW,SW,2011-07-16,17.0,SSW,15.5,11.0,79.0,86.0,Yes,12.9,SalmonGums,37.0,22.0,No,9.2,8.4
NW,ENE,2011-07-17,9.0,ESE,14.7,8.8,49.0,93.0,No,14.4,SalmonGums,24.0,7.0,No,-1.0,0.6
ENE,ENE,2011-07-18,15.0,ENE,15.2,8.6,52.0,86.0,No,14.3,SalmonGums,39.0,22.0,No,-0.5,0.0
ENE,NE,2011-07-19,15.0,W,12.9,9.7,76.0,90.0,No,12.8,SalmonGums,26.0,7.0,No,8.0,1.0
NNW,N,2011-07-20,15.0,N,18.8,10.8,40.0,79.0,No,17.9,SalmonGums,28.0,11.0,No,2.2,0.0
NNW,N,2011-07-21,9.0,S,19.9,13.0,36.0,57.0,No,18.7,SalmonGums,24.0,9.0,Yes,9.6,0.0
NW,WNW,2011-07-22,19.0,WSW,17.7,12.4,51.0,84.0,Yes,17.2,SalmonGums,33.0,15.0,No,8.5,12.6
W,NW,2011-07-23,13.0,WNW,17.6,13.4,56.0,76.0,No,16.9,SalmonGums,30.0,17.0,No,4.5,0.2
NNE,NE,2011-07-24,19.0,NNE,18.5,13.0,49.0,80.0,No,18.2,SalmonGums,28.0,13.0,No,4.8,0.0
NNW,WNW,2011-07-25,17.0,NNW,22.6,14.9,39.0,68.0,No,21.9,SalmonGums,43.0,19.0,Yes,5.1,0.0
NNW,N,2011-07-26,20.0,WNW,20.9,16.5,60.0,72.0,Yes,20.8,SalmonGums,37.0,17.0,No,12.6,5.2
ENE,NNW,2011-07-27,9.0,NW,23.2,14.8,39.0,90.0,No,22.6,SalmonGums,50.0,20.0,No,5.7,0.0
NNW,WNW,2011-07-28,26.0,NW,20.0,17.1,65.0,66.0,No,16.9,SalmonGums,56.0,22.0,Yes,9.8,0.0
WNW,WNW,2011-07-29,26.0,WNW,18.6,13.2,36.0,68.0,Yes,17.9,SalmonGums,57.0,31.0,No,11.0,3.0
NW,NW,2011-07-30,26.0,NW,20.0,14.8,45.0,71.0,No,19.2,SalmonGums,54.0,31.0,No,10.7,0.0
NW,NW,2011-07-31,39.0,W,21.6,16.5,81.0,64.0,No,15.3,SalmonGums,83.0,31.0,Yes,11.9,0.0
NW,NW,2011-08-01,26.0,NW,20.1,13.7,47.0,76.0,Yes,19.6,SalmonGums,59.0,26.0,No,8.7,2.2
NW,W,2011-08-02,28.0,WNW,20.0,15.8,59.0,70.0,No,19.0,SalmonGums,56.0,28.0,Yes,11.3,0.0
W,W,2011-08-03,28.0,W,15.3,11.1,45.0,66.0,Yes,14.1,SalmonGums,52.0,26.0,Yes,8.6,3.6
WSW,SW,2011-08-04,20.0,SW,13.3,8.2,80.0,79.0,Yes,10.7,SalmonGums,56.0,15.0,Yes,4.4,3.0
SW,S,2011-08-05,13.0,S,13.2,9.8,64.0,73.0,Yes,12.3,SalmonGums,35.0,17.0,No,5.5,1.8
NE,NE,2011-08-06,13.0,NE,14.7,10.1,43.0,59.0,No,14.3,SalmonGums,28.0,17.0,No,7.2,0.0
N,NE,2011-08-07,17.0,NE,19.0,10.4,34.0,60.0,No,18.6,SalmonGums,31.0,20.0,Yes,3.2,0.0
NNW,W,2011-08-08,19.0,NW,16.1,11.2,84.0,91.0,Yes,15.4,SalmonGums,33.0,15.0,Yes,9.4,2.8
W,SSW,2011-08-09,20.0,SSW,15.8,11.2,80.0,77.0,Yes,12.1,SalmonGums,56.0,35.0,No,6.7,2.8
WSW,SSW,2011-08-10,11.0,SSE,16.2,10.4,56.0,94.0,No,15.1,SalmonGums,24.0,17.0,No,6.7,0.2
E,SE,2011-08-11,6.0,SE,15.5,10.3,56.0,92.0,No,13.9,SalmonGums,22.0,9.0,No,-0.7,0.0
ENE,NE,2011-08-12,15.0,ENE,17.5,9.9,50.0,93.0,No,17.0,SalmonGums,33.0,15.0,No,3.9,0.2
NNE,N,2011-08-13,20.0,NNE,23.3,13.6,33.0,67.0,No,23.3,SalmonGums,46.0,22.0,Yes,6.8,0.0
WNW,W,2011-08-14,26.0,W,19.1,16.0,60.0,75.0,Yes,16.7,SalmonGums,61.0,26.0,No,13.6,4.2
NNW,SW,2011-08-15,19.0,NW,20.1,14.3,37.0,69.0,No,19.7,SalmonGums,72.0,30.0,Yes,3.1,0.8
W,WSW,2011-08-16,28.0,SW,13.7,9.4,70.0,66.0,Yes,9.9,SalmonGums,63.0,31.0,No,5.7,3.8
WNW,WNW,2011-08-17,15.0,W,17.0,9.4,46.0,74.0,No,16.3,SalmonGums,28.0,13.0,No,2.5,0.2
WNW,N,2011-08-18,9.0,N,19.5,12.6,37.0,65.0,No,18.8,SalmonGums,37.0,6.0,No,2.1,0.0
NNE,NNE,2011-08-19,19.0,NNE,21.2,14.3,30.0,50.0,No,20.6,SalmonGums,41.0,22.0,No,0.2,0.0
N,NNW,2011-08-20,22.0,NNW,28.9,18.6,12.0,31.0,No,28.3,SalmonGums,43.0,24.0,No,7.3,0.0
NNE,NNW,2011-08-21,19.0,NNW,30.8,21.5,12.0,25.0,No,30.2,SalmonGums,52.0,30.0,No,3.6,0.0
N,NW,2011-08-22,22.0,W,27.1,22.3,66.0,30.0,No,14.9,SalmonGums,63.0,26.0,No,16.0,0.0
N,NNW,2011-08-23,9.0,NNW,23.0,13.0,36.0,90.0,No,22.1,SalmonGums,39.0,19.0,No,3.2,0.6
WSW,SW,2011-08-24,26.0,SW,17.9,12.4,32.0,74.0,No,17.0,SalmonGums,46.0,22.0,No,5.4,0.0
WNW,S,2011-08-25,7.0,WSW,17.4,9.9,39.0,78.0,No,16.0,SalmonGums,22.0,9.0,No,0.1,0.0
NW,NW,2011-08-26,15.0,WSW,20.5,12.3,27.0,55.0,No,19.7,SalmonGums,35.0,19.0,No,-2.8,0.0
NW,SSW,2011-08-27,9.0,WNW,22.4,14.5,26.0,54.0,No,21.6,SalmonGums,30.0,13.0,No,-0.7,0.0
SSW,SSW,2011-08-28,15.0,S,20.9,14.3,40.0,72.0,No,19.4,SalmonGums,31.0,13.0,No,0.2,0.0
ENE,NNE,2011-08-29,19.0,E,22.1,13.6,36.0,75.0,No,21.6,SalmonGums,35.0,17.0,No,6.8,0.0
NE,ENE,2011-08-30,15.0,E,22.0,12.3,38.0,71.0,No,21.3,SalmonGums,39.0,26.0,No,10.1,0.0
N,SSE,2011-08-31,17.0,S,25.3,16.4,29.0,59.0,No,25.0,SalmonGums,31.0,4.0,No,2.8,0.0
WNW,NNW,2011-09-01,13.0,WNW,25.3,17.2,25.0,58.0,No,24.7,SalmonGums,35.0,20.0,No,4.9,0.0
NW,NW,2011-09-02,22.0,SW,24.1,18.6,53.0,56.0,No,17.9,SalmonGums,57.0,31.0,No,5.4,0.0
WSW,W,2011-09-03,17.0,NW,17.8,11.5,31.0,59.0,No,17.0,SalmonGums,48.0,28.0,No,3.6,0.4
W,WNW,2011-09-04,22.0,WNW,21.3,15.5,32.0,53.0,No,19.8,SalmonGums,41.0,17.0,No,5.9,0.0
W,SSW,2011-09-05,22.0,SSW,20.1,14.3,55.0,55.0,No,15.9,SalmonGums,57.0,35.0,No,5.6,0.0
SW,SW,2011-09-06,15.0,SW,18.6,11.4,41.0,68.0,No,17.5,SalmonGums,44.0,26.0,Yes,6.4,0.0
S,S,2011-09-07,30.0,S,15.3,11.9,58.0,60.0,Yes,12.9,SalmonGums,54.0,28.0,No,7.6,1.2
SSE,SSE,2011-09-08,24.0,S,15.8,11.6,58.0,64.0,No,14.7,SalmonGums,35.0,19.0,No,6.3,0.0
SSE,S,2011-09-09,19.0,SE,18.1,11.6,42.0,65.0,No,17.0,SalmonGums,31.0,17.0,No,9.0,0.0
SE,SSE,2011-09-10,11.0,SSE,18.3,12.5,35.0,55.0,No,17.8,SalmonGums,26.0,9.0,No,-3.2,0.0
NE,NE,2011-09-11,15.0,E,22.1,12.8,25.0,63.0,No,21.3,SalmonGums,24.0,15.0,No,-3.4,0.0
N,N,2011-09-12,26.0,NW,27.2,17.9,12.0,38.0,No,26.6,SalmonGums,46.0,26.0,No,0.8,0.0
W,S,2011-09-13,15.0,S,23.4,17.7,51.0,50.0,No,19.6,SalmonGums,39.0,26.0,No,6.5,0.0
N,WNW,2011-09-14,20.0,WNW,25.7,16.6,27.0,59.0,No,24.4,SalmonGums,43.0,22.0,No,2.5,0.0
NW,WNW,2011-09-15,15.0,NW,22.4,16.3,34.0,54.0,No,21.3,SalmonGums,26.0,17.0,No,7.7,0.0
WNW,NW,2011-09-16,20.0,WNW,26.8,19.2,26.0,57.0,No,25.8,SalmonGums,54.0,33.0,Yes,8.7,0.0
W,WNW,2011-09-17,17.0,NNW,22.8,14.1,20.0,65.0,Yes,22.4,SalmonGums,35.0,19.0,No,7.6,3.8
NW,W,2011-09-18,31.0,W,24.7,19.3,89.0,48.0,No,10.2,SalmonGums,76.0,24.0,Yes,3.9,0.0
W,W,2011-09-19,26.0,W,19.5,12.6,45.0,66.0,Yes,17.8,SalmonGums,52.0,19.0,No,7.3,8.0
WNW,NNW,2011-09-20,17.0,NNW,23.1,15.6,31.0,63.0,No,22.6,SalmonGums,39.0,22.0,No,8.7,0.0
WNW,NW,2011-09-21,20.0,WNW,24.8,19.3,26.0,49.0,No,23.1,SalmonGums,63.0,35.0,Yes,8.4,0.0
SW,SSW,2011-09-22,19.0,SSW,16.2,11.7,55.0,66.0,Yes,13.6,SalmonGums,33.0,15.0,No,5.9,1.2
N,SE,2011-09-23,15.0,S,18.9,13.2,32.0,55.0,No,16.9,SalmonGums,35.0,11.0,No,5.4,0.2
NNE,NNE,2011-09-24,24.0,N,23.0,14.2,22.0,51.0,No,22.4,SalmonGums,37.0,11.0,No,1.9,0.0
NE,SSW,2011-09-25,20.0,NNE,27.6,18.9,25.0,43.0,No,25.7,SalmonGums,41.0,11.0,No,6.9,0.0
W,WSW,2011-09-26,20.0,WNW,23.9,17.0,69.0,59.0,No,17.6,SalmonGums,44.0,17.0,Yes,7.2,0.2
NW,WSW,2011-09-27,22.0,NW,16.2,12.9,60.0,62.0,Yes,13.0,SalmonGums,59.0,30.0,Yes,4.9,4.2
WSW,WSW,2011-09-28,22.0,W,19.0,11.8,32.0,62.0,Yes,17.0,SalmonGums,48.0,24.0,No,4.4,3.6
NW,S,2011-09-29,13.0,WSW,21.9,15.0,22.0,51.0,No,21.2,SalmonGums,43.0,20.0,No,1.2,0.0
ESE,SE,2011-09-30,19.0,SE,20.7,14.1,33.0,54.0,No,20.1,SalmonGums,35.0,13.0,No,1.7,0.0
ENE,ENE,2011-10-01,28.0,NNE,21.3,15.6,34.0,49.0,No,20.7,SalmonGums,44.0,24.0,No,7.2,0.0
NE,NNE,2011-10-02,22.0,ENE,26.6,18.1,30.0,50.0,No,25.0,SalmonGums,37.0,20.0,Yes,9.2,0.0
E,S,2011-10-03,15.0,SSE,20.5,16.7,67.0,78.0,Yes,19.1,SalmonGums,33.0,24.0,No,12.1,5.8
SSW,SSW,2011-10-04,26.0,SSW,19.0,16.9,77.0,70.0,No,16.2,SalmonGums,37.0,22.0,No,13.3,0.0
ENE,E,2011-10-05,7.0,E,22.1,15.3,42.0,77.0,No,20.9,SalmonGums,33.0,7.0,No,10.1,0.4
N,SSW,2011-10-06,13.0,N,22.3,19.1,46.0,46.0,No,20.6,SalmonGums,44.0,17.0,Yes,8.5,0.0
NNW,W,2011-10-07,19.0,WNW,27.1,18.6,27.0,61.0,Yes,25.7,SalmonGums,33.0,15.0,No,5.4,12.4
SE,SSE,2011-10-08,20.0,SE,22.0,17.7,57.0,73.0,No,20.6,SalmonGums,43.0,24.0,Yes,13.0,0.0
E,SSE,2011-10-09,20.0,SE,20.4,16.2,47.0,60.0,Yes,18.9,SalmonGums,37.0,19.0,No,12.4,1.8
E,SSE,2011-10-10,11.0,NE,23.4,14.6,27.0,60.0,No,23.1,SalmonGums,31.0,13.0,No,7.8,0.0
NE,NE,2011-10-11,19.0,E,25.6,19.7,38.0,42.0,No,22.8,SalmonGums,41.0,15.0,No,8.5,0.0
NNE,NNW,2011-10-12,11.0,ESE,27.5,22.7,89.0,55.0,No,16.9,SalmonGums,78.0,15.0,Yes,11.4,0.0
W,WSW,2011-10-13,22.0,SW,23.1,17.3,78.0,61.0,Yes,16.6,SalmonGums,65.0,28.0,Yes,9.6,41.8
WNW,WNW,2011-10-14,28.0,W,28.2,16.5,23.0,52.0,Yes,27.4,SalmonGums,44.0,20.0,No,6.1,1.6
SSW,SE,2011-10-15,20.0,SSE,22.1,17.1,35.0,67.0,No,21.1,SalmonGums,37.0,17.0,No,12.7,0.0
NE,NNE,2011-10-16,26.0,NNE,28.2,18.4,25.0,53.0,No,27.0,SalmonGums,44.0,30.0,No,9.0,0.0
N,NNW,2011-10-17,33.0,NW,35.6,27.2,11.0,23.0,No,33.9,SalmonGums,63.0,26.0,No,17.8,0.0
NNW,W,2011-10-18,11.0,W,23.2,17.1,42.0,61.0,No,20.9,SalmonGums,48.0,24.0,Yes,13.4,0.0
SW,SSW,2011-10-19,22.0,S,18.9,14.1,49.0,64.0,Yes,16.9,SalmonGums,44.0,26.0,No,9.0,5.4
SE,SSE,2011-10-20,13.0,S,21.9,14.5,24.0,51.0,No,21.6,SalmonGums,39.0,13.0,No,-0.1,0.0
E,ESE,2011-10-21,20.0,ESE,26.1,18.0,19.0,53.0,No,25.7,SalmonGums,41.0,17.0,No,6.7,0.0
NE,SE,2011-10-22,15.0,ESE,28.3,21.3,29.0,44.0,No,26.6,SalmonGums,43.0,15.0,Yes,10.6,0.0
SSE,SSE,2011-10-23,19.0,SSE,15.4,14.9,92.0,94.0,Yes,14.0,SalmonGums,43.0,24.0,Yes,13.8,2.4
SE,E,2011-10-24,22.0,E,17.9,14.4,69.0,75.0,Yes,15.9,SalmonGums,43.0,22.0,Yes,11.0,3.8
ENE,ENE,2011-10-25,28.0,ENE,16.2,11.8,91.0,90.0,Yes,12.8,SalmonGums,46.0,22.0,Yes,10.8,2.4
N,NNW,2011-10-26,15.0,NNW,25.4,16.1,50.0,85.0,Yes,25.2,SalmonGums,39.0,19.0,Yes,11.7,4.8
WNW,SSW,2011-10-27,19.0,SSW,26.3,20.1,87.0,73.0,Yes,16.0,SalmonGums,59.0,30.0,Yes,14.8,10.6
S,SSW,2011-10-28,22.0,SSE,19.7,14.1,54.0,82.0,Yes,16.6,SalmonGums,43.0,26.0,No,10.2,10.4
SE,E,2011-10-29,17.0,ENE,20.7,14.4,36.0,54.0,No,19.6,SalmonGums,39.0,17.0,No,4.4,0.0
ESE,E,2011-10-30,20.0,ESE,21.7,15.8,39.0,59.0,No,20.4,SalmonGums,46.0,20.0,No,3.3,0.0
E,E,2011-10-31,26.0,E,21.7,17.3,44.0,59.0,No,21.2,SalmonGums,43.0,26.0,No,13.0,0.0
E,ESE,2011-11-01,24.0,SE,25.6,16.3,37.0,72.0,No,24.7,SalmonGums,39.0,19.0,No,11.0,0.0
NE,NE,2011-11-02,19.0,E,28.9,20.4,30.0,56.0,No,27.7,SalmonGums,39.0,17.0,No,10.6,0.0
NNE,NNW,2011-11-03,28.0,NNE,32.3,24.0,28.0,42.0,No,30.5,SalmonGums,65.0,19.0,Yes,14.9,0.0
NNW,NW,2011-11-04,22.0,WNW,27.3,21.4,49.0,76.0,Yes,25.5,SalmonGums,70.0,15.0,Yes,17.9,3.6
W,SSW,2011-11-05,19.0,NW,25.3,18.9,30.0,60.0,Yes,24.1,SalmonGums,50.0,17.0,Yes,13.2,7.6
NW,WNW,2011-11-06,22.0,WNW,24.1,18.1,48.0,73.0,Yes,22.2,SalmonGums,41.0,24.0,No,14.2,5.2
W,NW,2011-11-07,19.0,NW,26.4,19.6,22.0,49.0,No,25.9,SalmonGums,56.0,30.0,No,10.2,0.2
WNW,W,2011-11-08,33.0,WSW,24.9,18.6,40.0,54.0,No,20.4,SalmonGums,74.0,37.0,No,16.0,0.0
WSW,SW,2011-11-09,19.0,W,23.5,17.2,23.0,43.0,No,22.7,SalmonGums,44.0,19.0,No,8.9,0.0
W,WNW,2011-11-10,9.0,NW,27.4,19.8,19.0,46.0,No,27.0,SalmonGums,43.0,19.0,No,4.6,0.0
SSE,SSE,2011-11-11,20.0,S,27.7,20.9,37.0,49.0,No,26.3,SalmonGums,48.0,26.0,No,9.9,0.0
SSW,SSW,2011-11-12,19.0,S,26.0,21.1,36.0,50.0,No,24.2,SalmonGums,35.0,20.0,No,8.4,0.0
W,WSW,2011-11-13,22.0,SW,29.7,20.6,25.0,48.0,No,28.6,SalmonGums,43.0,20.0,No,7.6,0.0
WNW,S,2011-11-14,17.0,W,28.7,20.8,26.0,50.0,No,27.8,SalmonGums,54.0,22.0,No,9.2,0.0
SSE,SSE,2011-11-15,15.0,SE,24.2,17.0,27.0,57.0,No,23.5,SalmonGums,46.0,17.0,No,14.0,0.0
NNE,WNW,2011-11-16,26.0,NW,33.4,20.9,18.0,43.0,No,32.1,SalmonGums,46.0,20.0,No,11.8,0.0
WNW,W,2011-11-17,19.0,WNW,31.8,23.0,19.0,38.0,No,31.0,SalmonGums,54.0,31.0,Yes,15.0,0.0
SW,S,2011-11-18,13.0,S,24.8,17.8,34.0,53.0,Yes,22.6,SalmonGums,44.0,26.0,No,12.6,1.6
SW,S,2011-11-19,17.0,S,23.3,18.3,30.0,47.0,No,21.8,SalmonGums,41.0,24.0,No,5.7,0.0
ENE,SSE,2011-11-20,13.0,ESE,26.4,18.4,17.0,42.0,No,25.2,SalmonGums,43.0,11.0,No,2.3,0.0
E,S,2011-11-21,13.0,S,26.5,19.3,26.0,43.0,No,24.9,SalmonGums,41.0,13.0,No,7.3,0.0
E,ESE,2011-11-22,11.0,E,27.1,19.1,22.0,45.0,No,26.0,SalmonGums,48.0,13.0,No,7.2,0.0
NNE,NE,2011-11-23,20.0,ESE,30.5,20.9,11.0,37.0,No,29.0,SalmonGums,44.0,13.0,No,10.3,0.0
NNE,NE,2011-11-24,22.0,NE,33.2,23.8,9.0,31.0,No,31.8,SalmonGums,50.0,26.0,No,13.1,0.0
N,N,2011-11-25,30.0,NNW,37.6,29.2,8.0,17.0,No,37.0,SalmonGums,46.0,15.0,No,16.0,0.0
S,S,2011-11-26,22.0,S,26.6,21.3,47.0,55.0,No,21.6,SalmonGums,54.0,33.0,No,16.3,0.0
SE,S,2011-11-27,17.0,ESE,22.5,17.0,40.0,55.0,No,20.5,SalmonGums,37.0,24.0,Yes,12.8,0.0
SE,SSE,2011-11-28,13.0,SSE,24.0,16.5,35.0,60.0,Yes,22.6,SalmonGums,39.0,9.0,No,11.7,3.8
SSW,SSW,2011-11-29,30.0,SSW,20.3,16.4,35.0,35.0,No,18.7,SalmonGums,50.0,31.0,No,9.2,0.4
E,SE,2011-11-30,19.0,ESE,24.8,17.3,19.0,37.0,No,24.1,SalmonGums,48.0,20.0,No,1.6,0.0
NE,SE,2011-12-01,28.0,E,26.9,18.9,20.0,42.0,No,25.9,SalmonGums,48.0,26.0,No,8.6,0.0
E,ESE,2011-12-02,28.0,E,28.5,20.1,19.0,46.0,No,27.5,SalmonGums,54.0,19.0,No,12.9,0.0
E,ESE,2011-12-03,30.0,E,29.9,20.7,22.0,45.0,No,28.2,SalmonGums,48.0,17.0,No,12.2,0.0
NE,N,2011-12-04,24.0,N,33.5,23.3,14.0,39.0,No,32.0,SalmonGums,57.0,13.0,No,13.3,0.0
NE,E,2011-12-05,11.0,SE,29.7,21.0,24.0,58.0,No,28.4,SalmonGums,50.0,19.0,No,17.1,0.0
E,SE,2011-12-06,28.0,SE,23.0,21.7,68.0,49.0,No,20.6,SalmonGums,48.0,28.0,Yes,16.7,0.0
E,ENE,2011-12-07,31.0,NE,23.6,16.7,61.0,79.0,Yes,21.1,SalmonGums,57.0,26.0,Yes,14.5,8.8
