wind dir 9 am,rainfall,wind gust speed,max temp f,humidity 9 am,wind speed 3 pm,rain today,temp 3 pm f,wind speed 9 am,temp 9 am f,location,humidity 3 pm,date,min temp f,wind gust dir,wind dir 3 pm,rain tomorrow
SW,8.2,,44.239999999999995,46.0,17.0,Yes,42.980000000000004,22.0,29.84,MountGinini,24.0,2010-09-11,25.880000000000003,,W,
,,44.0,46.76,,17.0,,45.5,,,MountGinini,41.0,2010-09-12,29.66,W,NW,Yes
WSW,1.8,,46.22,77.0,17.0,Yes,45.32,30.0,35.06,MountGinini,44.0,2010-09-13,32.9,,W,
,,,40.64,,11.0,,37.94,,,MountGinini,81.0,2010-09-14,32.54,,NE,
,,67.0,44.42,,28.0,,40.46,,,MountGinini,43.0,2010-09-15,32.9,W,WSW,No
W,0.4,74.0,39.02,80.0,35.0,No,33.62,30.0,29.84,MountGinini,52.0,2010-09-16,27.86,W,WSW,No
S,0.0,59.0,47.84,23.0,,No,45.86,24.0,37.4,MountGinini,43.0,2010-09-17,22.64,SW,,No
WSW,0.0,,50.0,57.0,20.0,No,47.3,20.0,35.6,MountGinini,47.0,2010-09-18,29.3,,SW,No
NNW,0.0,30.0,52.34,60.0,17.0,No,50.18,6.0,41.54,MountGinini,41.0,2010-09-19,30.2,WNW,WNW,No
SW,0.0,28.0,56.48,50.0,11.0,No,54.68,7.0,44.06,MountGinini,57.0,2010-09-20,34.52,SE,WNW,No
SW,0.0,35.0,63.32,40.0,6.0,No,61.88,22.0,51.620000000000005,MountGinini,38.0,2010-09-21,42.260000000000005,ENE,W,No
W,0.0,39.0,53.78,98.0,13.0,No,52.879999999999995,20.0,39.02,MountGinini,51.0,2010-09-22,34.88,WNW,W,No
NNW,0.0,26.0,54.5,77.0,11.0,No,52.879999999999995,4.0,42.260000000000005,MountGinini,56.0,2010-09-23,32.0,NW,WNW,No
SW,0.0,37.0,60.26,30.0,17.0,No,57.379999999999995,19.0,48.56,MountGinini,34.0,2010-09-24,37.58,WSW,WSW,No
W,0.0,50.0,50.72,67.0,26.0,No,45.32,24.0,38.660000000000004,MountGinini,69.0,2010-09-25,35.06,WNW,W,No
WNW,0.0,50.0,55.04,71.0,22.0,No,52.34,19.0,45.86,MountGinini,31.0,2010-09-26,36.5,WSW,W,No
W,0.0,74.0,50.0,67.0,28.0,No,45.5,30.0,44.96,MountGinini,55.0,2010-09-27,38.3,WNW,WNW,No
WNW,0.0,76.0,47.84,37.0,30.0,No,42.620000000000005,26.0,40.64,MountGinini,51.0,2010-09-28,34.16,WNW,W,No
SSW,0.0,,42.8,56.0,20.0,No,39.56,19.0,31.82,MountGinini,41.0,2010-09-29,22.64,,SW,
,,28.0,48.56,,13.0,,46.94,,,MountGinini,43.0,2010-09-30,22.46,SSW,WNW,No
NNW,0.0,33.0,46.4,57.0,7.0,No,45.32,13.0,37.4,MountGinini,67.0,2010-10-01,29.12,NNW,N,No
ENE,0.0,61.0,47.3,98.0,17.0,No,40.28,20.0,39.02,MountGinini,98.0,2010-10-02,33.08,E,ENE,Yes
ENE,11.6,56.0,44.78,98.0,26.0,Yes,42.8,22.0,39.38,MountGinini,98.0,2010-10-03,37.22,ENE,ENE,Yes
ENE,9.0,54.0,49.64,98.0,13.0,Yes,44.239999999999995,28.0,41.9,MountGinini,98.0,2010-10-04,38.839999999999996,E,NE,Yes
SSW,2.0,33.0,56.84,53.0,6.0,Yes,53.06,19.0,49.64,MountGinini,68.0,2010-10-05,41.0,W,NNE,No
NE,0.2,46.0,60.8,66.0,15.0,No,57.379999999999995,9.0,50.0,MountGinini,64.0,2010-10-06,41.9,WNW,N,Yes
WSW,6.0,54.0,53.06,48.0,22.0,Yes,50.18,20.0,41.9,MountGinini,42.0,2010-10-07,38.12,W,WSW,No
E,0.2,39.0,54.14,59.0,11.0,No,48.56,4.0,41.9,MountGinini,64.0,2010-10-08,33.8,S,N,No
N,0.0,30.0,54.32,98.0,13.0,No,54.14,9.0,38.12,MountGinini,62.0,2010-10-09,35.06,WNW,W,No
ENE,0.0,72.0,48.92,98.0,26.0,No,46.4,26.0,38.12,MountGinini,68.0,2010-10-10,37.58,E,ENE,No
ENE,0.0,61.0,47.3,98.0,17.0,No,43.7,35.0,38.660000000000004,MountGinini,98.0,2010-10-11,33.8,ENE,NE,No
WNW,0.6,35.0,53.6,98.0,11.0,No,48.56,15.0,47.120000000000005,MountGinini,97.0,2010-10-12,38.660000000000004,NNW,WNW,Yes
WSW,34.4,59.0,48.2,98.0,28.0,Yes,47.66,13.0,44.78,MountGinini,98.0,2010-10-13,43.879999999999995,NW,NW,Yes
WSW,48.0,44.0,55.76,98.0,20.0,Yes,52.7,17.0,43.34,MountGinini,57.0,2010-10-14,41.18,N,WNW,Yes
N,25.2,98.0,51.26,98.0,48.0,Yes,51.08,39.0,50.54,MountGinini,98.0,2010-10-15,41.36,N,NW,Yes
,73.4,33.0,29.84,93.0,0.0,Yes,26.78,0.0,23.36,MountGinini,95.0,2010-10-16,22.1,NW,,Yes
,1.8,44.0,40.82,97.0,26.0,Yes,37.76,0.0,29.84,MountGinini,87.0,2010-10-17,23.18,SW,WSW,No
SW,0.0,59.0,46.22,97.0,24.0,No,41.9,28.0,35.96,MountGinini,56.0,2010-10-18,29.66,SW,WSW,No
NW,0.0,31.0,54.5,64.0,7.0,No,48.2,13.0,39.38,MountGinini,60.0,2010-10-19,31.82,SSW,NNW,No
WSW,0.0,28.0,59.18,42.0,11.0,No,57.2,17.0,45.86,MountGinini,46.0,2010-10-20,37.04,W,W,No
WNW,0.0,30.0,60.08,60.0,13.0,No,58.1,15.0,48.02,MountGinini,48.0,2010-10-21,40.64,NW,NW,No
W,0.0,41.0,60.62,85.0,19.0,No,58.64,20.0,48.02,MountGinini,51.0,2010-10-22,41.36,W,NW,Yes
WNW,1.2,52.0,48.74,99.0,26.0,Yes,43.519999999999996,30.0,45.5,MountGinini,98.0,2010-10-23,45.14,NNW,WSW,Yes
E,2.0,24.0,46.22,98.0,9.0,Yes,42.8,13.0,37.94,MountGinini,98.0,2010-10-24,36.5,ESE,ENE,Yes
E,2.8,24.0,51.620000000000005,69.0,2.0,Yes,49.64,11.0,42.44,MountGinini,63.0,2010-10-25,33.44,E,NE,Yes
W,2.8,43.0,55.22,92.0,17.0,Yes,51.44,22.0,44.42,MountGinini,61.0,2010-10-26,38.12,W,WNW,No
WNW,0.0,39.0,55.76,63.0,11.0,No,54.86,15.0,47.3,MountGinini,52.0,2010-10-27,39.56,NW,WNW,Yes
ENE,5.0,31.0,50.9,98.0,13.0,Yes,48.02,15.0,39.38,MountGinini,74.0,2010-10-28,36.5,ENE,NE,No
,0.0,35.0,60.08,99.0,11.0,No,58.28,0.0,46.58,MountGinini,59.0,2010-10-29,36.86,NNW,NW,No
NNW,0.2,70.0,56.66,98.0,22.0,No,50.54,22.0,51.08,MountGinini,99.0,2010-10-30,46.04,N,NW,Yes
NW,48.8,78.0,52.16,99.0,31.0,Yes,50.36,30.0,45.5,MountGinini,75.0,2010-10-31,43.7,N,NW,No
N,0.0,35.0,53.24,95.0,13.0,No,46.22,11.0,40.82,MountGinini,81.0,2010-11-01,35.96,NNE,NNE,Yes
SSW,21.2,44.0,47.84,98.0,19.0,Yes,42.44,15.0,35.78,MountGinini,79.0,2010-11-02,31.82,SW,SW,No
W,0.0,50.0,50.54,82.0,17.0,No,48.56,26.0,38.660000000000004,MountGinini,67.0,2010-11-03,35.24,SW,WNW,No
E,0.8,44.0,40.64,98.0,11.0,No,36.68,15.0,31.82,MountGinini,98.0,2010-11-04,31.82,E,ENE,No
E,0.6,52.0,41.18,98.0,17.0,No,39.92,22.0,32.0,MountGinini,94.0,2010-11-05,30.56,ENE,E,No
ENE,1.0,46.0,47.84,98.0,15.0,No,46.22,22.0,35.06,MountGinini,73.0,2010-11-06,31.28,NE,NE,Yes
NNW,1.8,35.0,57.2,98.0,17.0,Yes,49.28,13.0,41.0,MountGinini,77.0,2010-11-07,34.7,NNE,NW,Yes
NNW,2.4,61.0,57.56,99.0,15.0,Yes,49.82,26.0,47.3,MountGinini,99.0,2010-11-08,40.82,SW,WNW,Yes
NW,18.4,31.0,65.66,93.0,19.0,Yes,59.0,19.0,50.54,MountGinini,84.0,2010-11-09,43.519999999999996,NNW,NW,No
WNW,0.4,41.0,58.28,99.0,17.0,No,55.4,19.0,50.54,MountGinini,98.0,2010-11-10,48.2,NW,WNW,Yes
WNW,17.8,48.0,62.959999999999994,85.0,17.0,Yes,58.459999999999994,15.0,54.32,MountGinini,68.0,2010-11-11,46.22,NNW,WNW,No
WNW,0.0,37.0,68.9,80.0,13.0,No,64.4,20.0,57.92,MountGinini,58.0,2010-11-12,50.9,NW,NW,No
NW,0.0,63.0,67.82,91.0,19.0,No,62.6,24.0,58.64,MountGinini,93.0,2010-11-13,53.78,NNW,NNW,Yes
NNW,15.2,65.0,57.02,99.0,31.0,Yes,56.48,33.0,54.86,MountGinini,99.0,2010-11-14,54.5,NNW,NW,Yes
W,48.8,35.0,51.26,99.0,17.0,Yes,49.82,17.0,50.18,MountGinini,99.0,2010-11-15,49.1,W,WNW,No
WSW,1.0,44.0,51.620000000000005,75.0,26.0,No,48.379999999999995,15.0,43.16,MountGinini,56.0,2010-11-16,37.04,W,WSW,No
W,0.0,31.0,60.08,62.0,9.0,No,58.459999999999994,9.0,44.96,MountGinini,47.0,2010-11-17,36.5,SW,WSW,No
SW,0.0,39.0,60.8,64.0,20.0,No,59.0,20.0,46.22,MountGinini,46.0,2010-11-18,36.86,SW,W,No
ENE,0.0,37.0,55.58,99.0,13.0,No,50.54,7.0,43.16,MountGinini,84.0,2010-11-19,39.92,WNW,NE,No
SSW,0.8,28.0,65.3,68.0,9.0,No,64.04,9.0,51.26,MountGinini,57.0,2010-11-20,40.46,N,NNW,No
W,0.0,31.0,65.48,36.0,9.0,No,57.74,7.0,55.94,MountGinini,48.0,2010-11-21,45.14,NE,NNE,No
,0.0,37.0,64.75999999999999,35.0,20.0,No,62.6,0.0,59.18,MountGinini,43.0,2010-11-22,45.68,NE,ENE,No
NW,0.0,28.0,64.75999999999999,68.0,11.0,No,61.34,11.0,52.879999999999995,MountGinini,55.0,2010-11-23,43.34,NW,NNW,No
WNW,0.0,35.0,66.92,68.0,11.0,No,66.56,11.0,55.94,MountGinini,51.0,2010-11-24,46.94,W,WNW,No
NW,0.0,35.0,65.48,63.0,17.0,No,61.34,17.0,58.459999999999994,MountGinini,64.0,2010-11-25,49.46,NW,W,No
NNW,0.0,33.0,63.32,70.0,15.0,No,59.0,19.0,60.440000000000005,MountGinini,67.0,2010-11-26,51.620000000000005,NNW,WNW,No
NNW,0.0,54.0,62.959999999999994,75.0,19.0,No,61.16,15.0,58.64,MountGinini,61.0,2010-11-27,48.74,NNW,N,Yes
NNW,17.6,74.0,51.44,99.0,15.0,Yes,50.54,39.0,50.36,MountGinini,99.0,2010-11-28,49.64,WNW,NNW,Yes
E,47.4,61.0,44.42,99.0,30.0,Yes,42.620000000000005,30.0,42.260000000000005,MountGinini,99.0,2010-11-29,41.36,ESE,E,Yes
E,14.8,70.0,48.92,99.0,22.0,Yes,48.2,28.0,44.06,MountGinini,99.0,2010-11-30,41.18,ENE,E,Yes
ENE,37.0,69.0,50.18,99.0,22.0,Yes,49.28,44.0,44.6,MountGinini,99.0,2010-12-01,43.879999999999995,ENE,ENE,Yes
NE,31.4,56.0,56.66,99.0,13.0,Yes,52.16,20.0,49.46,MountGinini,99.0,2010-12-02,43.879999999999995,NE,ENE,Yes
N,40.6,37.0,60.8,85.0,13.0,Yes,56.48,11.0,52.52,MountGinini,73.0,2010-12-03,45.86,NNE,ENE,Yes
SW,1.8,39.0,62.24,94.0,17.0,Yes,55.4,15.0,53.24,MountGinini,82.0,2010-12-04,48.56,SE,S,Yes
ESE,3.8,50.0,65.66,62.0,19.0,Yes,63.5,15.0,56.120000000000005,MountGinini,51.0,2010-12-05,48.2,ENE,E,No
ENE,0.4,56.0,61.34,99.0,17.0,No,59.540000000000006,24.0,50.9,MountGinini,78.0,2010-12-06,48.2,ENE,ENE,Yes
NE,4.6,54.0,60.8,99.0,19.0,Yes,57.56,15.0,50.0,MountGinini,82.0,2010-12-07,46.22,NE,NE,Yes
N,3.6,76.0,58.82,99.0,33.0,Yes,55.58,28.0,54.32,MountGinini,99.0,2010-12-08,49.46,NNW,NW,Yes
WNW,80.8,67.0,59.72,98.0,24.0,Yes,56.84,22.0,56.66,MountGinini,98.0,2010-12-09,53.6,NNW,WNW,Yes
WNW,2.2,63.0,55.04,98.0,31.0,Yes,52.34,24.0,46.76,MountGinini,48.0,2010-12-10,45.68,W,W,No
W,0.0,56.0,55.4,67.0,28.0,No,54.5,24.0,44.06,MountGinini,53.0,2010-12-11,36.5,W,WNW,No
W,0.2,70.0,53.96,73.0,30.0,No,52.52,41.0,46.04,MountGinini,52.0,2010-12-12,41.72,W,W,No
SW,0.0,33.0,63.68,57.0,7.0,No,62.6,6.0,46.58,MountGinini,52.0,2010-12-13,37.4,WSW,WNW,No
NE,0.0,31.0,62.059999999999995,99.0,17.0,No,58.28,17.0,46.4,MountGinini,63.0,2010-12-14,44.42,NNE,NNE,No
NNW,0.0,50.0,68.0,98.0,20.0,No,66.02,19.0,51.620000000000005,MountGinini,45.0,2010-12-15,46.22,WNW,WNW,Yes
WNW,2.4,54.0,62.059999999999995,99.0,24.0,Yes,60.440000000000005,22.0,47.3,MountGinini,55.0,2010-12-16,46.94,W,W,No
WSW,0.0,63.0,57.56,72.0,28.0,No,53.42,17.0,43.16,MountGinini,53.0,2010-12-17,39.2,WNW,W,No
W,1.0,87.0,43.34,98.0,44.0,No,38.839999999999996,22.0,40.82,MountGinini,98.0,2010-12-18,40.1,WSW,WSW,Yes
NNW,6.6,61.0,48.92,93.0,20.0,Yes,36.32,22.0,42.620000000000005,MountGinini,98.0,2010-12-19,35.78,WNW,NW,Yes
,21.0,69.0,41.36,98.0,31.0,Yes,37.4,0.0,31.28,MountGinini,99.0,2010-12-20,29.66,W,WSW,Yes
WSW,1.8,70.0,47.120000000000005,98.0,17.0,Yes,43.519999999999996,22.0,36.32,MountGinini,73.0,2010-12-21,31.28,WSW,W,No
NE,0.0,28.0,60.62,99.0,13.0,No,54.5,11.0,42.44,MountGinini,65.0,2010-12-22,35.78,NNE,NNE,No
WSW,0.0,48.0,68.0,57.0,9.0,No,67.1,24.0,54.86,MountGinini,40.0,2010-12-23,42.44,W,W,No
,0.2,28.0,66.74000000000001,99.0,13.0,No,64.94,0.0,49.64,MountGinini,57.0,2010-12-24,43.34,ESE,NW,No
WNW,0.2,39.0,67.64,73.0,19.0,No,65.84,15.0,56.84,MountGinini,61.0,2010-12-25,49.64,NNW,WNW,Yes
WNW,2.2,48.0,67.46,99.0,22.0,Yes,65.84,19.0,53.42,MountGinini,61.0,2010-12-26,50.72,WNW,WNW,No
WNW,0.6,56.0,59.18,98.0,24.0,No,56.3,13.0,48.74,MountGinini,45.0,2010-12-27,42.44,SW,WSW,No
WNW,0.0,31.0,58.459999999999994,63.0,11.0,No,56.84,6.0,48.02,MountGinini,63.0,2010-12-28,33.98,N,N,No
WNW,0.2,44.0,66.92,99.0,22.0,No,64.4,26.0,49.28,MountGinini,60.0,2010-12-29,43.7,NNW,W,No
WSW,0.0,43.0,72.68,45.0,19.0,No,72.32,13.0,60.440000000000005,MountGinini,38.0,2010-12-30,49.1,WSW,WSW,No
WSW,0.0,33.0,78.44,39.0,13.0,No,77.36,15.0,64.58,MountGinini,32.0,2010-12-31,55.22,WSW,WSW,No
NW,0.0,48.0,78.44,51.0,19.0,No,76.64,22.0,66.92,MountGinini,50.0,2011-01-01,62.42,W,W,Yes
W,4.2,48.0,72.86,54.0,24.0,Yes,68.36,22.0,63.32,MountGinini,51.0,2011-01-02,54.68,WSW,W,No
NW,0.0,33.0,65.48,56.0,15.0,No,55.76,17.0,59.540000000000006,MountGinini,89.0,2011-01-03,46.22,NW,N,No
ENE,0.8,30.0,59.0,99.0,9.0,No,56.66,13.0,44.06,MountGinini,84.0,2011-01-04,42.08,ENE,N,No
WNW,0.0,43.0,67.28,80.0,11.0,No,65.12,11.0,52.52,MountGinini,58.0,2011-01-05,43.7,E,NW,No
E,0.2,35.0,61.7,99.0,11.0,No,59.72,13.0,50.54,MountGinini,73.0,2011-01-06,44.78,ESE,NE,No
E,0.0,33.0,66.2,61.0,15.0,No,62.42,15.0,57.02,MountGinini,65.0,2011-01-07,48.02,ENE,ENE,Yes
NNE,1.2,39.0,66.74000000000001,99.0,6.0,Yes,63.32,15.0,52.52,MountGinini,71.0,2011-01-08,51.08,NE,N,No
E,0.2,59.0,62.059999999999995,86.0,19.0,No,58.28,19.0,59.9,MountGinini,100.0,2011-01-09,52.16,E,ENE,Yes
ENE,25.2,67.0,61.16,100.0,19.0,Yes,58.64,41.0,54.32,MountGinini,100.0,2011-01-10,51.8,E,ENE,Yes
ENE,15.6,59.0,56.120000000000005,99.0,24.0,Yes,55.22,28.0,53.24,MountGinini,99.0,2011-01-11,49.1,ENE,ENE,Yes
NE,35.2,56.0,61.519999999999996,99.0,17.0,Yes,60.08,17.0,55.76,MountGinini,99.0,2011-01-12,53.06,NE,NNE,Yes
ENE,18.0,61.0,59.0,85.0,,Yes,,13.0,56.66,MountGinini,,2011-01-13,55.4,ENE,,Yes
N,6.8,54.0,58.64,83.0,24.0,Yes,56.3,24.0,52.879999999999995,MountGinini,84.0,2011-01-14,51.98,NNW,N,Yes
W,14.8,43.0,73.75999999999999,91.0,6.0,Yes,71.6,17.0,58.28,MountGinini,13.0,2011-01-15,52.879999999999995,W,S,No
SW,0.0,28.0,75.38,42.0,11.0,No,74.3,11.0,62.78,MountGinini,30.0,2011-01-16,54.5,W,NW,No
W,0.2,54.0,69.08,49.0,28.0,No,67.46,22.0,60.440000000000005,MountGinini,20.0,2011-01-17,57.56,WNW,W,No
NNE,0.0,30.0,64.94,61.0,17.0,No,62.059999999999995,4.0,50.36,MountGinini,49.0,2011-01-18,43.34,NW,NW,No
NNW,0.2,28.0,67.82,98.0,11.0,No,63.32,9.0,50.18,MountGinini,37.0,2011-01-19,46.22,NNE,NW,No
NE,0.2,31.0,64.4,98.0,11.0,No,60.08,17.0,49.82,MountGinini,55.0,2011-01-20,48.2,NE,NNE,No
NNW,0.0,33.0,70.7,45.0,15.0,No,69.8,11.0,60.26,MountGinini,45.0,2011-01-21,49.1,SW,W,No
,1.0,48.0,70.7,41.0,15.0,No,56.3,0.0,65.3,MountGinini,65.0,2011-01-22,51.44,NE,ESE,Yes
W,28.0,41.0,69.8,66.0,19.0,Yes,68.72,19.0,57.74,MountGinini,57.0,2011-01-23,48.379999999999995,NW,WNW,No
NW,0.0,50.0,67.82,99.0,20.0,No,66.56,28.0,55.22,MountGinini,61.0,2011-01-24,53.6,W,WNW,No
W,0.0,37.0,72.32,88.0,17.0,No,70.88,20.0,52.34,MountGinini,55.0,2011-01-25,49.1,NW,W,No
NW,0.0,54.0,79.16,53.0,24.0,No,77.54,28.0,67.28,MountGinini,45.0,2011-01-26,52.34,NW,WNW,No
W,0.0,41.0,75.38,34.0,22.0,No,74.12,17.0,62.059999999999995,MountGinini,24.0,2011-01-27,55.4,W,WSW,No
ESE,0.0,28.0,72.14,74.0,9.0,No,69.98,6.0,57.379999999999995,MountGinini,52.0,2011-01-28,51.08,S,WNW,No
N,0.0,28.0,70.34,99.0,13.0,No,68.54,9.0,50.54,MountGinini,49.0,2011-01-29,44.78,WNW,NW,No
W,0.0,41.0,75.38,62.0,17.0,No,73.75999999999999,24.0,59.18,MountGinini,51.0,2011-01-30,49.1,NW,W,No
WSW,0.0,28.0,82.4,46.0,13.0,No,80.6,15.0,69.8,MountGinini,40.0,2011-01-31,59.18,SW,NW,No
WNW,0.0,61.0,78.98,51.0,30.0,No,77.36,19.0,67.1,MountGinini,38.0,2011-02-01,62.78,NW,WNW,No
WNW,0.2,52.0,73.75999999999999,98.0,17.0,No,70.88,22.0,61.16,MountGinini,90.0,2011-02-02,59.9,NW,WNW,Yes
SW,102.2,52.0,75.38,100.0,13.0,Yes,69.8,24.0,61.7,MountGinini,78.0,2011-02-03,58.459999999999994,NW,W,No
NW,0.0,52.0,73.58,100.0,17.0,No,69.62,15.0,65.66,MountGinini,78.0,2011-02-04,61.519999999999996,WSW,NW,Yes
WNW,8.6,74.0,68.36,100.0,28.0,Yes,64.94,24.0,60.440000000000005,MountGinini,99.0,2011-02-05,58.82,NW,NW,Yes
WNW,11.2,72.0,53.42,99.0,26.0,Yes,47.48,33.0,53.42,MountGinini,49.0,2011-02-06,52.16,WSW,WSW,No
N,0.6,31.0,65.3,76.0,7.0,No,62.6,4.0,45.68,MountGinini,71.0,2011-02-07,33.62,ESE,W,No
SW,0.0,26.0,60.8,95.0,4.0,No,57.74,17.0,52.34,MountGinini,83.0,2011-02-08,44.6,SW,N,No
E,0.0,35.0,60.440000000000005,99.0,13.0,No,58.459999999999994,20.0,46.4,MountGinini,71.0,2011-02-09,41.18,E,ENE,No
NW,0.0,37.0,67.28,74.0,15.0,No,63.86,15.0,56.3,MountGinini,69.0,2011-02-10,46.22,NW,NW,No
NW,0.0,63.0,58.28,97.0,30.0,No,55.94,31.0,56.120000000000005,MountGinini,99.0,2011-02-11,54.86,N,WNW,Yes
,43.0,33.0,64.04,99.0,13.0,Yes,59.18,0.0,55.76,MountGinini,98.0,2011-02-12,52.34,W,NNE,No
,0.0,26.0,67.28,97.0,6.0,No,63.68,0.0,54.14,MountGinini,66.0,2011-02-13,50.36,E,NNE,No
ESE,0.0,35.0,59.540000000000006,61.0,19.0,No,57.56,13.0,47.66,MountGinini,57.0,2011-02-14,39.2,E,ENE,No
ENE,0.0,44.0,57.379999999999995,98.0,13.0,No,53.96,24.0,45.68,MountGinini,79.0,2011-02-15,42.08,ENE,NE,No
ENE,0.6,43.0,55.58,98.0,,No,,28.0,50.72,MountGinini,,2011-02-16,44.239999999999995,NE,,Yes
NW,33.2,,66.2,98.0,19.0,Yes,62.959999999999994,19.0,55.4,MountGinini,71.0,2011-02-17,50.0,,WNW,
,,35.0,65.66,,2.0,,64.4,,,MountGinini,56.0,2011-02-18,51.98,NNE,N,Yes
NNW,3.4,91.0,60.26,98.0,37.0,Yes,59.0,44.0,57.56,MountGinini,98.0,2011-02-19,53.42,NW,WNW,Yes
W,33.2,57.0,61.519999999999996,78.0,24.0,Yes,60.08,30.0,50.72,MountGinini,,2011-02-20,48.2,W,W,No
SW,0.0,37.0,61.7,11.0,11.0,No,60.8,17.0,47.120000000000005,MountGinini,6.0,2011-02-21,40.28,W,WSW,No
ESE,0.0,35.0,59.9,33.0,7.0,No,57.2,2.0,44.239999999999995,MountGinini,,2011-02-22,35.06,E,ESE,No
E,0.0,48.0,65.12,,2.0,No,62.24,9.0,53.06,MountGinini,59.0,2011-02-23,42.260000000000005,NE,SE,No
WSW,0.6,41.0,66.2,92.0,17.0,No,64.75999999999999,17.0,51.44,MountGinini,58.0,2011-02-24,48.379999999999995,WSW,SSW,No
S,0.0,26.0,66.92,73.0,7.0,No,66.02,11.0,51.44,MountGinini,49.0,2011-02-25,48.56,SW,WSW,No
W,0.0,28.0,66.2,63.0,7.0,No,62.059999999999995,6.0,56.120000000000005,MountGinini,61.0,2011-02-26,48.379999999999995,WNW,WNW,No
WSW,0.0,67.0,56.48,100.0,28.0,No,,17.0,52.16,MountGinini,,2011-02-27,50.9,SW,SW,Yes
WNW,4.4,41.0,65.12,90.0,17.0,Yes,59.36,11.0,55.04,MountGinini,93.0,2011-02-28,50.18,W,WNW,No
WSW,0.6,76.0,58.459999999999994,92.0,22.0,No,56.84,28.0,52.16,MountGinini,38.0,2011-03-01,51.44,WSW,WSW,No
NNE,0.0,41.0,59.18,,15.0,No,55.94,19.0,,MountGinini,71.0,2011-03-02,39.56,NNE,NW,No
WSW,0.0,46.0,59.9,56.0,15.0,No,59.36,17.0,45.5,MountGinini,49.0,2011-03-03,40.82,SW,WSW,No
SW,0.0,43.0,60.62,39.0,17.0,No,58.28,19.0,44.6,MountGinini,37.0,2011-03-04,38.48,WSW,WSW,No
ENE,0.0,,51.8,100.0,13.0,No,49.82,15.0,40.1,MountGinini,74.0,2011-03-05,39.02,,E,
,,46.0,53.78,,11.0,,52.16,,,MountGinini,68.0,2011-03-06,36.5,E,E,No
WNW,0.0,26.0,63.68,43.0,9.0,No,62.42,11.0,48.2,MountGinini,57.0,2011-03-07,34.88,ENE,WNW,No
W,0.0,43.0,62.78,86.0,11.0,No,58.1,20.0,49.1,MountGinini,68.0,2011-03-08,45.32,W,W,No
W,0.0,44.0,57.02,88.0,7.0,No,51.8,17.0,51.98,MountGinini,100.0,2011-03-09,48.92,W,NW,Yes
WNW,12.2,31.0,53.96,,9.0,Yes,,9.0,,MountGinini,,2011-03-10,50.0,NNW,NW,Yes
ESE,6.6,33.0,57.2,,7.0,Yes,,13.0,,MountGinini,,2011-03-11,49.82,ENE,NE,Yes
NNW,2.0,31.0,63.14,,13.0,Yes,60.440000000000005,9.0,,MountGinini,95.0,2011-03-12,49.82,ENE,WNW,No
WNW,0.4,35.0,67.46,,15.0,No,66.92,9.0,,MountGinini,77.0,2011-03-13,53.24,WNW,WNW,Yes
WSW,3.6,28.0,63.86,,4.0,Yes,61.88,17.0,,MountGinini,69.0,2011-03-14,53.06,SW,SSW,No
NNW,0.2,33.0,63.86,,11.0,No,61.7,13.0,,MountGinini,85.0,2011-03-15,46.76,ENE,W,No
W,0.0,31.0,62.78,,17.0,No,55.04,11.0,,MountGinini,92.0,2011-03-16,50.36,W,SW,No
NW,0.6,26.0,62.6,,11.0,No,61.88,13.0,,MountGinini,59.0,2011-03-17,47.84,NW,NW,No
NE,0.0,37.0,58.28,,9.0,No,56.3,9.0,,MountGinini,78.0,2011-03-18,46.58,ENE,NNE,No
ENE,0.4,46.0,58.64,,17.0,No,54.68,20.0,,MountGinini,82.0,2011-03-19,45.32,ENE,ENE,No
ENE,0.0,57.0,53.42,,28.0,No,,28.0,,MountGinini,,2011-03-20,46.22,ENE,ENE,Yes
ENE,12.2,56.0,54.14,,22.0,Yes,,24.0,,MountGinini,,2011-03-21,46.4,ENE,ENE,Yes
WNW,35.8,33.0,58.459999999999994,,11.0,Yes,,6.0,,MountGinini,,2011-03-22,51.08,W,W,Yes
W,8.4,48.0,50.72,,17.0,Yes,,11.0,,MountGinini,,2011-03-23,47.120000000000005,W,W,Yes
W,2.8,57.0,46.04,,20.0,Yes,,22.0,,MountGinini,,2011-03-24,39.56,WSW,W,Yes
SW,6.8,48.0,53.42,,6.0,Yes,50.9,17.0,,MountGinini,77.0,2011-03-25,40.28,WSW,SW,No
SE,0.4,35.0,54.86,,2.0,No,49.1,9.0,,MountGinini,86.0,2011-03-26,37.58,SSE,NE,No
ESE,0.0,31.0,54.86,,4.0,No,53.06,11.0,,MountGinini,73.0,2011-03-27,35.96,ESE,ESE,No
NE,0.0,31.0,56.66,30.0,9.0,No,56.3,4.0,54.86,MountGinini,74.0,2011-03-28,36.68,NE,ENE,No
NNW,0.0,33.0,58.64,94.0,11.0,No,54.14,13.0,47.66,MountGinini,71.0,2011-03-29,42.980000000000004,NNE,NW,No
W,0.4,67.0,58.459999999999994,100.0,19.0,No,57.2,13.0,47.84,MountGinini,77.0,2011-03-30,45.68,WSW,WNW,Yes
NNE,2.2,24.0,55.76,,6.0,Yes,51.08,6.0,,MountGinini,78.0,2011-03-31,42.44,WNW,N,No
WSW,0.0,22.0,52.7,78.0,7.0,No,51.26,6.0,46.04,MountGinini,70.0,2011-05-01,38.839999999999996,SW,WSW,No
WSW,0.0,31.0,45.86,,6.0,No,43.7,4.0,,MountGinini,88.0,2011-05-02,41.72,S,W,Yes
