WindDir9am,Humidity3pm,RainToday,Location,RainTomorrow,Humidity9am,Cloud3pm,WindGustDir,Temp9amC,Date,Temp3pmC,MinTempC,Pressure9am,WindSpeed3pm,Evaporation,WindGustSpeed,Rainfall,Pressure3pm,Sunshine,WindSpeed9am,WindDir3pm,MaxTempC,Cloud9am
W,64.0,Yes,Sydney,Yes,77.0,4.0,,13.5,2009-10-06,18.0,11.5,1020.6,17.0,2.6,,6.6,1016.7,6.4,22.0,E,19.6,6.0
W,29.0,Yes,Sydney,Yes,51.0,5.0,,14.1,2009-10-07,18.5,10.6,1014.2,22.0,3.6,,7.0,1011.3,8.8,20.0,WSW,19.3,1.0
SW,48.0,Yes,Sydney,No,49.0,5.0,,13.8,2009-10-08,16.9,10.5,1018.0,39.0,6.8,,2.2,1019.9,7.4,26.0,SSW,17.5,6.0
WSW,76.0,No,Sydney,Yes,65.0,6.0,,13.5,2009-10-09,13.9,9.6,1025.4,17.0,5.2,,0.0,1026.0,4.7,15.0,S,17.1,5.0
W,59.0,Yes,Sydney,Yes,84.0,7.0,,12.0,2009-10-10,17.6,8.9,1029.7,19.0,3.4,,24.4,1027.3,6.7,15.0,S,18.6,4.0
W,57.0,Yes,Sydney,No,91.0,7.0,,13.1,2009-10-11,19.2,11.8,1025.2,11.0,3.4,,2.2,1019.8,6.7,15.0,NNE,19.3,7.0
E,63.0,No,Sydney,No,61.0,8.0,,17.8,2009-10-12,21.1,11.3,1011.8,6.0,4.8,,0.0,1006.4,4.7,4.0,E,22.6,2.0
W,21.0,No,Sydney,No,38.0,2.0,,20.1,2009-10-13,24.0,17.0,1002.0,35.0,5.0,,0.0,998.7,11.2,26.0,WNW,24.5,1.0
NW,34.0,No,Sydney,No,36.0,5.0,,19.7,2009-10-14,17.8,15.2,1000.7,30.0,11.2,,0.0,1000.7,8.9,20.0,WNW,22.1,1.0
WNW,28.0,No,Sydney,No,46.0,7.0,,18.8,2009-10-15,22.0,13.8,1008.4,24.0,7.6,,0.0,1006.2,10.0,11.0,WNW,23.0,6.0
W,19.0,No,Sydney,No,42.0,2.0,,15.1,2009-10-16,20.5,11.8,1012.0,26.0,7.4,,0.0,1011.8,12.1,33.0,W,21.2,1.0
WNW,43.0,No,Sydney,Yes,53.0,1.0,,16.8,2009-10-17,20.3,11.6,1020.8,20.0,8.0,,0.0,1020.6,12.2,15.0,SE,21.2,1.0
ENE,61.0,Yes,Sydney,No,80.0,3.0,,15.5,2009-10-18,18.5,13.8,1027.4,17.0,5.8,,7.0,1025.3,7.9,4.0,ESE,18.8,6.0
W,57.0,No,Sydney,No,71.0,1.0,,16.6,2009-10-19,20.4,12.4,1027.1,19.0,4.4,,1.0,1024.7,12.2,7.0,E,20.8,1.0
W,62.0,No,Sydney,No,71.0,0.0,,19.0,2009-10-20,22.0,14.3,1023.5,22.0,5.8,,0.0,1018.7,12.1,9.0,ENE,23.0,0.0
WNW,28.0,No,Sydney,No,44.0,3.0,,21.1,2009-10-21,29.7,15.6,1019.8,19.0,7.6,,0.0,1016.8,11.6,15.0,E,34.6,1.0
ESE,63.0,No,Sydney,No,67.0,7.0,,18.5,2009-10-22,20.0,17.9,1024.9,17.0,9.4,,0.0,1022.6,1.2,9.0,E,21.3,8.0
NNW,70.0,No,Sydney,No,66.0,1.0,,21.3,2009-10-23,21.6,17.5,1019.9,22.0,5.0,,0.0,1014.7,11.1,7.0,E,22.9,3.0
SSE,56.0,No,Sydney,No,63.0,1.0,,19.7,2009-10-24,20.9,16.8,1019.5,19.0,7.0,,0.0,1016.3,9.2,17.0,E,22.1,4.0
E,94.0,No,Sydney,Yes,72.0,8.0,,20.3,2009-10-25,16.5,17.9,1016.0,7.0,5.6,,0.0,1015.7,1.1,7.0,WNW,20.9,7.0
SE,60.0,Yes,Sydney,Yes,91.0,8.0,,14.7,2009-10-26,16.6,14.4,1023.7,26.0,,,73.2,1025.3,0.0,31.0,SE,17.0,8.0
ESE,56.0,Yes,Sydney,No,58.0,8.0,,17.0,2009-10-27,18.4,14.7,1029.5,13.0,3.8,,1.4,1027.7,0.0,22.0,E,18.8,8.0
W,68.0,No,Sydney,No,76.0,2.0,,18.8,2009-10-28,21.1,14.0,1025.8,20.0,3.6,,0.6,,6.3,13.0,E,22.8,6.0
S,66.0,No,Sydney,No,81.0,7.0,,18.5,2009-10-29,20.8,17.0,,13.0,5.0,,0.2,1023.8,6.0,7.0,ESE,22.0,7.0
E,60.0,No,Sydney,No,78.0,1.0,,20.5,2009-10-30,22.8,17.3,1023.2,22.0,4.0,,0.0,1020.6,9.8,11.0,ENE,23.4,5.0
ENE,65.0,No,Sydney,No,80.0,1.0,,20.0,2009-10-31,22.1,18.7,1025.2,30.0,7.4,,0.0,1023.4,10.3,17.0,E,22.8,6.0
NNE,58.0,No,Sydney,No,62.0,1.0,,21.7,2009-11-01,23.4,16.9,1024.5,26.0,8.0,,0.0,1019.9,10.1,19.0,NE,24.2,1.0
SSW,68.0,No,Sydney,No,82.0,7.0,,20.6,2009-11-02,24.5,18.8,1021.0,19.0,7.0,,0.0,1017.5,6.9,17.0,ESE,26.0,8.0
ESE,18.0,No,Sydney,No,73.0,6.0,,24.0,2009-11-03,36.3,18.9,1011.9,30.0,6.2,,0.0,1006.6,11.0,9.0,WNW,36.9,6.0
SE,76.0,No,Sydney,No,71.0,8.0,,19.7,2009-11-04,19.1,19.4,1017.9,17.0,13.2,,0.0,1015.5,0.0,11.0,E,19.9,8.0
SE,68.0,No,Sydney,Yes,75.0,7.0,,19.4,2009-11-05,19.1,16.9,1020.9,24.0,2.2,,0.0,1021.9,1.1,13.0,ESE,19.8,7.0
ESE,57.0,Yes,Sydney,Yes,66.0,7.0,,19.2,2009-11-06,20.8,16.7,1027.6,,3.0,,1.4,1027.1,0.8,24.0,,21.3,7.0
E,60.0,Yes,Sydney,No,69.0,6.0,,20.9,2009-11-07,22.5,17.2,1030.5,,4.2,,4.2,1030.0,6.2,20.0,,22.9,6.0
ESE,89.0,No,Sydney,No,75.0,8.0,,20.4,2009-11-08,19.9,19.1,1030.7,15.0,6.4,,0.0,1028.8,0.7,9.0,E,21.9,8.0
ENE,61.0,No,Sydney,No,77.0,1.0,,20.9,2009-11-09,22.8,19.1,1027.2,,2.6,,0.8,1024.0,11.0,19.0,,23.2,6.0
NNE,54.0,No,Sydney,No,61.0,0.0,,21.6,2009-11-10,23.2,15.9,1022.5,26.0,5.4,,0.0,1020.0,12.8,4.0,ENE,23.9,1.0
,64.0,No,Sydney,No,74.0,1.0,,21.0,2009-11-11,23.1,15.4,1022.6,19.0,10.2,,0.0,1021.3,12.4,,E,23.9,1.0
NNW,54.0,No,Sydney,Yes,70.0,6.0,,22.0,2009-11-12,26.0,16.6,1020.0,20.0,6.8,,0.0,1013.4,11.2,17.0,NNE,26.7,0.0
S,60.0,Yes,Sydney,No,66.0,5.0,,21.7,2009-11-13,22.5,19.5,1020.1,26.0,8.8,,4.0,1019.2,9.7,26.0,SSE,23.0,6.0
WSW,56.0,No,Sydney,No,66.0,2.0,,20.1,2009-11-14,23.4,15.0,1016.4,26.0,6.2,,0.2,1011.4,12.6,6.0,ENE,24.3,2.0
S,63.0,No,Sydney,No,74.0,5.0,,22.2,2009-11-15,23.8,18.5,1012.1,20.0,8.8,,0.0,1011.7,9.3,17.0,SE,25.1,4.0
W,62.0,No,Sydney,Yes,72.0,7.0,,22.6,2009-11-16,26.6,18.7,1008.8,19.0,6.4,,0.0,1002.0,10.3,6.0,E,27.6,5.0
SSE,59.0,Yes,Sydney,No,61.0,7.0,,21.1,2009-11-17,21.0,19.4,1008.7,28.0,8.8,,1.4,1009.7,5.0,20.0,SSE,23.6,7.0
E,51.0,No,Sydney,No,72.0,2.0,,19.8,2009-11-18,23.2,17.8,1013.2,26.0,7.2,,0.0,1010.3,6.6,4.0,ENE,23.8,7.0
E,63.0,No,Sydney,No,70.0,3.0,,23.6,2009-11-19,26.0,18.4,1010.3,13.0,8.0,,0.0,1009.2,10.6,9.0,ENE,26.5,3.0
NW,52.0,No,Sydney,No,71.0,8.0,,26.2,2009-11-20,29.0,21.0,1009.8,4.0,8.8,,0.0,1005.7,7.6,9.0,E,33.2,0.0
WSW,45.0,No,Sydney,No,56.0,7.0,,25.4,2009-11-21,30.2,22.0,1009.8,13.0,12.4,,0.0,1006.6,10.3,4.0,SE,31.5,7.0
ENE,19.0,No,Sydney,No,75.0,7.0,,24.0,2009-11-22,39.8,21.2,1005.0,26.0,7.4,,0.0,1001.5,6.0,11.0,N,40.4,6.0
SSE,68.0,No,Sydney,No,62.0,8.0,,21.4,2009-11-23,20.4,19.9,1021.0,30.0,13.4,,0.0,1022.6,0.3,28.0,SSE,22.8,7.0
SSE,74.0,No,Sydney,No,84.0,8.0,,18.7,2009-11-24,20.6,18.1,1026.2,13.0,5.2,,0.0,1024.3,2.1,13.0,SSE,21.5,8.0
W,74.0,No,Sydney,No,82.0,0.0,,21.3,2009-11-25,24.0,18.3,1022.3,30.0,3.0,,0.2,1018.4,12.2,4.0,E,25.0,2.0
NE,67.0,No,Sydney,No,80.0,1.0,,22.3,2009-11-26,24.8,21.3,1017.5,20.0,7.8,,0.0,1011.2,8.4,15.0,NE,26.6,7.0
WNW,41.0,No,Sydney,No,50.0,1.0,,26.1,2009-11-27,28.7,21.3,1009.7,24.0,7.8,,1.0,1007.1,12.4,17.0,E,33.2,1.0
E,51.0,No,Sydney,No,63.0,6.0,,26.0,2009-11-28,28.2,21.1,1006.4,22.0,12.8,,0.0,1000.2,9.5,7.0,NE,29.3,0.0
WNW,20.0,No,Sydney,No,28.0,5.0,,25.3,2009-11-29,29.3,19.5,1000.9,28.0,10.6,,0.0,998.7,12.4,13.0,W,30.5,0.0
SSW,61.0,No,Sydney,Yes,55.0,7.0,,21.2,2009-11-30,19.6,18.1,1008.1,33.0,11.8,,0.0,1009.2,3.9,19.0,S,23.1,4.0
S,59.0,Yes,Sydney,Yes,58.0,5.0,,17.9,2009-12-01,19.4,14.3,1016.1,24.0,6.4,,4.4,1017.4,9.6,22.0,S,21.2,2.0
SSW,44.0,Yes,Sydney,No,69.0,2.0,,17.3,2009-12-02,21.5,13.5,1022.0,22.0,6.4,,10.2,1021.7,11.2,17.0,SE,22.6,7.0
WNW,52.0,No,Sydney,No,58.0,1.0,,19.7,2009-12-03,22.0,15.2,1022.6,30.0,6.8,,0.0,1017.9,12.9,2.0,ENE,22.6,1.0
S,61.0,No,Sydney,No,69.0,5.0,,21.8,2009-12-04,22.5,17.3,1015.6,30.0,8.0,,0.0,1015.6,12.5,26.0,SSE,24.4,0.0
ENE,64.0,No,Sydney,No,59.0,6.0,,20.2,2009-12-05,22.0,18.2,1015.2,20.0,9.8,,0.0,1012.6,6.5,2.0,E,23.4,7.0
ENE,58.0,No,Sydney,No,61.0,1.0,,23.4,2009-12-06,23.8,18.7,1017.3,30.0,6.2,,0.0,1015.0,10.5,11.0,ENE,25.6,5.0
E,62.0,No,Sydney,No,67.0,2.0,,25.4,2009-12-07,27.3,21.7,1011.8,20.0,8.2,,0.0,1007.4,11.1,11.0,E,28.5,1.0
WNW,70.0,No,Sydney,No,68.0,3.0,,22.6,2009-12-08,24.1,20.1,1009.1,26.0,10.2,,0.0,1000.8,8.8,9.0,E,27.6,7.0
S,59.0,No,Sydney,No,76.0,5.0,,19.2,2009-12-09,22.0,18.4,1011.1,24.0,8.2,,0.6,1010.2,9.8,17.0,ESE,24.0,6.0
NNW,70.0,No,Sydney,No,75.0,8.0,,23.4,2009-12-10,24.8,19.2,1011.0,20.0,7.8,,0.0,1006.0,1.2,4.0,NE,28.8,8.0
WSW,30.0,No,Sydney,No,30.0,1.0,,24.1,2009-12-11,25.1,19.9,1012.7,24.0,7.0,,0.0,1013.1,12.9,11.0,ESE,28.8,2.0
NNW,55.0,No,Sydney,No,57.0,1.0,,22.7,2009-12-12,24.8,16.9,1018.7,28.0,11.4,,0.0,1014.0,13.0,7.0,ENE,27.1,1.0
S,61.0,No,Sydney,No,68.0,1.0,,23.5,2009-12-13,25.9,20.3,1016.3,31.0,8.4,,0.0,1015.2,11.1,15.0,SE,27.4,3.0
ESE,69.0,No,Sydney,No,72.0,8.0,,21.3,2009-12-14,21.1,20.0,1021.2,19.0,9.0,,0.0,1021.1,0.0,11.0,ESE,24.3,7.0
NE,62.0,No,Sydney,No,59.0,7.0,,24.3,2009-12-15,23.6,19.1,1022.5,22.0,4.8,,0.0,1020.3,4.3,15.0,ENE,24.5,6.0
NE,70.0,No,Sydney,No,74.0,1.0,,24.1,2009-12-16,26.0,21.7,1020.3,28.0,9.2,,0.0,1016.1,10.6,13.0,NE,26.5,4.0
E,51.0,No,Sydney,Yes,71.0,5.0,,26.0,2009-12-17,29.8,21.5,1013.7,37.0,10.4,,0.0,1008.5,11.6,13.0,NNE,32.0,0.0
NE,83.0,Yes,Sydney,Yes,87.0,8.0,,20.2,2009-12-18,18.5,20.2,1014.1,20.0,13.6,,5.4,1016.7,0.0,11.0,SSE,21.4,8.0
W,34.0,Yes,Sydney,No,70.0,0.0,,21.4,2009-12-19,27.4,16.9,1015.1,26.0,3.8,,8.0,1013.9,10.0,15.0,SSE,28.9,0.0
SE,59.0,No,Sydney,No,62.0,8.0,,20.9,2009-12-20,21.8,19.6,1021.2,11.0,10.2,,0.0,1019.8,0.0,15.0,E,22.5,8.0
NE,64.0,No,Sydney,No,65.0,6.0,,22.4,2009-12-21,23.3,19.9,1016.9,26.0,4.4,,0.0,1012.6,9.7,17.0,NE,24.9,4.0
SSW,53.0,No,Sydney,No,58.0,5.0,,24.6,2009-12-22,27.1,19.7,1011.5,19.0,9.0,,0.0,1009.7,12.0,2.0,ENE,29.4,3.0
SSW,68.0,No,Sydney,No,70.0,4.0,,25.1,2009-12-23,26.2,19.7,1015.4,20.0,10.0,,0.0,1012.4,11.1,11.0,E,,0.0
NE,69.0,No,Sydney,No,,8.0,,,2009-12-24,25.5,,,37.0,10.0,,0.0,1009.9,,7.0,NE,,2.0
SSW,85.0,No,Sydney,Yes,65.0,8.0,,24.6,2009-12-25,20.7,21.6,1010.1,24.0,10.8,,0.0,1011.0,,11.0,S,28.1,7.0
SSW,85.0,Yes,Sydney,Yes,91.0,8.0,,17.8,2009-12-26,18.6,17.7,1016.2,20.0,2.8,,12.0,1016.4,0.0,17.0,SSW,20.2,8.0
SSW,80.0,Yes,Sydney,Yes,92.0,8.0,,20.2,2009-12-27,22.3,17.7,1017.9,13.0,1.8,,4.8,1016.1,0.0,20.0,SSE,22.9,8.0
SE,83.0,Yes,Sydney,Yes,97.0,7.0,,20.6,2009-12-28,22.7,20.1,1014.8,22.0,2.6,,16.0,1015.4,1.4,13.0,S,23.1,8.0
S,55.0,Yes,Sydney,No,69.0,1.0,,23.0,2009-12-29,25.9,19.8,1021.4,17.0,2.4,,5.4,1021.2,11.9,17.0,SE,26.1,4.0
S,57.0,No,Sydney,No,66.0,4.0,,22.4,2009-12-30,24.5,19.8,1025.0,20.0,8.6,,0.0,1023.1,12.8,20.0,SSE,25.2,5.0
W,83.0,No,Sydney,No,92.0,8.0,,20.9,2009-12-31,23.3,20.1,1020.9,11.0,8.0,,0.0,1017.2,2.0,2.0,ENE,24.8,8.0
E,56.0,No,Sydney,No,84.0,7.0,,24.3,2010-01-01,29.0,20.9,1013.9,,2.8,,0.4,1010.4,1.1,2.0,,29.3,8.0
,79.0,No,Sydney,Yes,70.0,7.0,,25.6,2010-01-02,24.9,23.3,1007.7,,6.8,,0.0,1005.7,4.8,,,30.7,7.0
,74.0,Yes,Sydney,No,80.0,8.0,,20.1,2010-01-03,20.8,18.9,1015.3,,7.0,,8.6,1016.0,0.0,,,21.5,8.0
E,58.0,No,Sydney,No,64.0,7.0,,21.4,2010-01-04,23.2,18.2,1020.6,19.0,2.4,,1.0,1019.1,2.8,7.0,ENE,23.9,7.0
ENE,60.0,No,Sydney,No,64.0,2.0,,23.6,2010-01-05,25.7,18.3,1018.1,20.0,4.6,,0.2,1014.6,10.4,13.0,ENE,26.1,1.0
S,71.0,No,Sydney,No,83.0,5.0,,22.5,2010-01-06,24.8,21.8,1015.9,17.0,8.4,,0.0,1013.8,9.5,15.0,SE,27.6,7.0
S,59.0,No,Sydney,No,66.0,8.0,,21.8,2010-01-07,23.4,20.8,1018.3,15.0,8.0,,0.0,1017.4,0.8,13.0,SE,24.9,8.0
E,59.0,No,Sydney,No,66.0,2.0,,22.9,2010-01-08,25.5,20.9,1021.7,24.0,6.0,,0.4,1019.7,7.7,13.0,E,25.6,7.0
WSW,51.0,No,Sydney,No,76.0,3.0,,24.4,2010-01-09,30.6,20.8,1018.0,13.0,5.4,,0.0,1014.6,13.2,2.0,NE,32.4,1.0
N,56.0,No,Sydney,No,65.0,2.0,,28.3,2010-01-10,28.9,24.1,1016.1,20.0,11.0,,0.0,1015.4,12.7,2.0,SSE,30.0,1.0
E,60.0,No,Sydney,No,64.0,3.0,,24.2,2010-01-11,25.8,22.1,1019.4,24.0,8.6,,0.0,1016.1,7.8,11.0,NE,25.8,6.0
N,65.0,No,Sydney,No,77.0,1.0,,25.0,2010-01-12,28.4,23.0,1013.0,26.0,8.8,,0.0,1008.5,9.4,6.0,ENE,30.3,7.0
SSE,69.0,No,Sydney,Yes,64.0,6.0,,27.0,2010-01-13,25.4,23.7,1010.9,35.0,9.2,,0.2,1011.0,8.8,19.0,SSE,27.7,1.0
S,75.0,Yes,Sydney,No,90.0,8.0,,19.6,2010-01-14,21.0,19.5,1017.7,17.0,7.8,,13.0,1017.6,0.2,22.0,S,22.9,8.0
SSW,74.0,No,Sydney,No,83.0,7.0,,21.7,2010-01-15,24.4,19.0,1018.9,17.0,3.8,,0.2,1017.2,3.0,9.0,ESE,25.1,8.0
NE,63.0,No,Sydney,No,72.0,7.0,,23.4,2010-01-16,24.5,21.7,1014.0,22.0,5.4,,0.2,1009.6,4.8,11.0,ENE,25.9,6.0
,68.0,No,Sydney,No,64.0,7.0,,24.6,2010-01-17,25.6,20.3,1004.2,26.0,6.6,,0.0,1003.0,10.3,0.0,SSE,27.3,3.0
W,14.0,No,Sydney,No,55.0,2.0,,21.0,2010-01-18,25.1,16.7,1002.9,28.0,8.0,,0.0,1002.5,13.0,15.0,W,25.7,1.0
WSW,31.0,No,Sydney,No,39.0,1.0,,19.8,2010-01-19,22.9,15.6,1009.5,22.0,10.0,,0.0,1007.4,13.3,15.0,E,26.8,1.0
WNW,34.0,No,Sydney,No,41.0,0.0,,23.2,2010-01-20,26.6,17.4,1010.4,24.0,10.4,,0.0,1007.8,13.0,7.0,E,28.9,0.0
W,58.0,No,Sydney,No,74.0,2.0,,24.0,2010-01-21,27.4,19.5,1012.3,24.0,9.0,,0.0,1008.4,12.8,6.0,E,27.4,3.0
W,64.0,No,Sydney,No,77.0,2.0,,25.0,2010-01-22,29.2,22.6,1013.6,15.0,8.2,,0.0,1008.8,9.6,7.0,E,32.6,3.0
NW,17.0,No,Sydney,Yes,28.0,5.0,,31.9,2010-01-23,39.9,25.0,1007.8,6.0,13.4,,0.0,1005.4,5.6,26.0,SSE,41.3,5.0
SSW,66.0,Yes,Sydney,No,92.0,8.0,,19.5,2010-01-24,22.6,18.4,1016.3,11.0,8.6,,6.2,1014.5,0.1,7.0,ESE,23.0,8.0
WNW,70.0,No,Sydney,No,80.0,7.0,,22.4,2010-01-25,25.7,19.5,1014.8,19.0,3.6,,0.4,1011.8,2.8,2.0,E,26.1,8.0
NE,69.0,No,Sydney,No,83.0,3.0,,25.1,2010-01-26,27.7,22.3,1010.9,19.0,4.0,,0.0,1007.2,8.6,6.0,ENE,29.0,6.0
S,72.0,No,Sydney,No,78.0,8.0,,23.4,2010-01-27,25.0,22.9,1015.1,20.0,6.2,,0.0,1013.6,4.6,19.0,SSE,27.1,8.0
,81.0,No,Sydney,Yes,80.0,8.0,,23.7,2010-01-28,24.6,22.2,1012.1,17.0,4.8,,0.0,1009.5,1.8,0.0,ENE,26.6,8.0
WNW,53.0,Yes,Sydney,Yes,81.0,1.0,,22.2,2010-01-29,29.6,19.6,1008.6,20.0,3.4,,2.6,1010.0,9.5,7.0,SE,30.2,1.0
S,66.0,Yes,Sydney,No,82.0,7.0,,21.6,2010-01-30,26.4,20.5,1018.6,13.0,6.4,,2.6,1017.9,7.0,26.0,SE,27.3,8.0
E,70.0,No,Sydney,No,75.0,7.0,,25.6,2010-01-31,26.0,21.5,1016.7,24.0,5.4,,0.0,1014.6,9.2,19.0,E,26.6,6.0
E,66.0,No,Sydney,No,73.0,7.0,,25.6,2010-02-01,26.6,22.6,1015.9,24.0,7.8,,0.0,1016.1,7.9,13.0,E,27.7,6.0
ESE,60.0,No,Sydney,Yes,61.0,7.0,,25.0,2010-02-02,25.9,22.7,1017.8,30.0,8.0,,0.6,1016.4,9.8,19.0,SE,27.7,6.0
E,66.0,Yes,Sydney,Yes,90.0,4.0,,22.0,2010-02-03,27.2,21.4,1014.9,26.0,6.4,,23.4,1014.3,7.3,26.0,E,27.3,7.0
E,76.0,Yes,Sydney,Yes,83.0,7.0,,25.2,2010-02-04,26.1,21.9,1013.9,28.0,6.0,,3.4,1011.3,3.9,28.0,E,27.2,7.0
NE,88.0,Yes,Sydney,Yes,79.0,7.0,,25.8,2010-02-05,24.9,23.1,1010.1,19.0,4.8,,4.0,1008.8,3.0,11.0,NNE,26.5,7.0
S,95.0,Yes,Sydney,Yes,95.0,8.0,,21.6,2010-02-06,22.2,20.5,1015.7,24.0,5.0,,31.2,1016.2,0.0,31.0,S,22.4,7.0
SSW,86.0,Yes,Sydney,Yes,95.0,8.0,,21.1,2010-02-07,23.8,20.2,1021.6,15.0,7.4,,77.4,1020.8,0.2,19.0,SE,25.0,7.0
ESE,70.0,Yes,Sydney,No,76.0,7.0,,23.5,2010-02-08,26.3,21.0,1022.9,22.0,1.8,,3.4,1021.9,2.3,7.0,E,27.6,8.0
W,65.0,No,Sydney,No,83.0,3.0,,24.3,2010-02-09,27.3,22.8,1023.0,24.0,5.8,,0.0,1021.2,9.9,4.0,E,27.6,6.0
NE,61.0,No,Sydney,No,72.0,2.0,,25.6,2010-02-10,27.3,21.7,1020.6,20.0,5.8,,0.4,1017.6,10.1,9.0,ENE,27.9,2.0
E,60.0,No,Sydney,No,71.0,2.0,,25.3,2010-02-11,27.4,21.4,1017.1,26.0,8.8,,0.0,1013.5,6.9,4.0,ENE,28.2,2.0
W,32.0,No,Sydney,Yes,71.0,7.0,,26.9,2010-02-12,37.4,23.9,1008.7,15.0,9.0,,0.0,1005.5,9.8,2.0,WNW,37.8,6.0
S,80.0,Yes,Sydney,Yes,92.0,8.0,,22.1,2010-02-13,25.2,21.4,1011.9,11.0,9.4,,70.0,1010.2,0.3,17.0,E,25.5,8.0
W,92.0,Yes,Sydney,Yes,91.0,8.0,,23.5,2010-02-14,23.9,22.1,1007.3,11.0,2.0,,10.0,1004.5,1.4,9.0,E,26.4,7.0
W,67.0,Yes,Sydney,No,95.0,3.0,,21.4,2010-02-15,28.5,20.2,1006.7,17.0,2.8,,15.2,1003.5,9.9,11.0,ENE,30.0,6.0
W,57.0,No,Sydney,No,65.0,7.0,,22.3,2010-02-16,25.0,21.3,1011.8,35.0,7.6,,0.2,1013.6,8.7,22.0,S,26.4,7.0
SW,56.0,No,Sydney,No,64.0,2.0,,21.4,2010-02-17,25.4,18.5,1016.7,20.0,7.8,,0.0,1016.0,12.8,9.0,SE,25.6,3.0
SE,51.0,No,Sydney,No,52.0,5.0,,23.7,2010-02-18,24.9,18.3,1022.4,20.0,8.0,,0.0,1023.4,12.0,19.0,SE,25.9,5.0
ESE,51.0,No,Sydney,No,60.0,6.0,,22.6,2010-02-19,25.0,20.2,1024.8,13.0,7.2,,0.0,1023.1,8.0,19.0,E,25.5,5.0
W,54.0,No,Sydney,No,76.0,2.0,,22.2,2010-02-20,26.1,18.9,1021.9,24.0,6.4,,0.0,1018.4,11.8,13.0,NE,27.3,1.0
W,59.0,No,Sydney,No,75.0,1.0,,23.5,2010-02-21,28.6,20.7,1018.0,15.0,9.6,,0.0,1014.8,11.6,4.0,E,29.8,1.0
W,46.0,No,Sydney,No,61.0,3.0,,26.7,2010-02-22,32.5,23.2,1015.4,20.0,9.4,,0.0,1011.7,11.9,7.0,E,35.4,0.0
S,60.0,No,Sydney,No,54.0,7.0,,28.5,2010-02-23,23.7,26.0,1013.6,28.0,10.4,,0.0,1016.3,7.4,24.0,SE,28.6,1.0
ESE,52.0,No,Sydney,No,55.0,7.0,,22.4,2010-02-24,23.8,21.1,1021.7,13.0,9.2,,0.0,1021.4,1.5,9.0,E,24.1,8.0
E,46.0,No,Sydney,No,45.0,2.0,,23.3,2010-02-25,24.2,20.5,1026.4,22.0,4.4,,0.0,1026.6,9.3,15.0,ESE,24.6,2.0
W,58.0,No,Sydney,No,73.0,7.0,,20.2,2010-02-26,24.6,18.1,1027.0,7.0,6.0,,0.0,1024.4,1.6,7.0,ESE,25.1,6.0
W,60.0,No,Sydney,No,79.0,1.0,,21.9,2010-02-27,26.5,18.4,1021.6,19.0,3.8,,0.2,1017.8,11.8,2.0,NE,27.0,5.0
WSW,72.0,No,Sydney,Yes,83.0,8.0,,23.7,2010-02-28,25.8,21.0,1017.1,13.0,8.0,,0.0,1014.3,3.8,4.0,ESE,26.7,7.0
SSW,84.0,Yes,Sydney,Yes,68.0,8.0,,19.4,2010-03-01,19.2,19.2,1018.9,17.0,5.0,,4.2,1018.4,0.0,19.0,SE,19.7,8.0
SE,52.0,Yes,Sydney,No,52.0,7.0,,19.5,2010-03-02,21.8,17.3,1019.3,17.0,3.8,,9.0,1018.2,1.3,17.0,SE,23.0,7.0
SE,53.0,No,Sydney,No,53.0,5.0,,22.7,2010-03-03,23.5,18.2,1019.4,19.0,7.2,,0.2,1018.2,7.5,11.0,ESE,24.4,3.0
,67.0,No,Sydney,No,73.0,5.0,,20.9,2010-03-04,24.7,17.2,1016.2,26.0,4.4,,0.0,1013.7,7.9,0.0,E,25.2,7.0
NE,83.0,No,Sydney,Yes,72.0,8.0,,23.9,2010-03-05,23.5,20.5,1011.5,15.0,5.2,,0.0,1009.6,1.0,20.0,ENE,25.1,7.0
NNW,77.0,Yes,Sydney,No,90.0,3.0,,22.4,2010-03-06,25.1,20.9,1011.9,15.0,3.4,,14.0,1010.8,6.2,2.0,NE,26.7,6.0
ENE,68.0,No,Sydney,No,71.0,7.0,,25.0,2010-03-07,25.6,22.3,1013.8,33.0,5.0,,0.0,1012.0,5.0,19.0,ENE,26.4,2.0
ENE,65.0,No,Sydney,No,72.0,7.0,,24.8,2010-03-08,27.4,22.6,1011.6,17.0,6.4,,0.0,1009.6,6.4,11.0,NE,29.2,6.0
WNW,35.0,No,Sydney,No,46.0,1.0,,23.9,2010-03-09,29.6,20.8,1013.4,22.0,9.2,,0.0,1012.2,11.7,11.0,W,30.0,1.0
S,67.0,No,Sydney,No,85.0,8.0,,19.3,2010-03-10,20.4,19.2,1020.8,24.0,8.0,,0.2,1022.5,0.3,20.0,SSE,20.8,8.0
S,49.0,No,Sydney,No,63.0,4.0,,20.4,2010-03-11,23.6,18.2,1031.1,24.0,5.2,,0.0,1031.5,9.0,24.0,SSE,24.2,2.0
SE,54.0,No,Sydney,No,55.0,4.0,,23.3,2010-03-12,22.5,18.7,1035.0,28.0,9.0,,0.2,1034.8,7.9,19.0,SE,24.5,2.0
SSE,52.0,No,Sydney,Yes,68.0,6.0,,20.5,2010-03-13,22.8,17.4,1034.3,19.0,7.4,,0.0,1032.9,7.1,22.0,SE,24.7,2.0
W,50.0,Yes,Sydney,No,87.0,5.0,,18.7,2010-03-14,23.0,16.2,1030.4,17.0,5.6,,5.6,1027.8,6.9,13.0,ESE,24.6,2.0
