WindDir3pm,Temp9amF,Temp3pmF,Date,RainToday,Cloud9am,RainTomorrow,Sunshine,MaxTempF,MinTempF,Rainfall,Location,WindGustDir,Pressure9am,Humidity3pm,Pressure3pm,WindGustSpeed,Cloud3pm,Evaporation,WindSpeed9am,WindSpeed3pm,WindDir9am,Humidity9am
ENE,84.2,87.26,2011-02-18,No,3.0,Yes,12.4,88.34,76.1,0.0,Townsville,ENE,1009.7,65.0,1006.1,31.0,3.0,6.4,11.0,22.0,SSE,64.0
E,85.64,86.18,2011-02-19,Yes,4.0,No,5.6,87.44,78.08,1.6,Townsville,ESE,1009.6,67.0,1007.8,39.0,7.0,6.0,13.0,20.0,SE,66.0
ENE,83.3,87.08000000000001,2011-02-20,No,7.0,No,10.8,88.52,76.1,0.0,Townsville,NE,1010.7,69.0,1007.8,30.0,7.0,6.0,13.0,20.0,SE,73.0
ENE,84.38000000000001,87.44,2011-02-21,No,7.0,No,9.8,88.88000000000001,77.9,0.0,Townsville,NE,1009.1,67.0,1005.7,26.0,7.0,5.8,0.0,13.0,,75.0
ENE,85.64,85.28,2011-02-22,No,7.0,Yes,4.5,89.41999999999999,79.7,0.0,Townsville,ENE,1007.4,73.0,1006.2,37.0,7.0,6.0,7.0,19.0,N,67.0
SSE,82.4,78.62,2011-02-23,Yes,7.0,Yes,4.6,87.8,75.2,2.8,Townsville,SE,1010.2,85.0,1007.7,43.0,7.0,5.8,13.0,19.0,SE,75.0
ESE,83.3,84.74,2011-02-24,Yes,7.0,Yes,5.6,86.72,74.66,7.6,Townsville,E,1011.1,58.0,1008.3,43.0,7.0,5.8,20.0,22.0,SSE,61.0
SE,77.0,78.08,2011-02-25,Yes,7.0,Yes,1.2,82.22,74.66,2.0,Townsville,ESE,1010.9,93.0,1008.6,44.0,7.0,6.0,19.0,30.0,SE,87.0
E,80.06,84.74,2011-02-26,Yes,7.0,No,7.8,87.08000000000001,74.48,11.6,Townsville,E,1010.3,60.0,1007.6,44.0,7.0,1.6,13.0,28.0,SE,81.0
ENE,82.94,84.38000000000001,2011-02-27,No,7.0,Yes,7.2,87.61999999999999,76.46,0.0,Townsville,ENE,1010.3,66.0,1007.7,41.0,7.0,6.8,22.0,31.0,ESE,71.0
NNW,75.74000000000001,74.48,2011-02-28,Yes,8.0,Yes,0.2,80.42,75.38,10.0,Townsville,ENE,1010.9,98.0,1007.9,43.0,8.0,7.2,26.0,6.0,NE,96.0
ENE,79.34,82.58,2011-03-01,Yes,7.0,Yes,0.0,82.94,73.22,63.2,Townsville,ENE,1010.6,77.0,1008.1,22.0,8.0,,7.0,17.0,SE,84.0
ENE,77.18,81.86,2011-03-02,Yes,8.0,No,1.8,84.56,74.84,3.8,Townsville,E,1012.0,85.0,1008.9,31.0,7.0,2.8,11.0,19.0,S,90.0
ENE,83.3,85.28,2011-03-03,No,6.0,No,8.7,86.9,77.18,0.8,Townsville,ENE,1010.9,72.0,1007.8,33.0,4.0,3.4,17.0,26.0,ENE,82.0
ENE,84.56,87.26,2011-03-04,No,7.0,No,10.4,88.16,78.08,0.0,Townsville,NE,1009.9,67.0,1007.2,30.0,3.0,5.4,17.0,24.0,ENE,79.0
ENE,84.56,86.9,2011-03-05,No,7.0,Yes,9.9,88.52,78.44,0.0,Townsville,ENE,1009.6,74.0,1007.1,37.0,7.0,6.2,19.0,24.0,ESE,76.0
E,82.58,79.34,2011-03-06,Yes,7.0,Yes,4.6,86.9,76.64,10.4,Townsville,ESE,1010.5,93.0,1008.6,65.0,8.0,6.6,31.0,31.0,ESE,79.0
ESE,76.28,77.9,2011-03-07,Yes,7.0,Yes,0.3,80.96,74.12,32.4,Townsville,ENE,1011.4,93.0,1008.8,57.0,8.0,8.6,9.0,22.0,SE,95.0
E,79.7,82.94,2011-03-08,Yes,7.0,No,3.1,85.82,73.75999999999999,112.0,Townsville,ESE,1011.5,59.0,1009.0,54.0,7.0,,30.0,24.0,ESE,68.0
ESE,82.75999999999999,80.96,2011-03-09,No,7.0,Yes,3.6,86.18,75.56,0.4,Townsville,ESE,1011.8,70.0,1009.2,48.0,7.0,6.0,30.0,20.0,E,67.0
ENE,80.06,81.86,2011-03-10,Yes,7.0,Yes,1.7,84.2,74.12,10.6,Townsville,E,1010.8,69.0,1008.4,39.0,7.0,5.0,13.0,24.0,SE,80.0
SSW,73.94,74.3,2011-03-11,Yes,8.0,Yes,0.0,76.46,72.32,42.4,Townsville,ESE,1010.8,95.0,1008.7,39.0,8.0,,11.0,7.0,SSE,93.0
W,73.22,75.2,2011-03-12,Yes,8.0,Yes,0.0,77.72,72.32,79.2,Townsville,E,1012.2,91.0,1010.1,39.0,8.0,,13.0,13.0,W,98.0
ESE,77.72,80.78,2011-03-13,Yes,7.0,Yes,2.2,82.58,72.14,36.0,Townsville,SE,1012.6,76.0,1010.0,31.0,7.0,4.6,20.0,13.0,SE,78.0
NE,81.86,84.74,2011-03-14,Yes,3.0,Yes,8.9,87.98,73.4,2.6,Townsville,ENE,1011.1,75.0,1007.9,35.0,6.0,3.2,7.0,26.0,SW,73.0
E,74.48,81.86,2011-03-15,Yes,8.0,Yes,0.5,82.75999999999999,72.5,53.4,Townsville,NNE,1012.7,82.0,1009.9,41.0,7.0,,19.0,28.0,E,98.0
ENE,82.75999999999999,84.91999999999999,2011-03-16,Yes,7.0,Yes,3.9,86.9,73.75999999999999,84.0,Townsville,E,1013.5,76.0,1011.5,41.0,7.0,,28.0,24.0,ESE,82.0
ENE,83.3,86.0,2011-03-17,Yes,4.0,No,9.9,87.44,77.54,1.4,Townsville,ESE,1015.0,71.0,1012.1,37.0,3.0,4.2,22.0,24.0,ESE,79.0
ENE,83.48,85.28,2011-03-18,No,6.0,No,9.7,87.8,75.92,0.0,Townsville,ENE,1013.3,71.0,1009.8,28.0,7.0,5.8,9.0,19.0,ESE,76.0
NNE,82.4,87.61999999999999,2011-03-19,No,7.0,No,6.9,87.8,78.08,0.0,Townsville,N,1011.4,65.0,1006.6,28.0,7.0,4.0,0.0,17.0,,82.0
N,82.94,84.2,2011-03-20,No,7.0,Yes,5.0,86.0,78.8,1.0,Townsville,SW,1009.5,73.0,1004.6,44.0,6.0,4.2,15.0,13.0,NW,76.0
NNW,82.58,87.61999999999999,2011-03-21,Yes,4.0,No,7.7,88.52,75.38,11.8,Townsville,NW,1007.2,64.0,1003.9,39.0,3.0,4.0,9.0,15.0,NW,77.0
NW,84.56,86.53999999999999,2011-03-22,No,7.0,No,8.8,88.88000000000001,76.82,0.0,Townsville,N,1007.3,72.0,1005.1,30.0,5.0,5.0,7.0,17.0,NW,72.0
NNE,84.56,87.98,2011-03-23,No,6.0,No,9.3,89.96000000000001,77.54,0.6,Townsville,NNE,1008.2,64.0,1005.3,28.0,4.0,5.8,0.0,19.0,,81.0
N,84.2,88.52,2011-03-24,No,5.0,Yes,9.1,89.24,78.8,0.2,Townsville,N,1010.0,62.0,1006.6,26.0,6.0,7.4,6.0,15.0,NW,79.0
ENE,80.24000000000001,83.48,2011-03-25,Yes,6.0,Yes,2.8,85.46000000000001,73.94,38.8,Townsville,NW,1010.8,78.0,1007.9,39.0,7.0,6.4,0.0,11.0,,82.0
SSE,78.08,83.66,2011-03-26,Yes,7.0,No,2.3,84.38000000000001,74.12,9.8,Townsville,S,1012.1,66.0,1009.1,26.0,7.0,3.8,9.0,17.0,S,83.0
E,82.75999999999999,82.94,2011-03-27,No,6.0,No,2.9,85.46000000000001,75.2,0.0,Townsville,E,1012.1,69.0,1009.6,43.0,7.0,4.0,22.0,19.0,SE,59.0
SE,76.1,79.34,2011-03-28,No,8.0,Yes,0.2,80.78,75.56,0.0,Townsville,SE,1012.5,80.0,1009.6,35.0,8.0,4.0,20.0,24.0,SSE,84.0
SSE,74.66,77.0,2011-03-29,Yes,8.0,Yes,0.0,80.06,74.12,8.4,Townsville,SE,1012.9,93.0,1010.2,28.0,8.0,3.0,15.0,9.0,SSE,96.0
E,76.28,84.38000000000001,2011-03-30,Yes,7.0,No,3.2,84.56,73.04,51.8,Townsville,ESE,1013.5,76.0,1009.2,28.0,7.0,,9.0,15.0,SSW,89.0
NNE,80.6,79.16,2011-03-31,No,5.0,No,4.4,85.28,75.38,0.0,Townsville,ENE,1013.2,87.0,1010.3,31.0,7.0,2.4,4.0,15.0,NE,77.0
NE,74.66,79.7,2011-05-01,No,1.0,No,11.1,82.94,60.980000000000004,0.0,Townsville,NE,1014.7,55.0,1011.1,33.0,1.0,6.4,9.0,26.0,SE,62.0
NE,76.46,80.78,2011-05-02,No,4.0,No,10.3,83.66,65.3,0.0,Townsville,NE,1014.3,61.0,1010.9,35.0,4.0,7.2,9.0,28.0,SE,73.0
ENE,75.92,82.4,2011-05-03,No,7.0,No,8.3,84.38000000000001,66.38,0.0,Townsville,ENE,1013.5,60.0,1010.7,31.0,4.0,6.0,7.0,26.0,SE,74.0
ENE,78.25999999999999,79.7,2011-05-04,No,3.0,No,6.8,84.74,66.56,0.0,Townsville,ENE,1014.5,57.0,1011.6,31.0,5.0,4.8,9.0,22.0,SSW,73.0
SE,75.56,79.7,2011-05-05,No,1.0,No,10.6,83.66,65.12,0.0,Townsville,ENE,1016.0,48.0,1012.5,41.0,1.0,4.6,9.0,13.0,WSW,64.0
ENE,74.3,79.88,2011-05-06,No,1.0,No,10.9,82.58,59.36,0.0,Townsville,E,1016.5,38.0,1013.8,35.0,1.0,7.2,11.0,24.0,SSE,38.0
E,71.24000000000001,80.24000000000001,2011-05-07,No,7.0,Yes,2.6,82.58,67.46,0.0,Townsville,ENE,1015.9,55.0,1012.1,37.0,7.0,7.4,15.0,22.0,SSW,78.0
ESE,69.98,71.06,2011-05-08,Yes,8.0,Yes,0.0,75.02,68.18,6.4,Townsville,SSE,1015.1,95.0,1011.5,26.0,8.0,3.8,11.0,17.0,SSE,95.0
SSW,71.6,80.24000000000001,2011-05-09,Yes,7.0,No,6.7,81.86,67.82,12.0,Townsville,SW,1013.0,53.0,1009.7,31.0,7.0,1.8,2.0,15.0,ESE,84.0
SSW,68.9,78.44,2011-05-10,No,1.0,No,10.6,78.98,64.4,0.0,Townsville,SSW,1016.4,19.0,1012.4,48.0,0.0,4.8,31.0,26.0,SSW,31.0
NE,69.98,77.18,2011-05-11,No,1.0,No,11.3,77.9,53.06,0.0,Townsville,SSW,1017.3,32.0,1013.3,28.0,0.0,7.0,17.0,24.0,SSW,33.0
SSW,69.08,76.82,2011-05-12,No,3.0,No,10.8,77.9,49.82,0.0,Townsville,S,1018.7,17.0,1014.7,35.0,1.0,4.6,19.0,17.0,SSW,31.0
NE,69.44,76.1,2011-05-13,No,0.0,No,10.6,78.25999999999999,48.2,0.0,Townsville,NE,1018.2,30.0,1013.8,30.0,0.0,6.6,13.0,24.0,SSW,34.0
ENE,66.92,75.56,2011-05-14,No,1.0,No,10.3,78.8,52.34,0.0,Townsville,ENE,1019.2,47.0,1015.9,35.0,1.0,5.4,6.0,28.0,WNW,69.0
NE,68.9,75.2,2011-05-15,No,1.0,No,10.9,77.72,55.58,0.0,Townsville,ENE,1022.0,37.0,1019.5,31.0,1.0,4.6,15.0,22.0,SSW,45.0
ESE,68.9,78.98,2011-05-16,No,7.0,No,3.4,80.6,57.2,0.0,Townsville,SE,1022.6,41.0,1019.5,43.0,5.0,7.6,15.0,30.0,S,50.0
E,73.22,77.9,2011-05-17,No,1.0,No,10.7,80.6,60.62,0.0,Townsville,E,1021.8,47.0,1018.6,50.0,1.0,4.8,20.0,33.0,S,53.0
ESE,73.22,77.0,2011-05-18,No,1.0,No,10.0,80.96,62.959999999999994,0.0,Townsville,ESE,1021.8,48.0,1019.5,52.0,3.0,6.2,20.0,33.0,SE,57.0
E,72.86,78.44,2011-05-19,No,2.0,No,3.1,80.78,63.32,0.0,Townsville,E,1021.7,50.0,1018.9,41.0,7.0,7.4,24.0,28.0,SSE,54.0
SE,72.68,76.46,2011-05-20,No,6.0,Yes,2.6,79.34,62.6,0.4,Townsville,ESE,1019.3,66.0,1016.1,43.0,6.0,5.4,19.0,13.0,SSE,65.0
E,74.84,79.52,2011-05-21,Yes,3.0,No,8.0,83.48,65.66,2.0,Townsville,E,1018.0,63.0,1015.1,48.0,2.0,3.0,13.0,35.0,SSE,71.0
ENE,75.2,78.98,2011-05-22,No,7.0,Yes,3.1,82.4,68.54,0.0,Townsville,ESE,1017.1,67.0,1013.5,39.0,7.0,6.8,24.0,24.0,ESE,71.0
WNW,73.75999999999999,83.66,2011-05-23,Yes,8.0,No,5.5,83.84,70.52,2.6,Townsville,NNE,1014.4,61.0,1010.1,26.0,3.0,3.4,7.0,6.0,SW,87.0
SSW,71.24000000000001,80.06,2011-05-24,No,7.0,No,8.4,81.14,68.36,0.0,Townsville,SSW,1013.5,30.0,1009.1,48.0,1.0,4.2,28.0,22.0,SSW,36.0
SW,65.12,73.94,2011-05-25,No,0.0,No,10.6,75.2,60.62,0.0,Townsville,S,1016.2,25.0,1011.7,46.0,0.0,8.6,26.0,19.0,SSW,39.0
SSE,62.78,73.75999999999999,2011-05-26,No,0.0,No,11.0,74.66,52.879999999999995,0.0,Townsville,SSW,1018.1,22.0,1013.7,35.0,0.0,5.4,13.0,22.0,SSE,40.0
ENE,66.74000000000001,72.86,2011-05-27,No,0.0,No,10.8,75.2,47.66,0.0,Townsville,SE,1019.2,45.0,1014.9,30.0,1.0,5.0,9.0,20.0,S,41.0
NE,67.64,75.92,2011-05-28,No,0.0,No,10.5,77.18,50.54,0.0,Townsville,NE,1019.1,40.0,1015.8,30.0,1.0,6.2,7.0,19.0,ESE,47.0
NE,69.62,76.82,2011-05-29,No,2.0,No,9.9,79.16,53.78,0.0,Townsville,NE,1019.6,50.0,1015.8,28.0,1.0,4.6,4.0,20.0,SSW,63.0
NE,69.8,78.08,2011-05-30,No,1.0,No,10.4,82.04,56.3,0.0,Townsville,SSW,1017.9,49.0,1013.0,30.0,1.0,4.0,0.0,15.0,,74.0
S,67.64,78.8,2011-05-31,No,0.0,No,10.7,79.88,51.8,0.0,Townsville,SSE,1016.9,17.0,1012.6,39.0,0.0,4.0,15.0,13.0,WSW,32.0
NE,67.46,73.75999999999999,2011-06-01,No,0.0,No,10.8,77.9,48.2,0.0,Townsville,SSE,1018.0,36.0,1013.9,31.0,0.0,4.6,15.0,19.0,SSW,34.0
NE,68.18,72.68,2011-06-02,No,0.0,No,10.7,75.02,51.44,0.0,Townsville,NNE,1018.2,33.0,1015.1,30.0,0.0,4.2,9.0,24.0,S,42.0
NE,67.82,75.2,2011-06-03,No,1.0,No,10.3,77.36,49.82,0.0,Townsville,NE,1018.9,41.0,1015.5,26.0,1.0,5.2,0.0,19.0,,62.0
NE,67.46,75.92,2011-06-04,No,1.0,No,9.7,78.25999999999999,52.34,0.0,Townsville,NE,1018.7,47.0,1015.4,24.0,2.0,4.4,0.0,15.0,,69.0
NE,70.7,75.56,2011-06-05,No,7.0,No,4.9,80.06,59.0,0.0,Townsville,ENE,1017.9,64.0,1014.5,30.0,7.0,4.8,11.0,20.0,SSE,69.0
ENE,70.16,76.1,2011-06-06,No,7.0,Yes,4.5,79.88,66.2,0.0,Townsville,NE,1017.3,68.0,1014.1,31.0,7.0,3.4,7.0,22.0,ESE,80.0
ENE,70.7,78.25999999999999,2011-06-07,Yes,7.0,No,6.7,80.06,66.74000000000001,8.2,Townsville,ENE,1017.0,65.0,1014.0,31.0,7.0,4.0,9.0,22.0,SSE,93.0
NE,73.04,76.1,2011-06-08,No,3.0,No,10.2,79.7,61.519999999999996,0.8,Townsville,ENE,1017.4,66.0,1013.5,31.0,1.0,4.6,15.0,22.0,SE,82.0
NE,72.5,76.1,2011-06-09,No,6.0,No,7.7,78.62,61.88,0.0,Townsville,ENE,1015.2,63.0,1012.2,28.0,7.0,4.8,9.0,19.0,ESE,74.0
ESE,67.46,69.25999999999999,2011-06-10,No,8.0,Yes,0.1,70.34,66.38,0.2,Townsville,W,1015.4,75.0,1012.4,43.0,8.0,2.6,15.0,15.0,S,77.0
SSW,58.1,64.4,2011-06-11,Yes,6.0,No,0.4,65.3,55.94,6.2,Townsville,SW,1015.2,64.0,1012.5,43.0,7.0,3.0,24.0,19.0,SW,74.0
SSW,62.059999999999995,69.98,2011-06-12,No,7.0,No,4.4,71.24000000000001,57.92,0.0,Townsville,SW,1016.1,52.0,1012.5,39.0,7.0,3.2,19.0,20.0,SW,63.0
SSW,64.22,73.58,2011-06-13,No,2.0,No,10.5,75.74000000000001,50.9,0.0,Townsville,SW,1015.6,36.0,1011.9,35.0,6.0,3.6,26.0,22.0,SW,59.0
S,65.3,75.2,2011-06-14,No,0.0,No,10.8,76.28,51.8,0.0,Townsville,SW,1017.1,21.0,1012.8,39.0,0.0,5.4,24.0,22.0,SSW,44.0
S,62.6,72.5,2011-06-15,No,1.0,No,10.7,73.4,54.14,0.0,Townsville,SSW,1020.1,30.0,1015.4,56.0,0.0,5.8,28.0,24.0,SSW,49.0
SW,64.22,73.22,2011-06-16,No,1.0,No,10.6,75.02,48.379999999999995,0.0,Townsville,SSW,1020.1,43.0,1015.5,33.0,0.0,6.8,15.0,15.0,SSW,48.0
S,67.1,78.8,2011-06-17,No,0.0,No,10.1,79.34,48.92,0.0,Townsville,SSW,1018.8,27.0,1014.3,37.0,1.0,3.0,24.0,20.0,SW,48.0
S,66.38,76.64,2011-06-18,No,1.0,No,10.8,77.18,50.9,0.0,Townsville,SSW,1019.0,17.0,1014.3,37.0,1.0,6.2,17.0,19.0,SSW,29.0
NE,62.6,72.14,2011-06-19,No,7.0,No,10.4,75.02,44.06,0.0,Townsville,NE,1017.9,32.0,1015.3,37.0,4.0,4.8,0.0,28.0,,55.0
NE,65.48,73.4,2011-06-20,No,7.0,No,9.7,76.28,48.2,0.0,Townsville,NE,1019.1,40.0,1015.6,26.0,1.0,5.2,0.0,17.0,,67.0
NE,64.58,74.3,2011-06-21,No,7.0,No,10.0,76.1,50.36,0.0,Townsville,ENE,1018.7,43.0,1013.9,26.0,5.0,4.0,0.0,15.0,,76.0
NE,62.24,76.1,2011-06-22,No,5.0,No,9.7,79.16,49.1,0.0,Townsville,SE,1017.5,38.0,1013.7,33.0,1.0,2.4,0.0,17.0,,85.0
ENE,66.38,73.75999999999999,2011-06-23,No,0.0,No,10.3,75.92,47.66,0.0,Townsville,NE,1019.0,54.0,1016.3,35.0,1.0,3.6,11.0,28.0,SSE,52.0
ENE,64.22,72.86,2011-06-24,No,1.0,No,10.5,74.66,48.74,0.0,Townsville,ENE,1021.2,44.0,1018.9,39.0,2.0,4.8,13.0,26.0,S,43.0
ENE,69.62,76.64,2011-06-25,No,3.0,No,9.7,78.98,53.06,0.0,Townsville,ESE,1022.5,41.0,1019.0,46.0,2.0,5.6,7.0,30.0,SSE,61.0
SSE,70.88,71.96,2011-06-26,No,1.0,No,4.2,76.82,53.78,0.0,Townsville,ESE,1021.2,67.0,1018.1,41.0,7.0,7.0,13.0,11.0,SSE,58.0
ESE,69.8,77.72,2011-06-27,No,7.0,No,2.7,78.08,61.34,0.0,Townsville,ESE,1019.6,50.0,1016.9,52.0,3.0,5.2,13.0,35.0,S,60.0
ESE,74.48,71.6,2011-06-28,No,4.0,No,3.8,78.25999999999999,66.38,0.0,Townsville,ESE,1019.2,71.0,1017.8,54.0,7.0,4.4,17.0,37.0,SSE,57.0
ESE,74.12,75.02,2011-06-29,No,6.0,No,4.3,78.8,67.1,0.0,Townsville,E,1020.4,57.0,1017.9,52.0,7.0,7.4,31.0,35.0,ESE,58.0
E,72.32,76.64,2011-06-30,No,4.0,No,8.0,79.52,64.22,0.4,Townsville,SE,1022.2,50.0,1019.1,54.0,5.0,7.2,22.0,26.0,SSE,56.0
E,70.16,74.84,2011-07-01,No,1.0,No,9.9,77.36,60.62,0.0,Townsville,E,1021.8,41.0,1018.8,46.0,2.0,7.2,17.0,28.0,SSE,54.0
ENE,68.54,73.94,2011-07-02,No,3.0,No,9.0,77.72,54.14,0.0,Townsville,E,1020.8,58.0,1017.1,39.0,2.0,6.8,15.0,28.0,S,56.0
NE,66.56,74.84,2011-07-03,No,7.0,No,5.2,77.36,53.06,0.0,Townsville,ENE,1020.4,48.0,1017.8,30.0,6.0,6.4,7.0,20.0,SSW,63.0
ENE,67.82,73.58,2011-07-04,No,1.0,No,10.1,77.72,55.22,0.0,Townsville,NE,1021.7,60.0,1018.1,37.0,4.0,2.6,7.0,30.0,S,64.0
N,66.02,72.86,2011-07-05,No,6.0,No,9.9,77.54,52.7,0.0,Townsville,NE,1020.9,56.0,1016.5,22.0,7.0,5.0,0.0,15.0,,73.0
N,64.75999999999999,76.46,2011-07-06,No,7.0,No,9.4,78.8,51.08,0.0,Townsville,NE,1018.8,43.0,1015.8,20.0,7.0,3.6,0.0,13.0,,75.0
N,66.74000000000001,76.64,2011-07-07,No,3.0,No,9.1,79.16,52.34,0.0,Townsville,NE,1020.4,53.0,1016.7,26.0,7.0,3.0,0.0,13.0,,74.0
ENE,64.94,73.75999999999999,2011-07-08,No,1.0,No,9.5,79.16,50.72,0.0,Townsville,ENE,1022.1,53.0,1019.6,35.0,3.0,3.4,9.0,26.0,NW,58.0
ENE,66.38,72.14,2011-07-09,No,2.0,No,9.9,76.1,54.86,0.0,Townsville,NE,1022.6,63.0,1019.1,31.0,1.0,6.4,6.0,24.0,SSE,72.0
NE,64.94,71.78,2011-07-10,No,1.0,No,10.2,75.02,51.620000000000005,0.0,Townsville,NE,1020.8,54.0,1016.6,31.0,0.0,3.6,7.0,22.0,SSE,74.0
ENE,66.02,73.58,2011-07-11,No,1.0,No,10.1,76.64,51.26,0.0,Townsville,ENE,1021.6,49.0,1017.9,37.0,0.0,4.6,4.0,28.0,SSW,73.0
ENE,65.12,71.06,2011-07-12,No,0.0,No,10.2,74.48,47.66,0.0,Townsville,E,1021.9,52.0,1019.0,39.0,1.0,5.0,6.0,26.0,SW,61.0
NE,68.36,75.2,2011-07-13,No,1.0,No,10.2,77.72,53.78,0.0,Townsville,E,1019.4,61.0,1016.2,33.0,1.0,4.0,15.0,20.0,SE,69.0
E,71.06,75.38,2011-07-14,No,3.0,No,7.3,79.34,64.22,0.0,Townsville,ENE,1019.2,65.0,1017.6,35.0,7.0,4.8,19.0,26.0,ESE,77.0
E,71.78,72.68,2011-07-15,No,6.0,No,3.7,80.24000000000001,67.82,0.0,Townsville,ENE,1021.1,72.0,1018.9,46.0,7.0,5.8,22.0,19.0,SE,62.0
ESE,71.96,73.58,2011-07-16,No,1.0,No,4.6,77.72,63.68,0.6,Townsville,E,1019.7,67.0,1016.9,41.0,8.0,5.2,9.0,20.0,SSE,66.0
ENE,68.9,75.92,2011-07-17,No,7.0,No,7.3,77.9,60.980000000000004,0.4,Townsville,ESE,1019.9,57.0,1016.3,33.0,7.0,4.0,2.0,22.0,ESE,81.0
NE,70.34,75.92,2011-07-18,No,3.0,No,9.2,77.9,61.88,0.0,Townsville,NE,1019.2,57.0,1015.4,30.0,2.0,4.0,13.0,22.0,SE,69.0
ENE,68.72,77.0,2011-07-19,No,1.0,No,10.5,80.06,55.22,0.0,Townsville,ENE,1018.1,34.0,1014.2,35.0,1.0,4.2,0.0,26.0,,80.0
ENE,66.2,75.02,2011-07-20,No,0.0,No,9.7,77.72,53.24,0.0,Townsville,NE,1017.7,41.0,1013.6,30.0,1.0,6.2,0.0,24.0,,73.0
ENE,65.48,74.66,2011-07-21,No,0.0,No,11.1,79.16,48.02,0.0,Townsville,S,1017.3,31.0,1012.5,33.0,0.0,5.4,19.0,19.0,SSW,30.0
S,65.66,78.08,2011-07-22,No,0.0,No,10.9,78.98,47.48,0.0,Townsville,SSE,1016.4,17.0,1012.4,41.0,1.0,5.4,20.0,15.0,SSW,33.0
ENE,66.2,73.4,2011-07-23,No,0.0,No,10.9,76.46,45.14,0.0,Townsville,ENE,1016.7,28.0,1013.3,33.0,0.0,4.6,9.0,24.0,SSW,32.0
NE,65.48,72.86,2011-07-24,No,1.0,No,10.7,76.1,47.3,0.0,Townsville,NE,1018.2,28.0,1015.4,33.0,1.0,5.2,9.0,22.0,S,54.0
NE,66.92,73.22,2011-07-25,No,1.0,No,10.3,76.1,49.28,0.0,Townsville,NE,1020.6,49.0,1017.0,35.0,1.0,5.8,6.0,28.0,SE,61.0
ENE,68.0,76.1,2011-07-26,No,2.0,No,10.4,77.54,53.06,0.0,Townsville,ENE,1022.3,47.0,1018.8,37.0,3.0,5.0,6.0,28.0,SSE,64.0
ENE,69.25999999999999,72.5,2011-07-27,No,1.0,No,10.3,76.1,55.22,0.0,Townsville,ENE,1023.6,58.0,1019.9,37.0,5.0,5.2,13.0,30.0,SSE,64.0
ENE,68.0,75.56,2011-07-28,No,1.0,No,10.5,77.36,53.06,0.0,Townsville,ENE,1022.6,45.0,1018.9,39.0,2.0,5.2,9.0,28.0,SE,60.0
ENE,67.46,75.02,2011-07-29,No,4.0,No,9.9,77.9,53.24,0.0,Townsville,E,1021.3,53.0,1017.8,48.0,3.0,7.2,2.0,35.0,SE,66.0
ENE,68.9,73.94,2011-07-30,No,2.0,No,10.4,76.82,53.24,0.0,Townsville,ENE,1020.5,49.0,1016.3,35.0,1.0,6.8,20.0,24.0,SSE,59.0
NE,67.64,73.94,2011-07-31,No,1.0,No,10.3,77.36,52.52,0.0,Townsville,ENE,1020.3,59.0,1017.0,35.0,1.0,5.4,0.0,26.0,,67.0
ENE,68.18,74.3,2011-08-01,No,1.0,No,10.3,76.82,51.26,0.0,Townsville,ESE,1021.7,38.0,1018.5,41.0,1.0,5.2,11.0,33.0,SSE,56.0
ENE,69.44,75.02,2011-08-02,No,1.0,No,10.9,78.25999999999999,52.7,0.0,Townsville,ESE,1022.4,44.0,1018.5,41.0,1.0,7.0,13.0,28.0,SSE,52.0
ENE,68.9,73.75999999999999,2011-08-03,No,0.0,No,10.9,77.18,51.08,0.0,Townsville,E,1022.4,47.0,1019.4,35.0,1.0,5.8,20.0,30.0,SE,47.0
E,69.98,75.02,2011-08-04,No,4.0,No,10.4,77.9,55.4,0.0,Townsville,E,1021.9,47.0,1019.7,54.0,1.0,6.4,17.0,37.0,SSE,61.0
ESE,70.7,74.84,2011-08-05,No,6.0,No,5.0,78.8,60.62,0.0,Townsville,E,1021.3,51.0,1019.1,57.0,6.0,7.2,17.0,39.0,SE,59.0
ENE,70.34,76.46,2011-08-06,No,1.0,No,9.9,79.7,56.3,0.0,Townsville,E,1021.4,55.0,1017.8,43.0,3.0,7.6,4.0,30.0,S,60.0
ENE,69.62,71.96,2011-08-07,No,7.0,No,6.3,77.36,58.459999999999994,0.0,Townsville,ENE,1020.2,71.0,1016.5,37.0,7.0,6.4,6.0,30.0,SSW,70.0
NW,69.44,79.34,2011-08-08,No,1.0,No,10.1,80.6,55.22,0.0,Townsville,NE,1017.6,47.0,1012.7,30.0,4.0,4.4,2.0,13.0,SW,78.0
NE,69.62,75.38,2011-08-09,No,1.0,No,10.9,80.96,53.6,0.0,Townsville,S,1016.6,27.0,1011.0,44.0,1.0,5.6,24.0,20.0,SW,16.0
NNW,64.04,78.08,2011-08-10,No,0.0,No,10.6,81.5,46.22,0.0,Townsville,N,1015.5,17.0,1009.8,28.0,0.0,6.0,0.0,15.0,,59.0
WSW,69.44,84.38000000000001,2011-08-11,No,1.0,No,10.5,85.46000000000001,54.68,0.0,Townsville,SSW,1014.1,20.0,1009.3,33.0,0.0,5.6,11.0,15.0,SW,56.0
ENE,69.62,74.3,2011-08-12,No,5.0,No,10.9,79.16,51.8,0.0,Townsville,NE,1017.3,41.0,1014.1,43.0,5.0,6.2,17.0,35.0,SSW,23.0
ENE,68.36,72.68,2011-08-13,No,2.0,No,10.4,75.38,49.82,0.0,Townsville,ENE,1020.3,54.0,1017.0,37.0,1.0,7.4,11.0,30.0,SE,61.0
